PSP|MSR,|MSR|ESB|FRA|DEN|PSP|
PSP|TEQ,|TEQ|ESB|FRA|DEN|PSP|
PSP|TZX,|TZX|ESB|FRA|DEN|PSP|
PSP|VAN,|VAN|ESB|FRA|DEN|PSP|
PSP|ULN,|ULN|FRU|URC|PEK|SFO|PSP|
PSP|HIJ,|HIJ|ICN|SFO|PSP|
PSP|VVO,|VVO|ICN|SFO|PSP|
PSP|ACC,|ACC|IST|FRA|DEN|PSP|
PSP|AER,|AER|IST|FRA|DEN|PSP|
PSP|AGP,|AGP|IST|FRA|DEN|PSP|
PSP|ALG,|ALG|IST|FRA|DEN|PSP|
PSP|AMM,|AMM|IST|FRA|DEN|PSP|
PSP|AQJ,|AQJ|IST|FRA|DEN|PSP|
PSP|ARN,|ARN|EWR|DEN|PSP|
PSP|ASR,|ASR|SAW|FRA|DEN|PSP|
PSP|ATH,|ATH|IST|FRA|DEN|PSP|
PSP|BAH,|BAH|IST|FRA|DEN|PSP|
PSP|BEG,|BEG|IST|FRA|DEN|PSP|
PSP|BEN,|BEN|IST|FRA|DEN|PSP|
PSP|BEY,|BEY|IST|FRA|DEN|PSP|
PSP|BHX,|BHX|EWR|DEN|PSP|
PSP|BIO,|BIO|IST|FRA|DEN|PSP|
PSP|BLQ,|BLQ|IST|FRA|DEN|PSP|
PSP|BOM,|BOM|IST|FRA|DEN|PSP|
PSP|BRE,|BRE|IST|FRA|DEN|PSP|
PSP|BSL,|BSL|IST|FRA|DEN|PSP|
PSP|BSR,|BSR|IST|FRA|DEN|PSP|
PSP|BUD,|BUD|IST|FRA|DEN|PSP|
PSP|BUS,|BUS|IST|FRA|DEN|PSP|
PSP|CAI,|CAI|IST|FRA|DEN|PSP|
PSP|CGN,|CGN|IST|FRA|DEN|PSP|
PSP|CMN,|CMN|IST|FRA|DEN|PSP|
PSP|CND,|CND|IST|FRA|DEN|PSP|
PSP|DAR,|DAR|NBO|ZRH|LAX|PSP|
PSP|DLM,|DLM|IST|FRA|DEN|PSP|
PSP|DMM,|DMM|IST|FRA|DEN|PSP|
PSP|DNK,|DNK|IST|FRA|DEN|PSP|
PSP|DNZ,|DNZ|IST|FRA|DEN|PSP|
PSP|DOK,|DOK|IST|FRA|DEN|PSP|
PSP|DUS,|DUS|ORD|DEN|PSP|
PSP|EDI,|EDI|EWR|DEN|PSP|
PSP|ELQ,|ELQ|IST|FRA|DEN|PSP|
PSP|FDH,|FDH|IST|FRA|DEN|PSP|
PSP|GOA,|GOA|IST|FRA|DEN|PSP|
PSP|GOT,|GOT|BRU|ORD|DEN|PSP|
PSP|HAJ,|HAJ|BRU|ORD|DEN|PSP|
PSP|HBE,|HBE|IST|FRA|DEN|PSP|
PSP|HEL,|HEL|IST|FRA|DEN|PSP|
PSP|HRG,|HRG|IST|FRA|DEN|PSP|
PSP|IFN,|IFN|IST|FRA|DEN|PSP|
PSP|ISE,|ISE|IST|FRA|DEN|PSP|
PSP|ISU,|ISU|IST|FRA|DEN|PSP|
PSP|JIB,|JIB|IST|FRA|DEN|PSP|
PSP|JRO,|JRO|IST|FRA|DEN|PSP|
PSP|KAN,|KAN|IST|FRA|DEN|PSP|
