SXM|KSY,|KSY|ESB|FRA|EWR|SXM|
SXM|MLX,|MLX|ESB|FRA|EWR|SXM|
SXM|MQM,|MQM|ESB|FRA|EWR|SXM|
SXM|MSR,|MSR|ESB|FRA|EWR|SXM|
SXM|TEQ,|TEQ|ESB|FRA|EWR|SXM|
SXM|TZX,|TZX|ESB|FRA|EWR|SXM|
SXM|VAN,|VAN|ESB|FRA|EWR|SXM|
SXM|ULN,|ULN|FRU|IST|BHX|EWR|SXM|
SXM|HIJ,|HIJ|ICN|JFK|IAD|SXM|
SXM|VVO,|VVO|ICN|JFK|IAD|SXM|
SXM|ACC,|ACC|IST|BHX|EWR|SXM|
SXM|AER,|AER|IST|BHX|EWR|SXM|
SXM|AGP,|AGP|IST|BHX|EWR|SXM|
SXM|ALG,|ALG|IST|BHX|EWR|SXM|
SXM|AMM,|AMM|IST|BHX|EWR|SXM|
SXM|AQJ,|AQJ|IST|BHX|EWR|SXM|
SXM|ARN,|ARN|EWR|SXM|
SXM|ASR,|ASR|SAW|FRA|EWR|SXM|
SXM|ATH,|ATH|IST|BHX|EWR|SXM|
SXM|BAH,|BAH|IST|BHX|EWR|SXM|
SXM|BEG,|BEG|IST|BHX|EWR|SXM|
SXM|BEN,|BEN|IST|BHX|EWR|SXM|
SXM|BEY,|BEY|IST|BHX|EWR|SXM|
SXM|BHX,|BHX|EWR|SXM|
SXM|BIO,|BIO|IST|BHX|EWR|SXM|
SXM|BLQ,|BLQ|IST|BHX|EWR|SXM|
SXM|BOM,|BOM|EWR|SXM|
SXM|BRE,|BRE|IST|BHX|EWR|SXM|
SXM|BSL,|BSL|IST|BHX|EWR|SXM|
SXM|BSR,|BSR|IST|BHX|EWR|SXM|
SXM|BUD,|BUD|IST|BHX|EWR|SXM|
SXM|BUS,|BUS|IST|BHX|EWR|SXM|
SXM|CAI,|CAI|IST|BHX|EWR|SXM|
SXM|CGN,|CGN|IST|BHX|EWR|SXM|
SXM|CMN,|CMN|IST|BHX|EWR|SXM|
SXM|CND,|CND|IST|BHX|EWR|SXM|
SXM|DAR,|DAR|NBO|ZRH|EWR|SXM|
SXM|DLM,|DLM|IST|BHX|EWR|SXM|
SXM|DMM,|DMM|IST|BHX|EWR|SXM|
SXM|DNK,|DNK|IST|BHX|EWR|SXM|
SXM|DNZ,|DNZ|IST|BHX|EWR|SXM|
SXM|DOK,|DOK|IST|BHX|EWR|SXM|
SXM|DUS,|DUS|EWR|SXM|
SXM|EDI,|EDI|EWR|SXM|
SXM|ELQ,|ELQ|IST|BHX|EWR|SXM|
SXM|FDH,|FDH|IST|BHX|EWR|SXM|
SXM|GOA,|GOA|IST|BHX|EWR|SXM|
SXM|GOT,|GOT|BRU|EWR|SXM|
SXM|HAJ,|HAJ|BRU|EWR|SXM|
SXM|HBE,|HBE|IST|BHX|EWR|SXM|
SXM|HEL,|HEL|IST|BHX|EWR|SXM|
SXM|HRG,|HRG|IST|BHX|EWR|SXM|
SXM|IFN,|IFN|IST|BHX|EWR|SXM|
SXM|ISE,|ISE|IST|BHX|EWR|SXM|
SXM|ISU,|ISU|IST|BHX|EWR|SXM|
SXM|JIB,|JIB|IST|BHX|EWR|SXM|
SXM|JRO,|JRO|IST|BHX|EWR|SXM|
SXM|KAN,|KAN|IST|BHX|EWR|SXM|
SXM|KBL,|KBL|IST|BHX|EWR|SXM|
SXM|KBP,|KBP|IST|BHX|EWR|SXM|
SXM|KFS,|KFS|IST|BHX|EWR|SXM|
SXM|KHI,|KHI|IST|BHX|EWR|SXM|
SXM|KIV,|KIV|IST|BHX|EWR|SXM|
SXM|KRT,|KRT|IST|BHX|EWR|SXM|
SXM|KSH,|KSH|IST|BHX|EWR|SXM|
SXM|KVD,|KVD|IST|BHX|EWR|SXM|
SXM|KWI,|KWI|SAW|FRA|EWR|SXM|
SXM|KYA,|KYA|IST|BHX|EWR|SXM|
SXM|KZN,|KZN|IST|BHX|EWR|SXM|
SXM|KZR,|KZR|IST|BHX|EWR|SXM|
SXM|LED,|LED|VIE|IAD|SXM|
SXM|LEJ,|LEJ|IST|BHX|EWR|SXM|
SXM|LGW,|LGW|IST|BHX|EWR|SXM|
SXM|LHE,|LHE|IST|BHX|EWR|SXM|
SXM|LIS,|LIS|EWR|SXM|
SXM|LJU,|LJU|IST|BHX|EWR|SXM|
