CCC|RUH,|RUH|IST|YYZ|CCC|
CCC|SAH,|SAH|IST|YYZ|CCC|
CCC|SJJ,|SJJ|IST|YYZ|CCC|
CCC|SKG,|SKG|IST|YYZ|CCC|
CCC|SKP,|SKP|IST|YYZ|CCC|
CCC|SSH,|SSH|IST|YYZ|CCC|
CCC|STR,|STR|EWR|YYZ|CCC|
CCC|SVX,|SVX|IST|YYZ|CCC|
CCC|SYZ,|SYZ|IST|YYZ|CCC|
CCC|SZG,|SZG|IST|YYZ|CCC|
CCC|TBZ,|TBZ|IST|YYZ|CCC|
CCC|TGD,|TGD|IST|YYZ|CCC|
CCC|TIA,|TIA|IST|YYZ|CCC|
CCC|TIF,|TIF|IST|YYZ|CCC|
CCC|TIP,|TIP|IST|YYZ|CCC|
CCC|TLL,|TLL|VNO|CPH|YYZ|CCC|
CCC|TLS,|TLS|IST|YYZ|CCC|
