PLS|BUD,|BUD|IST|BHX|EWR|PLS|
PLS|BUS,|BUS|IST|BHX|EWR|PLS|
PLS|CAI,|CAI|IST|BHX|EWR|PLS|
PLS|CGN,|CGN|IST|BHX|EWR|PLS|
PLS|CMN,|CMN|IST|BHX|EWR|PLS|
PLS|CND,|CND|IST|BHX|EWR|PLS|
PLS|DAR,|DAR|NBO|ZRH|EWR|PLS|
PLS|DLM,|DLM|IST|BHX|EWR|PLS|
PLS|DMM,|DMM|IST|BHX|EWR|PLS|
PLS|DNK,|DNK|IST|BHX|EWR|PLS|
PLS|DNZ,|DNZ|IST|BHX|EWR|PLS|
PLS|DOK,|DOK|IST|BHX|EWR|PLS|
PLS|DUS,|DUS|EWR|PLS|
PLS|EDI,|EDI|EWR|PLS|
PLS|ELQ,|ELQ|IST|BHX|EWR|PLS|
PLS|FDH,|FDH|IST|BHX|EWR|PLS|
PLS|GOA,|GOA|IST|BHX|EWR|PLS|
PLS|GOT,|GOT|BRU|EWR|PLS|
PLS|HAJ,|HAJ|BRU|EWR|PLS|
PLS|HBE,|HBE|IST|BHX|EWR|PLS|
PLS|HEL,|HEL|IST|BHX|EWR|PLS|
PLS|HRG,|HRG|IST|BHX|EWR|PLS|
PLS|IFN,|IFN|IST|BHX|EWR|PLS|
PLS|ISE,|ISE|IST|BHX|EWR|PLS|
PLS|ISU,|ISU|IST|BHX|EWR|PLS|
PLS|JIB,|JIB|IST|BHX|EWR|PLS|
PLS|JRO,|JRO|IST|BHX|EWR|PLS|
PLS|KAN,|KAN|IST|BHX|EWR|PLS|
PLS|KBL,|KBL|IST|BHX|EWR|PLS|
PLS|KBP,|KBP|IST|BHX|EWR|PLS|
PLS|KFS,|KFS|IST|BHX|EWR|PLS|
PLS|KHI,|KHI|IST|BHX|EWR|PLS|
PLS|KIV,|KIV|IST|BHX|EWR|PLS|
PLS|KRT,|KRT|IST|BHX|EWR|PLS|
PLS|KSH,|KSH|IST|BHX|EWR|PLS|
PLS|KVD,|KVD|IST|BHX|EWR|PLS|
PLS|KWI,|KWI|SAW|FRA|EWR|PLS|
PLS|KYA,|KYA|IST|BHX|EWR|PLS|
PLS|KZN,|KZN|IST|BHX|EWR|PLS|
PLS|KZR,|KZR|IST|BHX|EWR|PLS|
PLS|LED,|LED|VIE|YYZ|PLS|
PLS|LEJ,|LEJ|IST|BHX|EWR|PLS|
PLS|LGW,|LGW|IST|BHX|EWR|PLS|
PLS|LHE,|LHE|IST|BHX|EWR|PLS|
PLS|LIS,|LIS|EWR|PLS|
