SAT|NJF,|NJF|IST|ORD|SAT|
SAT|NSI,|NSI|BRU|ORD|SAT|
SAT|NUE,|NUE|IST|ORD|SAT|
SAT|ODS,|ODS|IST|ORD|SAT|
SAT|ORN,|ORN|IST|ORD|SAT|
SAT|OTP,|OTP|IST|ORD|SAT|
SAT|PRG,|PRG|BRU|ORD|SAT|
SAT|PRN,|PRN|IST|ORD|SAT|
SAT|RIX,|RIX|IST|ORD|SAT|
SAT|ROV,|ROV|IST|ORD|SAT|
SAT|RTM,|RTM|IST|ORD|SAT|
SAT|RUH,|RUH|IST|ORD|SAT|
SAT|SAH,|SAH|IST|ORD|SAT|
SAT|SJJ,|SJJ|IST|ORD|SAT|
SAT|SKG,|SKG|IST|ORD|SAT|
SAT|SKP,|SKP|IST|ORD|SAT|
SAT|SSH,|SSH|IST|ORD|SAT|
SAT|STR,|STR|EWR|SAT|
SAT|SVX,|SVX|IST|ORD|SAT|
SAT|SYZ,|SYZ|IST|ORD|SAT|
SAT|SZG,|SZG|IST|ORD|SAT|
SAT|TBZ,|TBZ|IST|ORD|SAT|
SAT|TGD,|TGD|IST|ORD|SAT|
SAT|TIA,|TIA|IST|ORD|SAT|
SAT|TIF,|TIF|IST|ORD|SAT|
SAT|TIP,|TIP|IST|ORD|SAT|
SAT|TLL,|TLL|VNO|CPH|YYZ|STL|SAT|
SAT|TLS,|TLS|IST|ORD|SAT|
SAT|TRN,|TRN|IST|ORD|SAT|
SAT|TUN,|TUN|IST|ORD|SAT|
