SNA|KHI,|KHI|IST|FRA|DEN|SNA|
SNA|KIV,|KIV|IST|FRA|DEN|SNA|
SNA|KRT,|KRT|IST|FRA|DEN|SNA|
SNA|KSH,|KSH|IST|FRA|DEN|SNA|
SNA|KVD,|KVD|IST|FRA|DEN|SNA|
SNA|KWI,|KWI|SAW|FRA|DEN|SNA|
SNA|KYA,|KYA|IST|FRA|DEN|SNA|
SNA|KZN,|KZN|IST|FRA|DEN|SNA|
SNA|KZR,|KZR|IST|FRA|DEN|SNA|
SNA|LED,|LED|VIE|ORD|SNA|
SNA|LEJ,|LEJ|IST|FRA|DEN|SNA|
SNA|LGW,|LGW|IST|FRA|DEN|SNA|
SNA|LHE,|LHE|IST|FRA|DEN|SNA|
SNA|LIS,|LIS|EWR|SNA|
SNA|LJU,|LJU|IST|FRA|DEN|SNA|
SNA|LOS,|LOS|IAH|SNA|
SNA|LUX,|LUX|IST|FRA|DEN|SNA|
SNA|LWO,|LWO|IST|FRA|DEN|SNA|
SNA|LYS,|LYS|IST|FRA|DEN|SNA|
SNA|MAD,|MAD|EWR|SNA|
SNA|MAN,|MAN|EWR|SNA|
SNA|MED,|MED|IST|FRA|DEN|SNA|
SNA|MHD,|MHD|IST|FRA|DEN|SNA|
SNA|MLA,|MLA|IST|FRA|DEN|SNA|
SNA|MRS,|MRS|IST|FRA|DEN|SNA|
SNA|MSQ,|MSQ|IST|FRA|DEN|SNA|
SNA|MXP,|MXP|EWR|SNA|
SNA|MZH,|MZH|IST|FRA|DEN|SNA|
SNA|MZR,|MZR|IST|FRA|DEN|SNA|
SNA|NAJ,|NAJ|IST|FRA|DEN|SNA|
SNA|NAV,|NAV|IST|FRA|DEN|SNA|
SNA|NCE,|NCE|IST|FRA|DEN|SNA|
SNA|NIM,|NIM|IST|FRA|DEN|SNA|
SNA|NJF,|NJF|IST|FRA|DEN|SNA|
SNA|NSI,|NSI|BRU|ORD|SNA|
SNA|NUE,|NUE|IST|FRA|DEN|SNA|
SNA|ODS,|ODS|IST|FRA|DEN|SNA|
SNA|ORN,|ORN|IST|FRA|DEN|SNA|
SNA|OTP,|OTP|IST|FRA|DEN|SNA|
SNA|PRG,|PRG|BRU|ORD|SNA|
SNA|PRN,|PRN|IST|FRA|DEN|SNA|
SNA|RIX,|RIX|IST|FRA|DEN|SNA|
SNA|ROV,|ROV|IST|FRA|DEN|SNA|
SNA|RTM,|RTM|IST|FRA|DEN|SNA|
SNA|RUH,|RUH|IST|FRA|DEN|SNA|
SNA|SAH,|SAH|IST|FRA|DEN|SNA|
SNA|SJJ,|SJJ|IST|FRA|DEN|SNA|
SNA|SKG,|SKG|IST|FRA|DEN|SNA|
SNA|SKP,|SKP|IST|FRA|DEN|SNA|
SNA|SSH,|SSH|IST|FRA|DEN|SNA|
SNA|STR,|STR|EWR|SNA|
SNA|SVX,|SVX|IST|FRA|DEN|SNA|
SNA|SYZ,|SYZ|IST|FRA|DEN|SNA|
SNA|SZG,|SZG|IST|FRA|DEN|SNA|
SNA|TBZ,|TBZ|IST|FRA|DEN|SNA|
SNA|TGD,|TGD|IST|FRA|DEN|SNA|
SNA|TIA,|TIA|IST|FRA|DEN|SNA|
SNA|TIF,|TIF|IST|FRA|DEN|SNA|
SNA|TIP,|TIP|IST|FRA|DEN|SNA|
SNA|TLL,|TLL|VNO|CPH|YYZ|DEN|SNA|
SNA|TLS,|TLS|IST|FRA|DEN|SNA|
SNA|TRN,|TRN|IST|FRA|DEN|SNA|
SNA|TUN,|TUN|IST|FRA|DEN|SNA|
SNA|TXL,|TXL|EWR|SNA|
