DAL|JXA,|JXA|SHE|ICN|YVR|DEN|OKC|DAL|
DAL|PUS,|PUS|SHE|ICN|YVR|DEN|OKC|DAL|
DAL|BKI,|BKI|SZX|PVG|YVR|DEN|OKC|DAL|
DAL|AKU,|AKU|URC|PEK|YVR|DEN|OKC|DAL|
DAL|ALA,|ALA|TSE|FRA|DTW|STL|DAL|
DAL|ASB,|ASB|GYD|FRA|DTW|STL|DAL|
DAL|DNH,|DNH|XIY|PEK|YVR|DEN|OKC|DAL|
DAL|DYU,|DYU|IST|ORD|STL|DAL|
DAL|FRU,|FRU|IST|ORD|STL|DAL|
DAL|GYD,|GYD|FRA|DTW|STL|DAL|
DAL|HTN,|HTN|URC|PEK|YVR|DEN|OKC|DAL|
DAL|IKA,|IKA|SAW|VIE|ORD|STL|DAL|
DAL|KCA,|KCA|URC|PEK|YVR|DEN|OKC|DAL|
DAL|KHG,|KHG|URC|PEK|YVR|DEN|OKC|DAL|
DAL|KRL,|KRL|URC|PEK|YVR|DEN|OKC|DAL|
DAL|KRY,|KRY|URC|PEK|YVR|DEN|OKC|DAL|
DAL|LBD,|LBD|URC|PEK|YVR|DEN|OKC|DAL|
DAL|NLT,|NLT|URC|PEK|YVR|DEN|OKC|DAL|
DAL|OSS,|OSS|IST|ORD|STL|DAL|
DAL|OVB,|OVB|IST|ORD|STL|DAL|
DAL|TBS,|TBS|SAW|VIE|ORD|STL|DAL|
DAL|TCG,|TCG|URC|PEK|YVR|DEN|OKC|DAL|
DAL|TSE,|TSE|FRA|DTW|STL|DAL|
DAL|YIN,|YIN|URC|PEK|YVR|DEN|OKC|DAL|
DAL|ENH,|ENH|WUH|ICN|YVR|DEN|OKC|DAL|
DAL|ENY,|ENY|XIY|PEK|YVR|DEN|OKC|DAL|
DAL|WXN,|WXN|XIY|PEK|YVR|DEN|OKC|DAL|
DAL|BLL,|BLL|IST|ORD|STL|DAL|
DAL|ESB,|ESB|VIE|ORD|STL|DAL|
DAL|SAW,|SAW|VIE|ORD|STL|DAL|
DAL|HAM,|HAM|EWR|BWI|LIT|DAL|
DAL|HRE,|HRE|ADD|IST|ORD|STL|DAL|
DAL|JUB,|JUB|CAI|IST|ORD|STL|DAL|
DAL|SSG,|SSG|DLA|BRU|ORD|STL|DAL|
DAL|BGW,|BGW|ESB|VIE|ORD|STL|DAL|
DAL|EBL,|EBL|IST|ORD|STL|DAL|
DAL|VKO,|VKO|IST|ORD|STL|DAL|
DAL|MCT,|MCT|AUH|YYZ|STL|DAL|
DAL|AYT,|AYT|IST|ORD|STL|DAL|
DAL|SCQ,|SCQ|BIO|IST|ORD|STL|DAL|
DAL|AAL,|AAL|IST|ORD|STL|DAL|
DAL|AOE,|AOE|BRU|ORD|STL|DAL|
DAL|JNB,|JNB|DKR|IAD|STL|DAL|
DAL|LBV,|LBV|DLA|BRU|ORD|STL|DAL|
DAL|ADA,|ADA|IST|ORD|STL|DAL|
DAL|ADB,|ADB|IST|ORD|STL|DAL|
DAL|ADF,|ADF|ESB|VIE|ORD|STL|DAL|
DAL|AJI,|AJI|ESB|VIE|ORD|STL|DAL|
DAL|BAL,|BAL|ESB|VIE|ORD|STL|DAL|
DAL|BJV,|BJV|IST|ORD|STL|DAL|
DAL|CKZ,|CKZ|ESB|VIE|ORD|STL|DAL|
DAL|DIY,|DIY|ESB|VIE|ORD|STL|DAL|
DAL|ECN,|ECN|IST|ORD|STL|DAL|
DAL|ERC,|ERC|ESB|VIE|ORD|STL|DAL|
DAL|ERZ,|ERZ|ESB|VIE|ORD|STL|DAL|
DAL|EZS,|EZS|ESB|VIE|ORD|STL|DAL|
DAL|GNY,|GNY|ESB|VIE|ORD|STL|DAL|
DAL|GZP,|GZP|ESB|VIE|ORD|STL|DAL|
DAL|GZT,|GZT|ESB|VIE|ORD|STL|DAL|
DAL|HTY,|HTY|IST|ORD|STL|DAL|
DAL|KCM,|KCM|ESB|VIE|ORD|STL|DAL|
DAL|KSY,|KSY|ESB|VIE|ORD|STL|DAL|
DAL|MLX,|MLX|ESB|VIE|ORD|STL|DAL|
DAL|MQM,|MQM|ESB|VIE|ORD|STL|DAL|
DAL|MSR,|MSR|ESB|VIE|ORD|STL|DAL|
DAL|TEQ,|TEQ|ESB|VIE|ORD|STL|DAL|
DAL|TZX,|TZX|ESB|VIE|ORD|STL|DAL|
DAL|VAN,|VAN|ESB|VIE|ORD|STL|DAL|
DAL|ULN,|ULN|FRU|IST|ORD|STL|DAL|
DAL|HIJ,|HIJ|ICN|YVR|DEN|OKC|DAL|
DAL|VVO,|VVO|ICN|YVR|DEN|OKC|DAL|
DAL|ACC,|ACC|IST|ORD|STL|DAL|
DAL|AER,|AER|IST|ORD|STL|DAL|
DAL|AGP,|AGP|IST|ORD|STL|DAL|
DAL|ALG,|ALG|IST|ORD|STL|DAL|
DAL|AMM,|AMM|IST|ORD|STL|DAL|
DAL|AQJ,|AQJ|IST|ORD|STL|DAL|
DAL|ARN,|ARN|EWR|BWI|LIT|DAL|
DAL|ASR,|ASR|SAW|VIE|ORD|STL|DAL|
DAL|ATH,|ATH|IST|ORD|STL|DAL|
DAL|BAH,|BAH|IST|ORD|STL|DAL|
DAL|BEG,|BEG|IST|ORD|STL|DAL|
DAL|BEN,|BEN|IST|ORD|STL|DAL|
DAL|BEY,|BEY|IST|ORD|STL|DAL|
DAL|BHX,|BHX|EWR|BWI|LIT|DAL|
DAL|BIO,|BIO|IST|ORD|STL|DAL|
DAL|BLQ,|BLQ|IST|ORD|STL|DAL|
DAL|BOM,|BOM|EWR|BWI|LIT|DAL|
DAL|BRE,|BRE|IST|ORD|STL|DAL|
DAL|BSL,|BSL|IST|ORD|STL|DAL|
DAL|BSR,|BSR|IST|ORD|STL|DAL|
DAL|BUD,|BUD|IST|ORD|STL|DAL|
DAL|BUS,|BUS|IST|ORD|STL|DAL|
DAL|CAI,|CAI|IST|ORD|STL|DAL|
DAL|CGN,|CGN|IST|ORD|STL|DAL|
DAL|CMN,|CMN|IST|ORD|STL|DAL|
DAL|CND,|CND|IST|ORD|STL|DAL|
DAL|DAR,|DAR|NBO|ZRH|YYZ|STL|DAL|
DAL|DLM,|DLM|IST|ORD|STL|DAL|
DAL|DMM,|DMM|IST|ORD|STL|DAL|
DAL|DNK,|DNK|IST|ORD|STL|DAL|
DAL|DNZ,|DNZ|IST|ORD|STL|DAL|
DAL|DOK,|DOK|IST|ORD|STL|DAL|
DAL|DUS,|DUS|ORD|STL|DAL|
DAL|EDI,|EDI|EWR|BWI|LIT|DAL|
DAL|ELQ,|ELQ|IST|ORD|STL|DAL|
DAL|FDH,|FDH|IST|ORD|STL|DAL|
DAL|GOA,|GOA|IST|ORD|STL|DAL|
DAL|GOT,|GOT|BRU|ORD|STL|DAL|
DAL|HAJ,|HAJ|BRU|ORD|STL|DAL|
DAL|HBE,|HBE|IST|ORD|STL|DAL|
DAL|HEL,|HEL|IST|ORD|STL|DAL|
DAL|HRG,|HRG|IST|ORD|STL|DAL|
DAL|IFN,|IFN|IST|ORD|STL|DAL|
DAL|ISE,|ISE|IST|ORD|STL|DAL|
DAL|ISU,|ISU|IST|ORD|STL|DAL|
DAL|JIB,|JIB|IST|ORD|STL|DAL|
DAL|JRO,|JRO|IST|ORD|STL|DAL|
DAL|KAN,|KAN|IST|ORD|STL|DAL|
DAL|KBL,|KBL|IST|ORD|STL|DAL|
DAL|KBP,|KBP|IST|ORD|STL|DAL|
DAL|KFS,|KFS|IST|ORD|STL|DAL|
DAL|KHI,|KHI|IST|ORD|STL|DAL|
DAL|KIV,|KIV|IST|ORD|STL|DAL|
DAL|KRT,|KRT|IST|ORD|STL|DAL|
DAL|KSH,|KSH|IST|ORD|STL|DAL|
DAL|KVD,|KVD|IST|ORD|STL|DAL|
DAL|KWI,|KWI|SAW|VIE|ORD|STL|DAL|
DAL|KYA,|KYA|IST|ORD|STL|DAL|
DAL|KZN,|KZN|IST|ORD|STL|DAL|
DAL|KZR,|KZR|IST|ORD|STL|DAL|
