LEX|KBL,|KBL|IST|ORD|LEX|
LEX|KBP,|KBP|IST|ORD|LEX|
LEX|KFS,|KFS|IST|ORD|LEX|
LEX|KHI,|KHI|IST|ORD|LEX|
LEX|KIV,|KIV|IST|ORD|LEX|
LEX|KRT,|KRT|IST|ORD|LEX|
LEX|KSH,|KSH|IST|ORD|LEX|
LEX|KVD,|KVD|IST|ORD|LEX|
LEX|KWI,|KWI|SAW|VIE|ORD|LEX|
LEX|KYA,|KYA|IST|ORD|LEX|
LEX|KZN,|KZN|IST|ORD|LEX|
LEX|KZR,|KZR|IST|ORD|LEX|
LEX|LED,|LED|VIE|ORD|LEX|
LEX|LEJ,|LEJ|IST|ORD|LEX|
LEX|LGW,|LGW|IST|ORD|LEX|
LEX|LHE,|LHE|IST|ORD|LEX|
LEX|LIS,|LIS|EWR|ORD|LEX|
LEX|LJU,|LJU|IST|ORD|LEX|
LEX|LOS,|LOS|IAH|LEX|
LEX|LUX,|LUX|IST|ORD|LEX|
LEX|LWO,|LWO|IST|ORD|LEX|
LEX|LYS,|LYS|IST|ORD|LEX|
LEX|MAD,|MAD|EWR|ORD|LEX|
LEX|MAN,|MAN|EWR|ORD|LEX|
LEX|MED,|MED|IST|ORD|LEX|
LEX|MHD,|MHD|IST|ORD|LEX|
LEX|MLA,|MLA|IST|ORD|LEX|
LEX|MRS,|MRS|IST|ORD|LEX|
LEX|MSQ,|MSQ|IST|ORD|LEX|
LEX|MXP,|MXP|EWR|ORD|LEX|
LEX|MZH,|MZH|IST|ORD|LEX|
LEX|MZR,|MZR|IST|ORD|LEX|
LEX|NAJ,|NAJ|IST|ORD|LEX|
LEX|NAV,|NAV|IST|ORD|LEX|
LEX|NCE,|NCE|IST|ORD|LEX|
LEX|NIM,|NIM|IST|ORD|LEX|
LEX|NJF,|NJF|IST|ORD|LEX|
LEX|NSI,|NSI|BRU|ORD|LEX|
LEX|NUE,|NUE|IST|ORD|LEX|
LEX|ODS,|ODS|IST|ORD|LEX|
LEX|ORN,|ORN|IST|ORD|LEX|
LEX|OTP,|OTP|IST|ORD|LEX|
LEX|PRG,|PRG|BRU|ORD|LEX|
LEX|PRN,|PRN|IST|ORD|LEX|
LEX|RIX,|RIX|IST|ORD|LEX|
LEX|ROV,|ROV|IST|ORD|LEX|
LEX|RTM,|RTM|IST|ORD|LEX|
LEX|RUH,|RUH|IST|ORD|LEX|
LEX|SAH,|SAH|IST|ORD|LEX|
LEX|SJJ,|SJJ|IST|ORD|LEX|
LEX|SKG,|SKG|IST|ORD|LEX|
LEX|SKP,|SKP|IST|ORD|LEX|
LEX|SSH,|SSH|IST|ORD|LEX|
LEX|STR,|STR|EWR|ORD|LEX|
LEX|SVX,|SVX|IST|ORD|LEX|
LEX|SYZ,|SYZ|IST|ORD|LEX|
LEX|SZG,|SZG|IST|ORD|LEX|
LEX|TBZ,|TBZ|IST|ORD|LEX|
LEX|TGD,|TGD|IST|ORD|LEX|
LEX|TIA,|TIA|IST|ORD|LEX|
LEX|TIF,|TIF|IST|ORD|LEX|
LEX|TIP,|TIP|IST|ORD|LEX|
LEX|TLL,|TLL|VNO|CPH|YYZ|ORD|LEX|
LEX|TLS,|TLS|IST|ORD|LEX|
LEX|TRN,|TRN|IST|ORD|LEX|
LEX|TUN,|TUN|IST|ORD|LEX|
LEX|TXL,|TXL|EWR|ORD|LEX|
LEX|UFA,|UFA|IST|ORD|LEX|
LEX|VAS,|VAS|SAW|VIE|ORD|LEX|
LEX|VCE,|VCE|IST|ORD|LEX|
LEX|YNB,|YNB|IST|ORD|LEX|
LEX|ZAG,|ZAG|IST|ORD|LEX|
LEX|MGQ,|MGQ|JIB|IST|ORD|LEX|
LEX|CPT,|CPT|JNB|DKR|IAD|ORD|LEX|
LEX|MBA,|MBA|JRO|IST|ORD|LEX|
LEX|NDJ,|NDJ|KAN|IST|ORD|LEX|
LEX|CMB,|CMB|MLE|IST|ORD|LEX|
LEX|ADE,|ADE|SAH|IST|ORD|LEX|
LEX|ASF,|ASF|SAW|VIE|ORD|LEX|
