MUC|FMN,|FMN|DEN|ORD|MUC|
MUC|JST,|JST|IAD|MUC|
MUC|JHW,|JHW|CLE|YYZ|MUC|
MUC|SHD,|SHD|IAD|MUC|
MUC|PTY,|PTY|BOS|MUC|
MUC|FNA,|FNA|BRU|IST|MUC|
MUC|SXB,|SXB|BRU|IST|MUC|
MUC|ACV,|ACV|SFO|MUC|
MUC|MGW,|MGW|IAD|MUC|
MUC|ALB,|ALB|EWR|MUC|
MUC|AUS,|AUS|CLE|YYZ|MUC|
MUC|BFD,|BFD|CLE|YYZ|MUC|
MUC|BUF,|BUF|EWR|MUC|
MUC|CHS,|CHS|EWR|MUC|
MUC|DAY,|DAY|CLE|YYZ|MUC|
MUC|DUJ,|DUJ|CLE|YYZ|MUC|
MUC|ERI,|ERI|CLE|YYZ|MUC|
MUC|FKL,|FKL|CLE|YYZ|MUC|
MUC|FNT,|FNT|CLE|YYZ|MUC|
MUC|GRR,|GRR|CLE|YYZ|MUC|
MUC|GSP,|GSP|EWR|MUC|
MUC|PBI,|PBI|EWR|MUC|
MUC|PKB,|PKB|CLE|YYZ|MUC|
MUC|RIC,|RIC|EWR|MUC|
MUC|SDF,|SDF|CLE|YYZ|MUC|
MUC|GUM,|GUM|FUK|ICN|IST|MUC|
MUC|WRL,|WRL|CYS|DEN|ORD|MUC|
MUC|LBL,|MUC|
MUC|ABQ,|ABQ|ORD|MUC|
MUC|AIA,|AIA|DEN|ORD|MUC|
MUC|ALS,|ALS|DEN|ORD|MUC|
MUC|AMA,|AMA|DAL|STL|ORD|MUC|
MUC|ANC,|ANC|SEA|YVR|MUC|
MUC|ASE,|ASE|DEN|ORD|MUC|
MUC|BFL,|BFL|LAX|MUC|
MUC|BHM,|BHM|BWI|EWR|MUC|
MUC|BIL,|BIL|DEN|ORD|MUC|
MUC|BIS,|BIS|DEN|ORD|MUC|
MUC|BOI,|BOI|ORD|MUC|
MUC|BUR,|BUR|SFO|MUC|
MUC|BZN,|BZN|ORD|MUC|
MUC|CID,|CID|ORD|MUC|
MUC|COD,|COD|DEN|ORD|MUC|
MUC|COS,|COS|ORD|MUC|
MUC|CPR,|CPR|DEN|ORD|MUC|
MUC|CYS,|CYS|DEN|ORD|MUC|
MUC|DIK,|DIK|DEN|ORD|MUC|
MUC|DRO,|DRO|DEN|ORD|MUC|
MUC|DSM,|DSM|ORD|MUC|
MUC|EGE,|EGE|DEN|ORD|MUC|
MUC|ELP,|ELP|DAL|STL|ORD|MUC|
MUC|EUG,|EUG|PDX|YVR|MUC|
MUC|FAR,|FAR|ORD|MUC|
MUC|FAT,|FAT|SFO|MUC|
MUC|FCA,|FCA|DEN|ORD|MUC|
MUC|FSD,|FSD|ORD|MUC|
MUC|GCC,|GCC|DEN|ORD|MUC|
MUC|GEG,|GEG|DEN|ORD|MUC|
MUC|GJT,|GJT|DEN|ORD|MUC|
MUC|GTF,|GTF|DEN|ORD|MUC|
MUC|GUC,|GUC|DEN|ORD|MUC|
MUC|HDN,|HDN|DEN|ORD|MUC|
MUC|HLN,|HLN|DEN|ORD|MUC|
MUC|HSV,|HSV|IAD|MUC|
MUC|ICT,|ICT|ORD|MUC|
