GSO|GYD,|GYD|FRA|EWR|GSO|
GSO|HTN,|HTN|URC|TSE|FRA|EWR|GSO|
GSO|IKA,|IKA|SAW|FRA|EWR|GSO|
GSO|KCA,|KCA|URC|TSE|FRA|EWR|GSO|
GSO|KHG,|KHG|URC|TSE|FRA|EWR|GSO|
GSO|KRL,|KRL|URC|TSE|FRA|EWR|GSO|
GSO|KRY,|KRY|URC|TSE|FRA|EWR|GSO|
GSO|LBD,|LBD|URC|TSE|FRA|EWR|GSO|
GSO|NLT,|NLT|URC|TSE|FRA|EWR|GSO|
GSO|OSS,|OSS|IST|BHX|EWR|GSO|
GSO|OVB,|OVB|IST|BHX|EWR|GSO|
GSO|TBS,|TBS|SAW|FRA|EWR|GSO|
GSO|TCG,|TCG|URC|TSE|FRA|EWR|GSO|
GSO|TSE,|TSE|FRA|EWR|GSO|
GSO|YIN,|YIN|URC|TSE|FRA|EWR|GSO|
GSO|ENH,|ENH|WUH|PEK|IAD|GSO|
GSO|ENY,|ENY|XIY|PEK|IAD|GSO|
GSO|WXN,|WXN|XIY|PEK|IAD|GSO|
GSO|BLL,|BLL|IST|BHX|EWR|GSO|
GSO|ESB,|ESB|FRA|EWR|GSO|
GSO|SAW,|SAW|FRA|EWR|GSO|
GSO|HAM,|HAM|EWR|GSO|
GSO|HRE,|HRE|ADD|JED|FRA|EWR|GSO|
GSO|JUB,|JUB|CAI|JFK|IAD|GSO|
GSO|SSG,|SSG|DLA|BRU|EWR|GSO|
GSO|BGW,|BGW|ESB|FRA|EWR|GSO|
GSO|EBL,|EBL|IST|BHX|EWR|GSO|
GSO|VKO,|VKO|IST|BHX|EWR|GSO|
GSO|MCT,|MCT|IST|BHX|EWR|GSO|
GSO|AYT,|AYT|IST|BHX|EWR|GSO|
GSO|SCQ,|SCQ|BIO|IST|BHX|EWR|GSO|
GSO|AAL,|AAL|IST|BHX|EWR|GSO|
GSO|AOE,|AOE|BRU|EWR|GSO|
GSO|JNB,|JNB|DKR|IAD|GSO|
GSO|LBV,|LBV|DLA|BRU|EWR|GSO|
GSO|ADA,|ADA|SAW|FRA|EWR|GSO|
GSO|ADB,|ADB|HAM|EWR|GSO|
GSO|ADF,|ADF|ESB|FRA|EWR|GSO|
GSO|AJI,|AJI|ESB|FRA|EWR|GSO|
GSO|BAL,|BAL|ESB|FRA|EWR|GSO|
GSO|BJV,|BJV|IST|BHX|EWR|GSO|
GSO|CKZ,|CKZ|ESB|FRA|EWR|GSO|
GSO|DIY,|DIY|ESB|FRA|EWR|GSO|
GSO|ECN,|ECN|IST|BHX|EWR|GSO|
GSO|ERC,|ERC|ESB|FRA|EWR|GSO|
GSO|ERZ,|ERZ|ESB|FRA|EWR|GSO|
GSO|EZS,|EZS|ESB|FRA|EWR|GSO|
GSO|GNY,|GNY|ESB|FRA|EWR|GSO|
GSO|GZP,|GZP|ESB|FRA|EWR|GSO|
GSO|GZT,|GZT|ESB|FRA|EWR|GSO|
GSO|HTY,|HTY|SAW|FRA|EWR|GSO|
GSO|KCM,|KCM|ESB|FRA|EWR|GSO|
GSO|KSY,|KSY|ESB|FRA|EWR|GSO|
GSO|MLX,|MLX|ESB|FRA|EWR|GSO|
GSO|MQM,|MQM|ESB|FRA|EWR|GSO|
GSO|MSR,|MSR|ESB|FRA|EWR|GSO|
GSO|TEQ,|TEQ|ESB|FRA|EWR|GSO|
GSO|TZX,|TZX|ESB|FRA|EWR|GSO|
GSO|VAN,|VAN|ESB|FRA|EWR|GSO|
GSO|ULN,|ULN|FRU|IST|BHX|EWR|GSO|
GSO|HIJ,|HIJ|ICN|JFK|IAD|GSO|
GSO|VVO,|VVO|ICN|JFK|IAD|GSO|
GSO|ACC,|ACC|IST|BHX|EWR|GSO|
GSO|AER,|AER|IST|BHX|EWR|GSO|
GSO|AGP,|AGP|IST|BHX|EWR|GSO|
GSO|ALG,|ALG|IST|BHX|EWR|GSO|
GSO|AMM,|AMM|IST|BHX|EWR|GSO|
GSO|AQJ,|AQJ|IST|BHX|EWR|GSO|
GSO|ARN,|ARN|EWR|GSO|
GSO|ASR,|ASR|SAW|FRA|EWR|GSO|
GSO|ATH,|ATH|IST|BHX|EWR|GSO|
GSO|BAH,|BAH|KWI|IAD|GSO|
GSO|BEG,|BEG|IST|BHX|EWR|GSO|
GSO|BEN,|BEN|IST|BHX|EWR|GSO|
GSO|BEY,|BEY|IST|BHX|EWR|GSO|
GSO|BHX,|BHX|EWR|GSO|
GSO|BIO,|BIO|IST|BHX|EWR|GSO|
GSO|BLQ,|BLQ|IST|BHX|EWR|GSO|
GSO|BOM,|BOM|EWR|GSO|
GSO|BRE,|BRE|IST|BHX|EWR|GSO|
GSO|BSL,|BSL|IST|BHX|EWR|GSO|
GSO|BSR,|BSR|IST|BHX|EWR|GSO|
GSO|BUD,|BUD|IST|BHX|EWR|GSO|
GSO|BUS,|BUS|IST|BHX|EWR|GSO|
GSO|CAI,|CAI|JFK|IAD|GSO|
GSO|CGN,|CGN|IST|BHX|EWR|GSO|
GSO|CMN,|CMN|IST|BHX|EWR|GSO|
GSO|CND,|CND|IST|BHX|EWR|GSO|
GSO|DAR,|DAR|NBO|ZRH|EWR|GSO|
GSO|DLM,|DLM|IST|BHX|EWR|GSO|
GSO|DMM,|DMM|IST|BHX|EWR|GSO|
GSO|DNK,|DNK|IST|BHX|EWR|GSO|
GSO|DNZ,|DNZ|IST|BHX|EWR|GSO|
GSO|DOK,|DOK|IST|BHX|EWR|GSO|
GSO|DUS,|DUS|EWR|GSO|
GSO|EDI,|EDI|EWR|GSO|
GSO|ELQ,|ELQ|IST|BHX|EWR|GSO|
GSO|FDH,|FDH|IST|BHX|EWR|GSO|
GSO|GOA,|GOA|IST|BHX|EWR|GSO|
GSO|GOT,|GOT|BRU|EWR|GSO|
GSO|HAJ,|HAJ|BRU|EWR|GSO|
GSO|HBE,|HBE|IST|BHX|EWR|GSO|
GSO|HEL,|HEL|IST|BHX|EWR|GSO|
GSO|HRG,|HRG|IST|BHX|EWR|GSO|
GSO|IFN,|IFN|IST|BHX|EWR|GSO|
GSO|ISE,|ISE|IST|BHX|EWR|GSO|
GSO|ISU,|ISU|IST|BHX|EWR|GSO|
GSO|JIB,|JIB|IST|BHX|EWR|GSO|
GSO|JRO,|JRO|IST|BHX|EWR|GSO|
GSO|KAN,|KAN|IST|BHX|EWR|GSO|
GSO|KBL,|KBL|IST|BHX|EWR|GSO|
GSO|KBP,|KBP|IST|BHX|EWR|GSO|
GSO|KFS,|KFS|IST|BHX|EWR|GSO|
GSO|KHI,|KHI|IST|BHX|EWR|GSO|
GSO|KIV,|KIV|IST|BHX|EWR|GSO|
GSO|KRT,|KRT|IST|BHX|EWR|GSO|
GSO|KSH,|KSH|IST|BHX|EWR|GSO|
GSO|KVD,|KVD|IST|BHX|EWR|GSO|
GSO|KWI,|KWI|IAD|GSO|
GSO|KYA,|KYA|IST|BHX|EWR|GSO|
GSO|KZN,|KZN|IST|BHX|EWR|GSO|
GSO|KZR,|KZR|IST|BHX|EWR|GSO|
GSO|LED,|LED|VIE|IAD|GSO|
GSO|LEJ,|LEJ|IST|BHX|EWR|GSO|
GSO|LGW,|LGW|IST|BHX|EWR|GSO|
GSO|LHE,|LHE|IST|BHX|EWR|GSO|
GSO|LIS,|LIS|EWR|GSO|
GSO|LJU,|LJU|IST|BHX|EWR|GSO|
GSO|LOS,|LOS|FRA|EWR|GSO|
GSO|LUX,|LUX|IST|BHX|EWR|GSO|
GSO|LWO,|LWO|IST|BHX|EWR|GSO|
GSO|LYS,|LYS|IST|BHX|EWR|GSO|
GSO|MAD,|MAD|EWR|GSO|
GSO|MAN,|MAN|EWR|GSO|
GSO|MED,|MED|IST|BHX|EWR|GSO|
GSO|MHD,|MHD|IST|BHX|EWR|GSO|
GSO|MLA,|MLA|IST|BHX|EWR|GSO|
GSO|MRS,|MRS|IST|BHX|EWR|GSO|
