MBA|ARN,|ARN|IST|MBA|
MBA|ASR,|ASR|IST|MBA|
MBA|ATH,|ATH|IST|MBA|
MBA|BAH,|BAH|IST|MBA|
MBA|BEG,|BEG|IST|MBA|
MBA|BEN,|BEN|IST|MBA|
MBA|BEY,|BEY|IST|MBA|
MBA|BHX,|BHX|IST|MBA|
MBA|BIO,|BIO|IST|MBA|
MBA|BLQ,|BLQ|IST|MBA|
MBA|BOM,|BOM|IST|MBA|
MBA|BRE,|BRE|IST|MBA|
MBA|BSL,|BSL|IST|MBA|
MBA|BSR,|BSR|IST|MBA|
MBA|BUD,|BUD|IST|MBA|
MBA|BUS,|BUS|IST|MBA|
MBA|CAI,|CAI|IST|MBA|
MBA|CGN,|CGN|IST|MBA|
MBA|CMN,|CMN|IST|MBA|
MBA|CND,|CND|IST|MBA|
MBA|DAR,|DAR|IST|MBA|
MBA|DLM,|DLM|IST|MBA|
MBA|DMM,|DMM|IST|MBA|
MBA|DNK,|DNK|IST|MBA|
MBA|DNZ,|DNZ|IST|MBA|
MBA|DOK,|DOK|IST|MBA|
MBA|DUS,|DUS|IST|MBA|
MBA|EDI,|EDI|IST|MBA|
MBA|ELQ,|ELQ|IST|MBA|
MBA|FDH,|FDH|IST|MBA|
MBA|GOA,|GOA|IST|MBA|
MBA|GOT,|GOT|IST|MBA|
MBA|HAJ,|HAJ|IST|MBA|
MBA|HBE,|HBE|IST|MBA|
MBA|HEL,|HEL|IST|MBA|
MBA|HRG,|HRG|IST|MBA|
MBA|IFN,|IFN|IST|MBA|
MBA|ISE,|ISE|IST|MBA|
MBA|ISU,|ISU|IST|MBA|
MBA|JIB,|JIB|IST|MBA|
MBA|JRO,|JRO|IST|MBA|
MBA|KAN,|KAN|IST|MBA|
MBA|KBL,|KBL|IST|MBA|
MBA|KBP,|KBP|IST|MBA|
MBA|KFS,|KFS|IST|MBA|
MBA|KHI,|KHI|IST|MBA|
MBA|KIV,|KIV|IST|MBA|
MBA|KRT,|KRT|IST|MBA|
MBA|KSH,|KSH|IST|MBA|
MBA|KVD,|KVD|IST|MBA|
MBA|KWI,|KWI|IST|MBA|
MBA|KYA,|KYA|IST|MBA|
MBA|KZN,|KZN|IST|MBA|
MBA|KZR,|KZR|IST|MBA|
MBA|LED,|LED|IST|MBA|
MBA|LEJ,|LEJ|IST|MBA|
MBA|LGW,|LGW|IST|MBA|
MBA|LHE,|LHE|IST|MBA|
MBA|LIS,|LIS|IST|MBA|
MBA|LJU,|LJU|IST|MBA|
MBA|LOS,|LOS|IST|MBA|
MBA|LUX,|LUX|IST|MBA|
MBA|LWO,|LWO|IST|MBA|
MBA|LYS,|LYS|IST|MBA|
MBA|MAD,|MAD|IST|MBA|
MBA|MAN,|MAN|IST|MBA|
MBA|MED,|MED|IST|MBA|
MBA|MHD,|MHD|IST|MBA|
MBA|MLA,|MLA|IST|MBA|
MBA|MRS,|MRS|IST|MBA|
MBA|MSQ,|MSQ|IST|MBA|
MBA|MXP,|MXP|IST|MBA|
MBA|MZH,|MZH|IST|MBA|
MBA|MZR,|MZR|IST|MBA|
MBA|NAJ,|NAJ|IST|MBA|
MBA|NAV,|NAV|IST|MBA|
MBA|NCE,|NCE|IST|MBA|
MBA|NIM,|NIM|IST|MBA|
MBA|NJF,|NJF|IST|MBA|
MBA|NSI,|NSI|IST|MBA|
MBA|NUE,|NUE|IST|MBA|
MBA|ODS,|ODS|IST|MBA|
MBA|ORN,|ORN|IST|MBA|
MBA|OTP,|OTP|IST|MBA|
MBA|PRG,|PRG|IST|MBA|
MBA|PRN,|PRN|IST|MBA|
MBA|RIX,|RIX|IST|MBA|
MBA|ROV,|ROV|IST|MBA|
MBA|RTM,|RTM|IST|MBA|
MBA|RUH,|RUH|IST|MBA|
MBA|SAH,|SAH|IST|MBA|
MBA|SJJ,|SJJ|IST|MBA|
MBA|SKG,|SKG|IST|MBA|
MBA|SKP,|SKP|IST|MBA|
MBA|SSH,|SSH|IST|MBA|
MBA|STR,|STR|IST|MBA|
MBA|SVX,|SVX|IST|MBA|
MBA|SYZ,|SYZ|IST|MBA|
MBA|SZG,|SZG|IST|MBA|
MBA|TBZ,|TBZ|IST|MBA|
MBA|TGD,|TGD|IST|MBA|
MBA|TIA,|TIA|IST|MBA|
MBA|TIF,|TIF|IST|MBA|
MBA|TIP,|TIP|IST|MBA|
MBA|TLL,|TLL|IST|MBA|
MBA|TLS,|TLS|IST|MBA|
MBA|TRN,|TRN|IST|MBA|
MBA|TUN,|TUN|IST|MBA|
MBA|TXL,|TXL|IST|MBA|
MBA|UFA,|UFA|IST|MBA|
MBA|VAS,|VAS|IST|MBA|
MBA|VCE,|VCE|IST|MBA|
MBA|YNB,|YNB|IST|MBA|
MBA|ZAG,|ZAG|IST|MBA|
MBA|MGQ,|MGQ|JIB|IST|MBA|
MBA|CPT,|CPT|JNB|IST|MBA|
MBA|NDJ,|NDJ|KAN|IST|MBA|
MBA|CMB,|CMB|MLE|IST|MBA|
MBA|ADE,|ADE|SAH|IST|MBA|
MBA|ASF,|ASF|SAW|ADB|IST|MBA|
MBA|STW,|STW|SAW|ADB|IST|MBA|
MBA|LFW,|LFW|ABJ|OUA|NIM|IST|MBA|
MBA|CEC,|CEC|ACV|SMF|SEA|FRA|IST|MBA|
MBA|SMF,|SMF|SEA|FRA|IST|MBA|
MBA|CDR,|CDR|AIA|DEN|FRA|IST|MBA|
MBA|FMN,|FMN|DEN|FRA|IST|MBA|
MBA|JST,|JST|IAD|IST|MBA|
MBA|JHW,|JHW|CLE|YYZ|IST|MBA|
MBA|SHD,|SHD|IAD|IST|MBA|
MBA|PTY,|PTY|MIA|ZRH|IST|MBA|
MBA|FNA,|FNA|BRU|IST|MBA|
MBA|SXB,|SXB|BRU|IST|MBA|
MBA|ACV,|ACV|SMF|SEA|FRA|IST|MBA|
MBA|MGW,|MGW|IAD|IST|MBA|
MBA|ALB,|ALB|EWR|BHX|IST|MBA|
MBA|AUS,|AUS|ORD|IST|MBA|
MBA|BFD,|BFD|CLE|YYZ|IST|MBA|
MBA|BUF,|BUF|EWR|BHX|IST|MBA|
MBA|CHS,|CHS|EWR|BHX|IST|MBA|
MBA|DAY,|DAY|CLE|YYZ|IST|MBA|
MBA|DUJ,|DUJ|CLE|YYZ|IST|MBA|
MBA|ERI,|ERI|CLE|YYZ|IST|MBA|
MBA|FKL,|FKL|CLE|YYZ|IST|MBA|
MBA|FNT,|FNT|CLE|YYZ|IST|MBA|
MBA|GRR,|GRR|CLE|YYZ|IST|MBA|
MBA|GSP,|GSP|EWR|BHX|IST|MBA|
MBA|PBI,|PBI|EWR|BHX|IST|MBA|
MBA|PKB,|PKB|CLE|YYZ|IST|MBA|
MBA|RIC,|RIC|EWR|BHX|IST|MBA|
