TRD|KRL,|KRL|URC|IST|CPH|TRD|
TRD|KRY,|KRY|URC|IST|CPH|TRD|
TRD|LBD,|LBD|URC|IST|CPH|TRD|
TRD|NLT,|NLT|URC|IST|CPH|TRD|
TRD|OSS,|OSS|IST|CPH|TRD|
TRD|OVB,|OVB|IST|CPH|TRD|
TRD|TBS,|TBS|IST|CPH|TRD|
TRD|TCG,|TCG|URC|IST|CPH|TRD|
TRD|TSE,|TSE|IST|CPH|TRD|
TRD|YIN,|YIN|URC|IST|CPH|TRD|
TRD|ENH,|ENH|WUH|URC|IST|CPH|TRD|
TRD|ENY,|ENY|XIY|URC|IST|CPH|TRD|
TRD|WXN,|WXN|XIY|URC|IST|CPH|TRD|
TRD|BLL,|BLL|IST|CPH|TRD|
TRD|ESB,|ESB|IST|CPH|TRD|
TRD|SAW,|SAW|ADB|IST|CPH|TRD|
TRD|HAM,|HAM|IST|CPH|TRD|
TRD|HRE,|HRE|ADD|IST|CPH|TRD|
TRD|JUB,|JUB|CAI|IST|CPH|TRD|
TRD|SSG,|SSG|DLA|IST|CPH|TRD|
TRD|BGW,|BGW|IST|CPH|TRD|
TRD|EBL,|EBL|IST|CPH|TRD|
TRD|VKO,|VKO|IST|CPH|TRD|
TRD|MCT,|MCT|IST|CPH|TRD|
TRD|AYT,|AYT|IST|CPH|TRD|
TRD|SCQ,|SCQ|BIO|IST|CPH|TRD|
TRD|AAL,|AAL|IST|CPH|TRD|
TRD|AOE,|AOE|BRU|IST|CPH|TRD|
TRD|JNB,|JNB|IST|CPH|TRD|
TRD|LBV,|LBV|DLA|IST|CPH|TRD|
TRD|ADA,|ADA|IST|CPH|TRD|
TRD|ADB,|ADB|IST|CPH|TRD|
TRD|ADF,|ADF|IST|CPH|TRD|
TRD|AJI,|AJI|IST|CPH|TRD|
TRD|BAL,|BAL|IST|CPH|TRD|
TRD|BJV,|BJV|IST|CPH|TRD|
TRD|CKZ,|CKZ|ESB|IST|CPH|TRD|
TRD|DIY,|DIY|IST|CPH|TRD|
TRD|ECN,|ECN|IST|CPH|TRD|
TRD|ERC,|ERC|IST|CPH|TRD|
TRD|ERZ,|ERZ|IST|CPH|TRD|
TRD|EZS,|EZS|IST|CPH|TRD|
TRD|GNY,|GNY|IST|CPH|TRD|
TRD|GZP,|GZP|ESB|IST|CPH|TRD|
TRD|GZT,|GZT|IST|CPH|TRD|
TRD|HTY,|HTY|IST|CPH|TRD|
TRD|KCM,|KCM|IST|CPH|TRD|
TRD|KSY,|KSY|IST|CPH|TRD|
TRD|MLX,|MLX|IST|CPH|TRD|
TRD|MQM,|MQM|IST|CPH|TRD|
TRD|MSR,|MSR|IST|CPH|TRD|
TRD|TEQ,|TEQ|ESB|IST|CPH|TRD|
TRD|TZX,|TZX|IST|CPH|TRD|
TRD|VAN,|VAN|IST|CPH|TRD|
TRD|ULN,|ULN|FRU|IST|CPH|TRD|
TRD|HIJ,|HIJ|ICN|PEK|AMS|CPH|TRD|
TRD|VVO,|VVO|ICN|PEK|AMS|CPH|TRD|
TRD|ACC,|ACC|IST|CPH|TRD|
TRD|AER,|AER|IST|CPH|TRD|
TRD|AGP,|AGP|IST|CPH|TRD|
TRD|ALG,|ALG|IST|CPH|TRD|
TRD|AMM,|AMM|IST|CPH|TRD|
TRD|AQJ,|AQJ|IST|CPH|TRD|
TRD|ARN,|ARN|IST|CPH|TRD|
TRD|ASR,|ASR|IST|CPH|TRD|
TRD|ATH,|ATH|IST|CPH|TRD|
TRD|BAH,|BAH|IST|CPH|TRD|
TRD|BEG,|BEG|IST|CPH|TRD|
TRD|BEN,|BEN|IST|CPH|TRD|
TRD|BEY,|BEY|IST|CPH|TRD|
TRD|BHX,|BHX|IST|CPH|TRD|
TRD|BIO,|BIO|IST|CPH|TRD|
TRD|BLQ,|BLQ|IST|CPH|TRD|
TRD|BOM,|BOM|IST|CPH|TRD|
TRD|BRE,|BRE|IST|CPH|TRD|
TRD|BSL,|BSL|IST|CPH|TRD|
TRD|BSR,|BSR|IST|CPH|TRD|
TRD|BUD,|BUD|IST|CPH|TRD|
TRD|BUS,|BUS|IST|CPH|TRD|
TRD|CAI,|CAI|IST|CPH|TRD|
TRD|CGN,|CGN|IST|CPH|TRD|
TRD|CMN,|CMN|IST|CPH|TRD|
