MED|ORN,|ORN|IST|MED|
MED|OTP,|OTP|IST|MED|
MED|PRG,|PRG|IST|MED|
MED|PRN,|PRN|IST|MED|
MED|RIX,|RIX|IST|MED|
MED|ROV,|ROV|IST|MED|
MED|RTM,|RTM|IST|MED|
MED|RUH,|RUH|IST|MED|
MED|SAH,|SAH|IST|MED|
MED|SJJ,|SJJ|IST|MED|
MED|SKG,|SKG|IST|MED|
MED|SKP,|SKP|IST|MED|
MED|SSH,|SSH|IST|MED|
MED|STR,|STR|IST|MED|
MED|SVX,|SVX|IST|MED|
MED|SYZ,|SYZ|IST|MED|
MED|SZG,|SZG|IST|MED|
MED|TBZ,|TBZ|IST|MED|
MED|TGD,|TGD|IST|MED|
MED|TIA,|TIA|IST|MED|
MED|TIF,|TIF|IST|MED|
MED|TIP,|TIP|IST|MED|
MED|TLL,|TLL|IST|MED|
MED|TLS,|TLS|IST|MED|
MED|TRN,|TRN|IST|MED|
MED|TUN,|TUN|IST|MED|
MED|TXL,|TXL|IST|MED|
MED|UFA,|UFA|IST|MED|
MED|VAS,|VAS|IST|MED|
MED|VCE,|VCE|IST|MED|
MED|YNB,|YNB|IST|MED|
MED|ZAG,|ZAG|IST|MED|
MED|MGQ,|MGQ|JIB|IST|MED|
MED|CPT,|CPT|JNB|IST|MED|
MED|MBA,|MBA|JRO|IST|MED|
MED|NDJ,|NDJ|KAN|IST|MED|
MED|CMB,|CMB|MLE|IST|MED|
MED|ADE,|ADE|SAH|IST|MED|
MED|ASF,|ASF|SAW|ADB|IST|MED|
MED|STW,|STW|SAW|ADB|IST|MED|
MED|LFW,|LFW|ABJ|OUA|NIM|IST|MED|
MED|CEC,|CEC|ACV|SMF|SEA|FRA|IST|MED|
MED|SMF,|SMF|SEA|FRA|IST|MED|
MED|CDR,|CDR|AIA|DEN|FRA|IST|MED|
MED|FMN,|FMN|DEN|FRA|IST|MED|
MED|JST,|JST|IAD|IST|MED|
MED|JHW,|JHW|CLE|YYZ|IST|MED|
MED|SHD,|SHD|IAD|IST|MED|
MED|PTY,|PTY|MIA|ZRH|IST|MED|
MED|FNA,|FNA|BRU|IST|MED|
MED|SXB,|SXB|BRU|IST|MED|
MED|ACV,|ACV|SMF|SEA|FRA|IST|MED|
MED|MGW,|MGW|IAD|IST|MED|
MED|ALB,|ALB|EWR|BHX|IST|MED|
MED|AUS,|AUS|ORD|IST|MED|
MED|BFD,|BFD|CLE|YYZ|IST|MED|
MED|BUF,|BUF|EWR|BHX|IST|MED|
MED|CHS,|CHS|EWR|BHX|IST|MED|
MED|DAY,|DAY|CLE|YYZ|IST|MED|
MED|DUJ,|DUJ|CLE|YYZ|IST|MED|
MED|ERI,|ERI|CLE|YYZ|IST|MED|
MED|FKL,|FKL|CLE|YYZ|IST|MED|
MED|FNT,|FNT|CLE|YYZ|IST|MED|
MED|GRR,|GRR|CLE|YYZ|IST|MED|
MED|GSP,|GSP|EWR|BHX|IST|MED|
MED|PBI,|PBI|EWR|BHX|IST|MED|
MED|PKB,|PKB|CLE|YYZ|IST|MED|
MED|RIC,|RIC|EWR|BHX|IST|MED|
MED|SDF,|SDF|CLE|YYZ|IST|MED|
MED|GUM,|GUM|FUK|ICN|IST|MED|
MED|WRL,|WRL|CYS|DEN|FRA|IST|MED|
MED|LBL,|MED|
MED|ABQ,|ABQ|DEN|FRA|IST|MED|
MED|AIA,|AIA|DEN|FRA|IST|MED|
MED|ALS,|ALS|DEN|FRA|IST|MED|
MED|AMA,|AMA|DEN|FRA|IST|MED|
MED|ANC,|ANC|SEA|FRA|IST|MED|
MED|ASE,|ASE|DEN|FRA|IST|MED|
MED|BFL,|BFL|LAX|IST|MED|
MED|BHM,|BHM|BWI|EWR|BHX|IST|MED|
MED|BIL,|BIL|DEN|FRA|IST|MED|
MED|BIS,|BIS|DEN|FRA|IST|MED|
MED|BOI,|BOI|DEN|FRA|IST|MED|
MED|BUR,|BUR|DEN|FRA|IST|MED|
MED|BZN,|BZN|ORD|IST|MED|
MED|CID,|CID|ORD|IST|MED|
MED|COD,|COD|DEN|FRA|IST|MED|
MED|COS,|COS|DEN|FRA|IST|MED|
MED|CPR,|CPR|DEN|FRA|IST|MED|
MED|CYS,|CYS|DEN|FRA|IST|MED|
MED|DIK,|DIK|DEN|FRA|IST|MED|
MED|DRO,|DRO|DEN|FRA|IST|MED|
MED|DSM,|DSM|ORD|IST|MED|
MED|EGE,|EGE|DEN|FRA|IST|MED|
MED|ELP,|ELP|DEN|FRA|IST|MED|
MED|EUG,|EUG|PDX|SEA|FRA|IST|MED|
MED|FAR,|FAR|ORD|IST|MED|
MED|FAT,|FAT|SFO|MUC|IST|MED|
MED|FCA,|FCA|DEN|FRA|IST|MED|
MED|FSD,|FSD|ORD|IST|MED|
MED|GCC,|GCC|DEN|FRA|IST|MED|
MED|GEG,|GEG|DEN|FRA|IST|MED|
MED|GJT,|GJT|DEN|FRA|IST|MED|
MED|GTF,|GTF|DEN|FRA|IST|MED|
MED|GUC,|GUC|DEN|FRA|IST|MED|
MED|HDN,|HDN|DEN|FRA|IST|MED|
MED|HLN,|HLN|DEN|FRA|IST|MED|
MED|HSV,|HSV|IAD|IST|MED|
MED|ICT,|ICT|ORD|IST|MED|
MED|IDA,|IDA|DEN|FRA|IST|MED|
MED|ISN,|ISN|DEN|FRA|IST|MED|
MED|JAC,|JAC|DEN|FRA|IST|MED|
MED|KOA,|KOA|YVR|MUC|IST|MED|
MED|LAR,|LAR|DEN|FRA|IST|MED|
MED|LBB,|LBB|DAL|STL|ORD|IST|MED|
