CCS|KHG,|KHG|URC|PEK|IAH|CCS|
CCS|KRL,|KRL|URC|PEK|IAH|CCS|
CCS|KRY,|KRY|URC|PEK|IAH|CCS|
CCS|LBD,|LBD|URC|PEK|IAH|CCS|
CCS|NLT,|NLT|URC|PEK|IAH|CCS|
CCS|OSS,|OSS|IST|IAH|CCS|
CCS|OVB,|OVB|IST|IAH|CCS|
CCS|TBS,|TBS|SAW|VIE|YYZ|IAH|CCS|
CCS|TCG,|TCG|URC|PEK|IAH|CCS|
CCS|TSE,|TSE|FRA|IAH|CCS|
CCS|YIN,|YIN|URC|PEK|IAH|CCS|
CCS|ENH,|ENH|WUH|PEK|IAH|CCS|
CCS|ENY,|ENY|XIY|PEK|IAH|CCS|
CCS|WXN,|WXN|XIY|PEK|IAH|CCS|
CCS|BLL,|BLL|IST|IAH|CCS|
CCS|ESB,|ESB|VIE|YYZ|IAH|CCS|
CCS|SAW,|SAW|VIE|YYZ|IAH|CCS|
CCS|HAM,|HAM|EWR|IAH|CCS|
CCS|HRE,|HRE|ADD|JED|FRA|IAH|CCS|
CCS|JUB,|JUB|CAI|JFK|IAD|IAH|CCS|
CCS|SSG,|SSG|DLA|BRU|YUL|IAH|CCS|
CCS|BGW,|BGW|ESB|VIE|YYZ|IAH|CCS|
CCS|EBL,|EBL|IST|IAH|CCS|
CCS|VKO,|VKO|IST|IAH|CCS|
CCS|MCT,|MCT|AUH|YYZ|IAH|CCS|
CCS|AYT,|AYT|IST|IAH|CCS|
CCS|SCQ,|SCQ|BIO|IST|IAH|CCS|
CCS|AAL,|AAL|IST|IAH|CCS|
CCS|AOE,|AOE|BRU|YUL|IAH|CCS|
CCS|JNB,|JNB|DKR|IAD|IAH|CCS|
CCS|LBV,|LBV|DLA|BRU|YUL|IAH|CCS|
CCS|ADA,|ADA|SAW|VIE|YYZ|IAH|CCS|
CCS|ADB,|ADB|HAM|EWR|IAH|CCS|
CCS|ADF,|ADF|ESB|VIE|YYZ|IAH|CCS|
CCS|AJI,|AJI|ESB|VIE|YYZ|IAH|CCS|
CCS|BAL,|BAL|ESB|VIE|YYZ|IAH|CCS|
CCS|BJV,|BJV|IST|IAH|CCS|
CCS|CKZ,|CKZ|ESB|VIE|YYZ|IAH|CCS|
CCS|DIY,|DIY|ESB|VIE|YYZ|IAH|CCS|
CCS|ECN,|ECN|IST|IAH|CCS|
CCS|ERC,|ERC|ESB|VIE|YYZ|IAH|CCS|
CCS|ERZ,|ERZ|ESB|VIE|YYZ|IAH|CCS|
CCS|EZS,|EZS|ESB|VIE|YYZ|IAH|CCS|
CCS|GNY,|GNY|ESB|VIE|YYZ|IAH|CCS|
