OKC|LIS,|LIS|EWR|OKC|
OKC|LJU,|LJU|IST|ORD|OKC|
OKC|LOS,|LOS|IAH|OKC|
OKC|LUX,|LUX|IST|ORD|OKC|
OKC|LWO,|LWO|IST|ORD|OKC|
OKC|LYS,|LYS|IST|ORD|OKC|
OKC|MAD,|MAD|EWR|OKC|
OKC|MAN,|MAN|EWR|OKC|
OKC|MED,|MED|IST|ORD|OKC|
OKC|MHD,|MHD|IST|ORD|OKC|
OKC|MLA,|MLA|IST|ORD|OKC|
OKC|MRS,|MRS|IST|ORD|OKC|
OKC|MSQ,|MSQ|IST|ORD|OKC|
OKC|MXP,|MXP|EWR|OKC|
OKC|MZH,|MZH|IST|ORD|OKC|
OKC|MZR,|MZR|IST|ORD|OKC|
OKC|NAJ,|NAJ|IST|ORD|OKC|
OKC|NAV,|NAV|IST|ORD|OKC|
OKC|NCE,|NCE|IST|ORD|OKC|
OKC|NIM,|NIM|IST|ORD|OKC|
OKC|NJF,|NJF|IST|ORD|OKC|
OKC|NSI,|NSI|BRU|ORD|OKC|
OKC|NUE,|NUE|IST|ORD|OKC|
OKC|ODS,|ODS|IST|ORD|OKC|
OKC|ORN,|ORN|IST|ORD|OKC|
OKC|OTP,|OTP|IST|ORD|OKC|
OKC|PRG,|PRG|BRU|ORD|OKC|
OKC|PRN,|PRN|IST|ORD|OKC|
OKC|RIX,|RIX|IST|ORD|OKC|
OKC|ROV,|ROV|IST|ORD|OKC|
OKC|RTM,|RTM|IST|ORD|OKC|
OKC|RUH,|RUH|IST|ORD|OKC|
OKC|SAH,|SAH|IST|ORD|OKC|
OKC|SJJ,|SJJ|IST|ORD|OKC|
OKC|SKG,|SKG|IST|ORD|OKC|
OKC|SKP,|SKP|IST|ORD|OKC|
OKC|SSH,|SSH|IST|ORD|OKC|
OKC|STR,|STR|EWR|OKC|
OKC|SVX,|SVX|IST|ORD|OKC|
OKC|SYZ,|SYZ|IST|ORD|OKC|
OKC|SZG,|SZG|IST|ORD|OKC|
OKC|TBZ,|TBZ|IST|ORD|OKC|
OKC|TGD,|TGD|IST|ORD|OKC|
OKC|TIA,|TIA|IST|ORD|OKC|
OKC|TIF,|TIF|IST|ORD|OKC|
OKC|TIP,|TIP|IST|ORD|OKC|
OKC|TLL,|TLL|VNO|CPH|YYZ|STL|OKC|
OKC|TLS,|TLS|IST|ORD|OKC|
OKC|TRN,|TRN|IST|ORD|OKC|
OKC|TUN,|TUN|IST|ORD|OKC|
