HTY|LJU,|LJU|IST|HTY|
HTY|LOS,|LOS|IST|HTY|
HTY|LUX,|LUX|IST|HTY|
HTY|LWO,|LWO|IST|HTY|
HTY|LYS,|LYS|IST|HTY|
HTY|MAD,|MAD|IST|HTY|
HTY|MAN,|MAN|IST|HTY|
HTY|MED,|MED|IST|HTY|
HTY|MHD,|MHD|IST|HTY|
HTY|MLA,|MLA|SAW|HTY|
HTY|MRS,|MRS|IST|HTY|
HTY|MSQ,|MSQ|IST|HTY|
HTY|MXP,|MXP|IST|HTY|
HTY|MZH,|MZH|IST|HTY|
HTY|MZR,|MZR|IST|HTY|
HTY|NAJ,|NAJ|IST|HTY|
HTY|NAV,|NAV|IST|HTY|
HTY|NCE,|NCE|IST|HTY|
HTY|NIM,|NIM|IST|HTY|
HTY|NJF,|NJF|IST|HTY|
HTY|NSI,|NSI|IST|HTY|
HTY|NUE,|NUE|IST|HTY|
HTY|ODS,|ODS|IST|HTY|
HTY|ORN,|ORN|IST|HTY|
HTY|OTP,|OTP|IST|HTY|
HTY|PRG,|PRG|IST|HTY|
HTY|PRN,|PRN|IST|HTY|
HTY|RIX,|RIX|IST|HTY|
HTY|ROV,|ROV|IST|HTY|
HTY|RTM,|RTM|IST|HTY|
HTY|RUH,|RUH|IST|HTY|
HTY|SAH,|SAH|IST|HTY|
HTY|SJJ,|SJJ|IST|HTY|
HTY|SKG,|SKG|IST|HTY|
HTY|SKP,|SKP|IST|HTY|
HTY|SSH,|SSH|IST|HTY|
HTY|STR,|STR|IST|HTY|
HTY|SVX,|SVX|IST|HTY|
HTY|SYZ,|SYZ|IST|HTY|
HTY|SZG,|SZG|IST|HTY|
HTY|TBZ,|TBZ|IST|HTY|
HTY|TGD,|TGD|IST|HTY|
HTY|TIA,|TIA|IST|HTY|
HTY|TIF,|TIF|IST|HTY|
HTY|TIP,|TIP|IST|HTY|
HTY|TLL,|TLL|IST|HTY|
HTY|TLS,|TLS|IST|HTY|
HTY|TRN,|TRN|IST|HTY|
HTY|TUN,|TUN|IST|HTY|
HTY|TXL,|TXL|IST|HTY|
HTY|UFA,|UFA|IST|HTY|
HTY|VAS,|VAS|SAW|HTY|
HTY|VCE,|VCE|IST|HTY|
HTY|YNB,|YNB|IST|HTY|
HTY|ZAG,|ZAG|IST|HTY|
HTY|MGQ,|MGQ|JIB|IST|HTY|
HTY|CPT,|CPT|JNB|IST|HTY|
HTY|MBA,|MBA|JRO|IST|HTY|
HTY|NDJ,|NDJ|KAN|IST|HTY|
HTY|CMB,|CMB|MLE|IST|HTY|
HTY|ADE,|ADE|SAH|IST|HTY|
HTY|ASF,|ASF|SAW|HTY|
HTY|STW,|STW|SAW|HTY|
HTY|LFW,|LFW|ABJ|OUA|NIM|IST|HTY|
HTY|CEC,|CEC|ACV|SMF|SEA|FRA|SAW|HTY|
HTY|SMF,|SMF|SEA|FRA|SAW|HTY|
HTY|CDR,|CDR|AIA|DEN|FRA|SAW|HTY|
HTY|FMN,|FMN|DEN|FRA|SAW|HTY|
HTY|JST,|JST|IAD|FRA|SAW|HTY|
HTY|JHW,|JHW|CLE|YYZ|VIE|SAW|HTY|
