SHE|JHW,|JHW|CLE|YYZ|PEK|SHE|
SHE|SHD,|SHD|IAD|PEK|SHE|
SHE|PTY,|PTY|IAH|YVR|ICN|SHE|
SHE|FNA,|FNA|BRU|IST|PEK|SHE|
SHE|SXB,|SXB|BRU|IST|PEK|SHE|
SHE|ACV,|ACV|SFO|ICN|SHE|
SHE|MGW,|MGW|IAD|PEK|SHE|
SHE|ALB,|ALB|EWR|PEK|SHE|
SHE|AUS,|AUS|DEN|YVR|ICN|SHE|
SHE|BFD,|BFD|CLE|YYZ|PEK|SHE|
SHE|BUF,|BUF|CLE|YYZ|PEK|SHE|
SHE|CHS,|CHS|ORD|PEK|SHE|
SHE|DAY,|DAY|ORD|PEK|SHE|
SHE|DUJ,|DUJ|CLE|YYZ|PEK|SHE|
SHE|ERI,|ERI|CLE|YYZ|PEK|SHE|
SHE|FKL,|FKL|CLE|YYZ|PEK|SHE|
SHE|FNT,|FNT|CLE|YYZ|PEK|SHE|
SHE|GRR,|GRR|ORD|PEK|SHE|
SHE|GSP,|GSP|ORD|PEK|SHE|
SHE|PBI,|PBI|ATL|ORD|PEK|SHE|
SHE|PKB,|PKB|CLE|YYZ|PEK|SHE|
SHE|RIC,|RIC|IAD|PEK|SHE|
