ORF|GOT,|GOT|BRU|EWR|ORF|
ORF|HAJ,|HAJ|BRU|EWR|ORF|
ORF|HBE,|HBE|IST|BHX|EWR|ORF|
ORF|HEL,|HEL|IST|BHX|EWR|ORF|
ORF|HRG,|HRG|IST|BHX|EWR|ORF|
ORF|IFN,|IFN|IST|BHX|EWR|ORF|
ORF|ISE,|ISE|IST|BHX|EWR|ORF|
ORF|ISU,|ISU|IST|BHX|EWR|ORF|
ORF|JIB,|JIB|IST|BHX|EWR|ORF|
ORF|JRO,|JRO|IST|BHX|EWR|ORF|
ORF|KAN,|KAN|IST|BHX|EWR|ORF|
ORF|KBL,|KBL|IST|BHX|EWR|ORF|
ORF|KBP,|KBP|IST|BHX|EWR|ORF|
ORF|KFS,|KFS|IST|BHX|EWR|ORF|
ORF|KHI,|KHI|IST|BHX|EWR|ORF|
ORF|KIV,|KIV|IST|BHX|EWR|ORF|
ORF|KRT,|KRT|IST|BHX|EWR|ORF|
ORF|KSH,|KSH|IST|BHX|EWR|ORF|
ORF|KVD,|KVD|IST|BHX|EWR|ORF|
ORF|KWI,|KWI|SAW|FRA|EWR|ORF|
ORF|KYA,|KYA|IST|BHX|EWR|ORF|
ORF|KZN,|KZN|IST|BHX|EWR|ORF|
ORF|KZR,|KZR|IST|BHX|EWR|ORF|
ORF|LED,|LED|VIE|IAD|ORF|
ORF|LEJ,|LEJ|IST|BHX|EWR|ORF|
ORF|LGW,|LGW|IST|BHX|EWR|ORF|
ORF|LHE,|LHE|IST|BHX|EWR|ORF|
ORF|LIS,|LIS|EWR|ORF|
ORF|LJU,|LJU|IST|BHX|EWR|ORF|
ORF|LOS,|LOS|FRA|EWR|ORF|
ORF|LUX,|LUX|IST|BHX|EWR|ORF|
ORF|LWO,|LWO|IST|BHX|EWR|ORF|
ORF|LYS,|LYS|IST|BHX|EWR|ORF|
ORF|MAD,|MAD|EWR|ORF|
ORF|MAN,|MAN|EWR|ORF|
ORF|MED,|MED|IST|BHX|EWR|ORF|
ORF|MHD,|MHD|IST|BHX|EWR|ORF|
ORF|MLA,|MLA|IST|BHX|EWR|ORF|
ORF|MRS,|MRS|IST|BHX|EWR|ORF|
ORF|MSQ,|MSQ|IST|BHX|EWR|ORF|
ORF|MXP,|MXP|EWR|ORF|
ORF|MZH,|MZH|IST|BHX|EWR|ORF|
ORF|MZR,|MZR|IST|BHX|EWR|ORF|
ORF|NAJ,|NAJ|IST|BHX|EWR|ORF|
ORF|NAV,|NAV|IST|BHX|EWR|ORF|
ORF|NCE,|NCE|IST|BHX|EWR|ORF|
ORF|NIM,|NIM|IST|BHX|EWR|ORF|
ORF|NJF,|NJF|IST|BHX|EWR|ORF|
ORF|NSI,|NSI|BRU|EWR|ORF|
ORF|NUE,|NUE|IST|BHX|EWR|ORF|
ORF|ODS,|ODS|IST|BHX|EWR|ORF|
ORF|ORN,|ORN|IST|BHX|EWR|ORF|
ORF|OTP,|OTP|IST|BHX|EWR|ORF|
ORF|PRG,|PRG|BRU|EWR|ORF|
ORF|PRN,|PRN|IST|BHX|EWR|ORF|
ORF|RIX,|RIX|IST|BHX|EWR|ORF|
ORF|ROV,|ROV|IST|BHX|EWR|ORF|
ORF|RTM,|RTM|IST|BHX|EWR|ORF|
ORF|RUH,|RUH|IST|BHX|EWR|ORF|
ORF|SAH,|SAH|IST|BHX|EWR|ORF|
ORF|SJJ,|SJJ|IST|BHX|EWR|ORF|
ORF|SKG,|SKG|IST|BHX|EWR|ORF|
ORF|SKP,|SKP|IST|BHX|EWR|ORF|
ORF|SSH,|SSH|IST|BHX|EWR|ORF|
ORF|STR,|STR|EWR|ORF|
ORF|SVX,|SVX|IST|BHX|EWR|ORF|
ORF|SYZ,|SYZ|IST|BHX|EWR|ORF|
ORF|SZG,|SZG|IST|BHX|EWR|ORF|
ORF|TBZ,|TBZ|IST|BHX|EWR|ORF|
ORF|TGD,|TGD|IST|BHX|EWR|ORF|
ORF|TIA,|TIA|IST|BHX|EWR|ORF|
ORF|TIF,|TIF|IST|BHX|EWR|ORF|
ORF|TIP,|TIP|IST|BHX|EWR|ORF|
ORF|TLL,|TLL|VNO|CPH|AMS|EWR|ORF|
ORF|TLS,|TLS|IST|BHX|EWR|ORF|
ORF|TRN,|TRN|IST|BHX|EWR|ORF|
