MKE|KHI,|KHI|IST|YYZ|MKE|
MKE|KIV,|KIV|IST|YYZ|MKE|
MKE|KRT,|KRT|IST|YYZ|MKE|
MKE|KSH,|KSH|IST|YYZ|MKE|
MKE|KVD,|KVD|IST|YYZ|MKE|
MKE|KWI,|KWI|SAW|VIE|YYZ|MKE|
MKE|KYA,|KYA|IST|YYZ|MKE|
MKE|KZN,|KZN|IST|YYZ|MKE|
MKE|KZR,|KZR|IST|YYZ|MKE|
MKE|LED,|LED|VIE|YYZ|MKE|
MKE|LEJ,|LEJ|IST|YYZ|MKE|
MKE|LGW,|LGW|IST|YYZ|MKE|
MKE|LHE,|LHE|IST|YYZ|MKE|
MKE|LIS,|LIS|EWR|MKE|
MKE|LJU,|LJU|IST|YYZ|MKE|
MKE|LOS,|LOS|FRA|YYZ|MKE|
MKE|LUX,|LUX|IST|YYZ|MKE|
MKE|LWO,|LWO|IST|YYZ|MKE|
MKE|LYS,|LYS|IST|YYZ|MKE|
MKE|MAD,|MAD|EWR|MKE|
MKE|MAN,|MAN|EWR|MKE|
MKE|MED,|MED|IST|YYZ|MKE|
MKE|MHD,|MHD|IST|YYZ|MKE|
MKE|MLA,|MLA|IST|YYZ|MKE|
MKE|MRS,|MRS|IST|YYZ|MKE|
MKE|MSQ,|MSQ|IST|YYZ|MKE|
MKE|MXP,|MXP|EWR|MKE|
MKE|MZH,|MZH|IST|YYZ|MKE|
MKE|MZR,|MZR|IST|YYZ|MKE|
MKE|NAJ,|NAJ|IST|YYZ|MKE|
MKE|NAV,|NAV|IST|YYZ|MKE|
MKE|NCE,|NCE|IST|YYZ|MKE|
MKE|NIM,|NIM|IST|YYZ|MKE|
MKE|NJF,|NJF|IST|YYZ|MKE|
MKE|NSI,|NSI|BRU|YUL|YYZ|MKE|
MKE|NUE,|NUE|IST|YYZ|MKE|
MKE|ODS,|ODS|IST|YYZ|MKE|
MKE|ORN,|ORN|IST|YYZ|MKE|
MKE|OTP,|OTP|IST|YYZ|MKE|
MKE|PRG,|PRG|BRU|YUL|YYZ|MKE|
MKE|PRN,|PRN|IST|YYZ|MKE|
MKE|RIX,|RIX|IST|YYZ|MKE|
MKE|ROV,|ROV|IST|YYZ|MKE|
MKE|RTM,|RTM|IST|YYZ|MKE|
MKE|RUH,|RUH|IST|YYZ|MKE|
MKE|SAH,|SAH|IST|YYZ|MKE|
MKE|SJJ,|SJJ|IST|YYZ|MKE|
MKE|SKG,|SKG|IST|YYZ|MKE|
MKE|SKP,|SKP|IST|YYZ|MKE|
MKE|SSH,|SSH|IST|YYZ|MKE|
MKE|STR,|STR|EWR|MKE|
MKE|SVX,|SVX|IST|YYZ|MKE|
MKE|SYZ,|SYZ|IST|YYZ|MKE|
MKE|SZG,|SZG|IST|YYZ|MKE|
MKE|TBZ,|TBZ|IST|YYZ|MKE|
MKE|TGD,|TGD|IST|YYZ|MKE|
MKE|TIA,|TIA|IST|YYZ|MKE|
MKE|TIF,|TIF|IST|YYZ|MKE|
MKE|TIP,|TIP|IST|YYZ|MKE|
MKE|TLL,|TLL|VNO|CPH|YYZ|MKE|
MKE|TLS,|TLS|IST|YYZ|MKE|
MKE|TRN,|TRN|IST|YYZ|MKE|
MKE|TUN,|TUN|IST|YYZ|MKE|
MKE|TXL,|TXL|EWR|MKE|
MKE|UFA,|UFA|IST|YYZ|MKE|
MKE|VAS,|VAS|SAW|VIE|YYZ|MKE|
MKE|VCE,|VCE|IST|YYZ|MKE|
MKE|YNB,|YNB|IST|YYZ|MKE|
MKE|ZAG,|ZAG|IST|YYZ|MKE|
MKE|MGQ,|MGQ|JIB|IST|YYZ|MKE|
MKE|CPT,|CPT|JNB|JFK|YYZ|MKE|
MKE|MBA,|MBA|JRO|IST|YYZ|MKE|
MKE|NDJ,|NDJ|KAN|IST|YYZ|MKE|
MKE|CMB,|CMB|MLE|IST|YYZ|MKE|
MKE|ADE,|ADE|SAH|IST|YYZ|MKE|
MKE|ASF,|ASF|SAW|VIE|YYZ|MKE|
MKE|STW,|STW|SAW|VIE|YYZ|MKE|
