KRY|MZH,|MZH|IST|URC|KRY|
KRY|MZR,|MZR|IST|URC|KRY|
KRY|NAJ,|NAJ|IST|URC|KRY|
KRY|NAV,|NAV|IST|URC|KRY|
KRY|NCE,|NCE|IST|URC|KRY|
KRY|NIM,|NIM|IST|URC|KRY|
KRY|NJF,|NJF|IST|URC|KRY|
KRY|NSI,|NSI|IST|URC|KRY|
KRY|NUE,|NUE|IST|URC|KRY|
KRY|ODS,|ODS|IST|URC|KRY|
KRY|ORN,|ORN|IST|URC|KRY|
KRY|OTP,|OTP|IST|URC|KRY|
KRY|PRG,|PRG|IST|URC|KRY|
KRY|PRN,|PRN|IST|URC|KRY|
KRY|RIX,|RIX|IST|URC|KRY|
KRY|ROV,|ROV|IST|URC|KRY|
KRY|RTM,|RTM|IST|URC|KRY|
KRY|RUH,|RUH|IST|URC|KRY|
KRY|SAH,|SAH|IST|URC|KRY|
KRY|SJJ,|SJJ|IST|URC|KRY|
KRY|SKG,|SKG|IST|URC|KRY|
KRY|SKP,|SKP|IST|URC|KRY|
KRY|SSH,|SSH|IST|URC|KRY|
KRY|STR,|STR|IST|URC|KRY|
KRY|SVX,|SVX|IST|URC|KRY|
KRY|SYZ,|SYZ|IST|URC|KRY|
KRY|SZG,|SZG|IST|URC|KRY|
KRY|TBZ,|TBZ|IST|URC|KRY|
KRY|TGD,|TGD|IST|URC|KRY|
KRY|TIA,|TIA|IST|URC|KRY|
KRY|TIF,|TIF|IST|URC|KRY|
KRY|TIP,|TIP|IST|URC|KRY|
KRY|TLL,|TLL|IST|URC|KRY|
KRY|TLS,|TLS|IST|URC|KRY|
KRY|TRN,|TRN|IST|URC|KRY|
KRY|TUN,|TUN|IST|URC|KRY|
KRY|TXL,|TXL|IST|URC|KRY|
KRY|UFA,|UFA|IST|URC|KRY|
KRY|VAS,|VAS|SAW|TBS|URC|KRY|
KRY|VCE,|VCE|IST|URC|KRY|
KRY|YNB,|YNB|IST|URC|KRY|
KRY|ZAG,|ZAG|IST|URC|KRY|
