YQX|JIB,|JIB|IST|LHR|YYT|YQX|
YQX|JRO,|JRO|IST|LHR|YYT|YQX|
YQX|KAN,|KAN|IST|LHR|YYT|YQX|
YQX|KBL,|KBL|IST|LHR|YYT|YQX|
YQX|KBP,|KBP|IST|LHR|YYT|YQX|
YQX|KFS,|KFS|IST|LHR|YYT|YQX|
YQX|KHI,|KHI|IST|LHR|YYT|YQX|
YQX|KIV,|KIV|IST|LHR|YYT|YQX|
YQX|KRT,|KRT|IST|LHR|YYT|YQX|
YQX|KSH,|KSH|IST|LHR|YYT|YQX|
YQX|KVD,|KVD|IST|LHR|YYT|YQX|
YQX|KWI,|KWI|IST|LHR|YYT|YQX|
YQX|KYA,|KYA|IST|LHR|YYT|YQX|
YQX|KZN,|KZN|IST|LHR|YYT|YQX|
YQX|KZR,|KZR|IST|LHR|YYT|YQX|
YQX|LED,|LED|IST|LHR|YYT|YQX|
YQX|LEJ,|LEJ|IST|LHR|YYT|YQX|
YQX|LGW,|LGW|IST|LHR|YYT|YQX|
YQX|LHE,|LHE|IST|LHR|YYT|YQX|
YQX|LIS,|LIS|EWR|YHZ|YQX|
YQX|LJU,|LJU|IST|LHR|YYT|YQX|
YQX|LOS,|LOS|IST|LHR|YYT|YQX|
YQX|LUX,|LUX|IST|LHR|YYT|YQX|
YQX|LWO,|LWO|IST|LHR|YYT|YQX|
YQX|LYS,|LYS|IST|LHR|YYT|YQX|
