JAN|KRT,|KRT|IST|ORD|JAN|
JAN|KSH,|KSH|IST|ORD|JAN|
JAN|KVD,|KVD|IST|ORD|JAN|
JAN|KWI,|KWI|SAW|VIE|ORD|JAN|
JAN|KYA,|KYA|IST|ORD|JAN|
JAN|KZN,|KZN|IST|ORD|JAN|
JAN|KZR,|KZR|IST|ORD|JAN|
JAN|LED,|LED|VIE|ORD|JAN|
JAN|LEJ,|LEJ|IST|ORD|JAN|
JAN|LGW,|LGW|IST|ORD|JAN|
JAN|LHE,|LHE|IST|ORD|JAN|
JAN|LIS,|LIS|EWR|MDW|JAN|
JAN|LJU,|LJU|IST|ORD|JAN|
JAN|LOS,|LOS|IAH|JAN|
JAN|LUX,|LUX|IST|ORD|JAN|
JAN|LWO,|LWO|IST|ORD|JAN|
JAN|LYS,|LYS|IST|ORD|JAN|
JAN|MAD,|MAD|EWR|MDW|JAN|
JAN|MAN,|MAN|EWR|MDW|JAN|
JAN|MED,|MED|IST|ORD|JAN|
JAN|MHD,|MHD|IST|ORD|JAN|
JAN|MLA,|MLA|IST|ORD|JAN|
JAN|MRS,|MRS|IST|ORD|JAN|
JAN|MSQ,|MSQ|IST|ORD|JAN|
JAN|MXP,|MXP|EWR|MDW|JAN|
JAN|MZH,|MZH|IST|ORD|JAN|
JAN|MZR,|MZR|IST|ORD|JAN|
JAN|NAJ,|NAJ|IST|ORD|JAN|
JAN|NAV,|NAV|IST|ORD|JAN|
JAN|NCE,|NCE|IST|ORD|JAN|
JAN|NIM,|NIM|IST|ORD|JAN|
JAN|NJF,|NJF|IST|ORD|JAN|
JAN|NSI,|NSI|BRU|ORD|JAN|
JAN|NUE,|NUE|IST|ORD|JAN|
JAN|ODS,|ODS|IST|ORD|JAN|
JAN|ORN,|ORN|IST|ORD|JAN|
JAN|OTP,|OTP|IST|ORD|JAN|
JAN|PRG,|PRG|BRU|ORD|JAN|
JAN|PRN,|PRN|IST|ORD|JAN|
JAN|RIX,|RIX|IST|ORD|JAN|
JAN|ROV,|ROV|IST|ORD|JAN|
JAN|RTM,|RTM|IST|ORD|JAN|
