UFA|KZN,|KZN|IST|UFA|
UFA|KZR,|KZR|IST|UFA|
UFA|LED,|LED|IST|UFA|
UFA|LEJ,|LEJ|IST|UFA|
UFA|LGW,|LGW|IST|UFA|
UFA|LHE,|LHE|IST|UFA|
UFA|LIS,|LIS|IST|UFA|
UFA|LJU,|LJU|IST|UFA|
UFA|LOS,|LOS|IST|UFA|
UFA|LUX,|LUX|IST|UFA|
UFA|LWO,|LWO|IST|UFA|
UFA|LYS,|LYS|IST|UFA|
UFA|MAD,|MAD|IST|UFA|
UFA|MAN,|MAN|IST|UFA|
UFA|MED,|MED|IST|UFA|
UFA|MHD,|MHD|IST|UFA|
UFA|MLA,|MLA|IST|UFA|
UFA|MRS,|MRS|IST|UFA|
UFA|MSQ,|MSQ|IST|UFA|
UFA|MXP,|MXP|IST|UFA|
UFA|MZH,|MZH|IST|UFA|
UFA|MZR,|MZR|IST|UFA|
UFA|NAJ,|NAJ|IST|UFA|
UFA|NAV,|NAV|IST|UFA|
UFA|NCE,|NCE|IST|UFA|
UFA|NIM,|NIM|IST|UFA|
UFA|NJF,|NJF|IST|UFA|
UFA|NSI,|NSI|IST|UFA|
UFA|NUE,|NUE|IST|UFA|
UFA|ODS,|ODS|IST|UFA|
UFA|ORN,|ORN|IST|UFA|
UFA|OTP,|OTP|IST|UFA|
UFA|PRG,|PRG|IST|UFA|
UFA|PRN,|PRN|IST|UFA|
UFA|RIX,|RIX|IST|UFA|
UFA|ROV,|ROV|IST|UFA|
UFA|RTM,|RTM|IST|UFA|
UFA|RUH,|RUH|IST|UFA|
UFA|SAH,|SAH|IST|UFA|
UFA|SJJ,|SJJ|IST|UFA|
UFA|SKG,|SKG|IST|UFA|
UFA|SKP,|SKP|IST|UFA|
UFA|SSH,|SSH|IST|UFA|
UFA|STR,|STR|IST|UFA|
UFA|SVX,|SVX|IST|UFA|
UFA|SYZ,|SYZ|IST|UFA|
UFA|SZG,|SZG|IST|UFA|
UFA|TBZ,|TBZ|IST|UFA|
UFA|TGD,|TGD|IST|UFA|
UFA|TIA,|TIA|IST|UFA|
UFA|TIF,|TIF|IST|UFA|
UFA|TIP,|TIP|IST|UFA|
UFA|TLL,|TLL|IST|UFA|
UFA|TLS,|TLS|IST|UFA|
UFA|TRN,|TRN|IST|UFA|
UFA|TUN,|TUN|IST|UFA|
UFA|TXL,|TXL|IST|UFA|
UFA|VAS,|VAS|IST|UFA|
UFA|VCE,|VCE|IST|UFA|
UFA|YNB,|YNB|IST|UFA|
UFA|ZAG,|ZAG|IST|UFA|
UFA|MGQ,|MGQ|JIB|IST|UFA|
UFA|CPT,|CPT|JNB|IST|UFA|
UFA|MBA,|MBA|JRO|IST|UFA|
UFA|NDJ,|NDJ|KAN|IST|UFA|
UFA|CMB,|CMB|MLE|IST|UFA|
UFA|ADE,|ADE|SAH|IST|UFA|
UFA|ASF,|ASF|SAW|ADB|IST|UFA|
UFA|STW,|STW|SAW|ADB|IST|UFA|
UFA|LFW,|LFW|ABJ|OUA|NIM|IST|UFA|
UFA|CEC,|CEC|ACV|SMF|SEA|FRA|IST|UFA|
UFA|SMF,|SMF|SEA|FRA|IST|UFA|
UFA|CDR,|CDR|AIA|DEN|FRA|IST|UFA|
UFA|FMN,|FMN|DEN|FRA|IST|UFA|
UFA|JST,|JST|IAD|IST|UFA|
UFA|JHW,|JHW|CLE|YYZ|IST|UFA|
UFA|SHD,|SHD|IAD|IST|UFA|
UFA|PTY,|PTY|MIA|ZRH|IST|UFA|
UFA|FNA,|FNA|BRU|IST|UFA|
UFA|SXB,|SXB|BRU|IST|UFA|
UFA|ACV,|ACV|SMF|SEA|FRA|IST|UFA|
UFA|MGW,|MGW|IAD|IST|UFA|
UFA|ALB,|ALB|EWR|BHX|IST|UFA|
UFA|AUS,|AUS|ORD|IST|UFA|
UFA|BFD,|BFD|CLE|YYZ|IST|UFA|
UFA|BUF,|BUF|EWR|BHX|IST|UFA|
UFA|CHS,|CHS|EWR|BHX|IST|UFA|
UFA|DAY,|DAY|CLE|YYZ|IST|UFA|
UFA|DUJ,|DUJ|CLE|YYZ|IST|UFA|
UFA|ERI,|ERI|CLE|YYZ|IST|UFA|
UFA|FKL,|FKL|CLE|YYZ|IST|UFA|
UFA|FNT,|FNT|CLE|YYZ|IST|UFA|
UFA|GRR,|GRR|CLE|YYZ|IST|UFA|
UFA|GSP,|GSP|EWR|BHX|IST|UFA|
UFA|PBI,|PBI|EWR|BHX|IST|UFA|
UFA|PKB,|PKB|CLE|YYZ|IST|UFA|
UFA|RIC,|RIC|EWR|BHX|IST|UFA|
UFA|SDF,|SDF|CLE|YYZ|IST|UFA|
UFA|GUM,|GUM|FUK|ICN|IST|UFA|
UFA|WRL,|WRL|CYS|DEN|FRA|IST|UFA|
UFA|LBL,|UFA|
UFA|ABQ,|ABQ|DEN|FRA|IST|UFA|
