SYD|YNB,|YNB|IST|BKK|SYD|
SYD|ZAG,|ZAG|IST|BKK|SYD|
SYD|MGQ,|MGQ|JIB|IST|BKK|SYD|
SYD|CPT,|CPT|JNB|IST|BKK|SYD|
SYD|MBA,|MBA|JRO|IST|BKK|SYD|
SYD|NDJ,|NDJ|KAN|IST|BKK|SYD|
SYD|CMB,|CMB|MLE|CAN|SYD|
SYD|ADE,|ADE|SAH|IST|BKK|SYD|
SYD|ASF,|ASF|SAW|TBS|URC|CAN|SYD|
SYD|STW,|STW|SAW|TBS|URC|CAN|SYD|
SYD|LFW,|LFW|ABJ|OUA|NIM|IST|BKK|SYD|
SYD|CEC,|CEC|SFO|SYD|
SYD|SMF,|SMF|SFO|SYD|
SYD|CDR,|CDR|AIA|DEN|LAX|SYD|
SYD|FMN,|FMN|SOW|PHX|LAX|SYD|
SYD|JST,|JST|IAD|LAX|SYD|
SYD|JHW,|JHW|CLE|LAX|SYD|
SYD|SHD,|SHD|IAD|LAX|SYD|
SYD|PTY,|PTY|LAX|SYD|
SYD|FNA,|FNA|BRU|IST|BKK|SYD|
SYD|SXB,|SXB|BRU|IST|BKK|SYD|
SYD|ACV,|ACV|SFO|SYD|
SYD|MGW,|MGW|IAD|LAX|SYD|
SYD|ALB,|ALB|ORD|LAX|SYD|
SYD|AUS,|AUS|LAX|SYD|
SYD|BFD,|BFD|CLE|LAX|SYD|
SYD|BUF,|BUF|ORD|LAX|SYD|
SYD|CHS,|CHS|ATL|LAX|SYD|
SYD|DAY,|DAY|DEN|LAX|SYD|
SYD|DUJ,|DUJ|CLE|LAX|SYD|
SYD|ERI,|ERI|CLE|LAX|SYD|
SYD|FKL,|FKL|CLE|LAX|SYD|
SYD|FNT,|FNT|LAS|LAX|SYD|
SYD|GRR,|GRR|DEN|LAX|SYD|
SYD|GSP,|GSP|BNA|LAX|SYD|
SYD|PBI,|PBI|TPA|MSY|LAX|SYD|
SYD|PKB,|PKB|CLE|LAX|SYD|
SYD|RIC,|RIC|ORD|LAX|SYD|
SYD|SDF,|SDF|LAS|LAX|SYD|
SYD|GUM,|GUM|HKG|CAN|SYD|
SYD|WRL,|WRL|CYS|DEN|LAX|SYD|
SYD|LBL,|SYD|
SYD|ABQ,|ABQ|LAX|SYD|
SYD|AIA,|AIA|DEN|LAX|SYD|
SYD|ALS,|ALS|FMN|SOW|PHX|LAX|SYD|
SYD|AMA,|AMA|LAS|LAX|SYD|
SYD|ANC,|ANC|SEA|YVR|SYD|
SYD|ASE,|ASE|LAX|SYD|
