HRG|BUF,|BUF|EWR|BHX|IST|HRG|
HRG|CHS,|CHS|EWR|BHX|IST|HRG|
HRG|DAY,|DAY|CLE|YYZ|IST|HRG|
HRG|DUJ,|DUJ|CLE|YYZ|IST|HRG|
HRG|ERI,|ERI|CLE|YYZ|IST|HRG|
HRG|FKL,|FKL|CLE|YYZ|IST|HRG|
HRG|FNT,|FNT|CLE|YYZ|IST|HRG|
HRG|GRR,|GRR|CLE|YYZ|IST|HRG|
HRG|GSP,|GSP|EWR|BHX|IST|HRG|
HRG|PBI,|PBI|EWR|BHX|IST|HRG|
HRG|PKB,|PKB|CLE|YYZ|IST|HRG|
HRG|RIC,|RIC|EWR|BHX|IST|HRG|
HRG|SDF,|SDF|CLE|YYZ|IST|HRG|
HRG|GUM,|GUM|FUK|ICN|IST|HRG|
HRG|WRL,|WRL|CYS|DEN|FRA|IST|HRG|
HRG|LBL,|HRG|
HRG|ABQ,|ABQ|DEN|FRA|IST|HRG|
