VAS|TRN,|TRN|IST|VAS|
VAS|TUN,|TUN|IST|VAS|
VAS|TXL,|TXL|IST|VAS|
VAS|UFA,|UFA|IST|VAS|
VAS|VCE,|VCE|IST|VAS|
VAS|YNB,|YNB|IST|VAS|
VAS|ZAG,|ZAG|IST|VAS|
VAS|MGQ,|MGQ|JIB|IST|VAS|
VAS|CPT,|CPT|JNB|IST|VAS|
VAS|MBA,|MBA|JRO|IST|VAS|
VAS|NDJ,|NDJ|KAN|IST|VAS|
VAS|CMB,|CMB|MLE|IST|VAS|
VAS|ADE,|ADE|SAH|IST|VAS|
VAS|ASF,|ASF|SAW|VAS|
VAS|STW,|STW|SAW|VAS|
VAS|LFW,|LFW|ABJ|OUA|NIM|IST|VAS|
VAS|CEC,|CEC|ACV|SMF|SEA|FRA|SAW|VAS|
VAS|SMF,|SMF|SEA|FRA|SAW|VAS|
VAS|CDR,|CDR|AIA|DEN|FRA|SAW|VAS|
