ELM|DNZ,|DNZ|IST|ORD|ELM|
ELM|DOK,|DOK|IST|ORD|ELM|
ELM|DUS,|DUS|ORD|ELM|
ELM|EDI,|EDI|EWR|ORD|ELM|
ELM|ELQ,|ELQ|IST|ORD|ELM|
ELM|FDH,|FDH|IST|ORD|ELM|
ELM|GOA,|GOA|IST|ORD|ELM|
ELM|GOT,|GOT|BRU|ORD|ELM|
ELM|HAJ,|HAJ|BRU|ORD|ELM|
ELM|HBE,|HBE|IST|ORD|ELM|
ELM|HEL,|HEL|IST|ORD|ELM|
ELM|HRG,|HRG|IST|ORD|ELM|
ELM|IFN,|IFN|IST|ORD|ELM|
ELM|ISE,|ISE|IST|ORD|ELM|
ELM|ISU,|ISU|IST|ORD|ELM|
ELM|JIB,|JIB|IST|ORD|ELM|
ELM|JRO,|JRO|IST|ORD|ELM|
ELM|KAN,|KAN|IST|ORD|ELM|
ELM|KBL,|KBL|IST|ORD|ELM|
ELM|KBP,|KBP|IST|ORD|ELM|
ELM|KFS,|KFS|IST|ORD|ELM|
ELM|KHI,|KHI|IST|ORD|ELM|
ELM|KIV,|KIV|IST|ORD|ELM|
ELM|KRT,|KRT|IST|ORD|ELM|
ELM|KSH,|KSH|IST|ORD|ELM|
ELM|KVD,|KVD|IST|ORD|ELM|
ELM|KWI,|KWI|SAW|VIE|ORD|ELM|
ELM|KYA,|KYA|IST|ORD|ELM|
ELM|KZN,|KZN|IST|ORD|ELM|
ELM|KZR,|KZR|IST|ORD|ELM|
ELM|LED,|LED|VIE|ORD|ELM|
ELM|LEJ,|LEJ|IST|ORD|ELM|
ELM|LGW,|LGW|IST|ORD|ELM|
ELM|LHE,|LHE|IST|ORD|ELM|
ELM|LIS,|LIS|EWR|ORD|ELM|
ELM|LJU,|LJU|IST|ORD|ELM|
ELM|LOS,|LOS|FRA|ORD|ELM|
ELM|LUX,|LUX|IST|ORD|ELM|
ELM|LWO,|LWO|IST|ORD|ELM|
ELM|LYS,|LYS|IST|ORD|ELM|
ELM|MAD,|MAD|EWR|ORD|ELM|
ELM|MAN,|MAN|EWR|ORD|ELM|
ELM|MED,|MED|IST|ORD|ELM|
ELM|MHD,|MHD|IST|ORD|ELM|
ELM|MLA,|MLA|IST|ORD|ELM|
ELM|MRS,|MRS|IST|ORD|ELM|
ELM|MSQ,|MSQ|IST|ORD|ELM|
ELM|MXP,|MXP|EWR|ORD|ELM|
ELM|MZH,|MZH|IST|ORD|ELM|
ELM|MZR,|MZR|IST|ORD|ELM|
ELM|NAJ,|NAJ|IST|ORD|ELM|
ELM|NAV,|NAV|IST|ORD|ELM|
ELM|NCE,|NCE|IST|ORD|ELM|
ELM|NIM,|NIM|IST|ORD|ELM|
ELM|NJF,|NJF|IST|ORD|ELM|
ELM|NSI,|NSI|BRU|ORD|ELM|
ELM|NUE,|NUE|IST|ORD|ELM|
ELM|ODS,|ODS|IST|ORD|ELM|
ELM|ORN,|ORN|IST|ORD|ELM|
ELM|OTP,|OTP|IST|ORD|ELM|
ELM|PRG,|PRG|BRU|ORD|ELM|
ELM|PRN,|PRN|IST|ORD|ELM|
ELM|RIX,|RIX|IST|ORD|ELM|
ELM|ROV,|ROV|IST|ORD|ELM|
ELM|RTM,|RTM|IST|ORD|ELM|
ELM|RUH,|RUH|IST|ORD|ELM|
ELM|SAH,|SAH|IST|ORD|ELM|
ELM|SJJ,|SJJ|IST|ORD|ELM|
ELM|SKG,|SKG|IST|ORD|ELM|
ELM|SKP,|SKP|IST|ORD|ELM|
ELM|SSH,|SSH|IST|ORD|ELM|
ELM|STR,|STR|EWR|ORD|ELM|
ELM|SVX,|SVX|IST|ORD|ELM|
ELM|SYZ,|SYZ|IST|ORD|ELM|
ELM|SZG,|SZG|IST|ORD|ELM|
ELM|TBZ,|TBZ|IST|ORD|ELM|
ELM|TGD,|TGD|IST|ORD|ELM|
ELM|TIA,|TIA|IST|ORD|ELM|
ELM|TIF,|TIF|IST|ORD|ELM|
ELM|TIP,|TIP|IST|ORD|ELM|
ELM|TLL,|TLL|VNO|CPH|YYZ|ORD|ELM|
ELM|TLS,|TLS|IST|ORD|ELM|
ELM|TRN,|TRN|IST|ORD|ELM|
ELM|TUN,|TUN|IST|ORD|ELM|
ELM|TXL,|TXL|EWR|ORD|ELM|
ELM|UFA,|UFA|IST|ORD|ELM|
ELM|VAS,|VAS|SAW|VIE|ORD|ELM|
ELM|VCE,|VCE|IST|ORD|ELM|
ELM|YNB,|YNB|IST|ORD|ELM|
ELM|ZAG,|ZAG|IST|ORD|ELM|
ELM|MGQ,|MGQ|JIB|IST|ORD|ELM|
ELM|CPT,|CPT|JNB|DKR|IAD|ORD|ELM|
ELM|MBA,|MBA|JRO|IST|ORD|ELM|
ELM|NDJ,|NDJ|KAN|IST|ORD|ELM|
ELM|CMB,|CMB|MLE|IST|ORD|ELM|
ELM|ADE,|ADE|SAH|IST|ORD|ELM|
