SIN|DUS,|DUS|IST|SIN|
SIN|EDI,|EDI|IST|SIN|
SIN|ELQ,|ELQ|IST|SIN|
SIN|FDH,|FDH|IST|SIN|
SIN|GOA,|GOA|IST|SIN|
SIN|GOT,|GOT|IST|SIN|
SIN|HAJ,|HAJ|IST|SIN|
SIN|HBE,|HBE|IST|SIN|
SIN|HEL,|HEL|IST|SIN|
SIN|HRG,|HRG|IST|SIN|
SIN|IFN,|IFN|IST|SIN|
SIN|ISE,|ISE|IST|SIN|
SIN|ISU,|ISU|IST|SIN|
SIN|JIB,|JIB|IST|SIN|
SIN|JRO,|JRO|IST|SIN|
SIN|KAN,|KAN|IST|SIN|
SIN|KBL,|KBL|IST|SIN|
SIN|KBP,|KBP|IST|SIN|
SIN|KFS,|KFS|IST|SIN|
SIN|KHI,|KHI|IST|SIN|
SIN|KIV,|KIV|IST|SIN|
SIN|KRT,|KRT|IST|SIN|
SIN|KSH,|KSH|IST|SIN|
SIN|KVD,|KVD|IST|SIN|
SIN|KWI,|KWI|IST|SIN|
SIN|KYA,|KYA|IST|SIN|
SIN|KZN,|KZN|IST|SIN|
SIN|KZR,|KZR|IST|SIN|
SIN|LED,|LED|IST|SIN|
SIN|LEJ,|LEJ|IST|SIN|
SIN|LGW,|LGW|IST|SIN|
SIN|LHE,|LHE|IST|SIN|
SIN|LIS,|LIS|IST|SIN|
SIN|LJU,|LJU|IST|SIN|
SIN|LOS,|LOS|IST|SIN|
SIN|LUX,|LUX|IST|SIN|
SIN|LWO,|LWO|IST|SIN|
SIN|LYS,|LYS|IST|SIN|
SIN|MAD,|MAD|IST|SIN|
SIN|MAN,|MAN|IST|SIN|
SIN|MED,|MED|IST|SIN|
SIN|MHD,|MHD|IST|SIN|
SIN|MLA,|MLA|IST|SIN|
SIN|MRS,|MRS|IST|SIN|
SIN|MSQ,|MSQ|IST|SIN|
SIN|MXP,|MXP|IST|SIN|
SIN|MZH,|MZH|IST|SIN|
SIN|MZR,|MZR|IST|SIN|
SIN|NAJ,|NAJ|IST|SIN|
SIN|NAV,|NAV|IST|SIN|
SIN|NCE,|NCE|IST|SIN|
SIN|NIM,|NIM|IST|SIN|
SIN|NJF,|NJF|IST|SIN|
SIN|NSI,|NSI|IST|SIN|
SIN|NUE,|NUE|IST|SIN|
SIN|ODS,|ODS|IST|SIN|
SIN|ORN,|ORN|IST|SIN|
