PAP|BRE,|BRE|IST|FRA|YUL|PAP|
PAP|BSL,|BSL|IST|FRA|YUL|PAP|
PAP|BSR,|BSR|IST|FRA|YUL|PAP|
PAP|BUD,|BUD|IST|FRA|YUL|PAP|
PAP|BUS,|BUS|IST|FRA|YUL|PAP|
PAP|CAI,|CAI|IST|FRA|YUL|PAP|
PAP|CGN,|CGN|IST|FRA|YUL|PAP|
PAP|CMN,|CMN|IST|FRA|YUL|PAP|
PAP|CND,|CND|IST|FRA|YUL|PAP|
PAP|DAR,|DAR|NBO|ZRH|YUL|PAP|
PAP|DLM,|DLM|IST|FRA|YUL|PAP|
PAP|DMM,|DMM|IST|FRA|YUL|PAP|
PAP|DNK,|DNK|IST|FRA|YUL|PAP|
PAP|DNZ,|DNZ|IST|FRA|YUL|PAP|
PAP|DOK,|DOK|IST|FRA|YUL|PAP|
PAP|DUS,|DUS|EWR|YUL|PAP|
PAP|EDI,|EDI|EWR|YUL|PAP|
PAP|ELQ,|ELQ|IST|FRA|YUL|PAP|
PAP|FDH,|FDH|IST|FRA|YUL|PAP|
PAP|GOA,|GOA|IST|FRA|YUL|PAP|
PAP|GOT,|GOT|BRU|YUL|PAP|
PAP|HAJ,|HAJ|BRU|YUL|PAP|
PAP|HBE,|HBE|IST|FRA|YUL|PAP|
PAP|HEL,|HEL|IST|FRA|YUL|PAP|
PAP|HRG,|HRG|IST|FRA|YUL|PAP|
PAP|IFN,|IFN|IST|FRA|YUL|PAP|
PAP|ISE,|ISE|IST|FRA|YUL|PAP|
PAP|ISU,|ISU|IST|FRA|YUL|PAP|
PAP|JIB,|JIB|IST|FRA|YUL|PAP|
PAP|JRO,|JRO|IST|FRA|YUL|PAP|
PAP|KAN,|KAN|IST|FRA|YUL|PAP|
PAP|KBL,|KBL|IST|FRA|YUL|PAP|
PAP|KBP,|KBP|IST|FRA|YUL|PAP|
PAP|KFS,|KFS|IST|FRA|YUL|PAP|
PAP|KHI,|KHI|IST|FRA|YUL|PAP|
PAP|KIV,|KIV|IST|FRA|YUL|PAP|
PAP|KRT,|KRT|IST|FRA|YUL|PAP|
PAP|KSH,|KSH|IST|FRA|YUL|PAP|
PAP|KVD,|KVD|IST|FRA|YUL|PAP|
PAP|KWI,|KWI|SAW|FRA|YUL|PAP|
PAP|KYA,|KYA|IST|FRA|YUL|PAP|
PAP|KZN,|KZN|IST|FRA|YUL|PAP|
PAP|KZR,|KZR|IST|FRA|YUL|PAP|
PAP|LED,|LED|VIE|JFK|YUL|PAP|
PAP|LEJ,|LEJ|IST|FRA|YUL|PAP|
PAP|LGW,|LGW|IST|FRA|YUL|PAP|
PAP|LHE,|LHE|IST|FRA|YUL|PAP|
PAP|LIS,|LIS|EWR|YUL|PAP|
PAP|LJU,|LJU|IST|FRA|YUL|PAP|
PAP|LOS,|LOS|FRA|YUL|PAP|
PAP|LUX,|LUX|IST|FRA|YUL|PAP|
PAP|LWO,|LWO|IST|FRA|YUL|PAP|
PAP|LYS,|LYS|IST|FRA|YUL|PAP|
PAP|MAD,|MAD|EWR|YUL|PAP|
PAP|MAN,|MAN|EWR|YUL|PAP|
PAP|MED,|MED|IST|FRA|YUL|PAP|
PAP|MHD,|MHD|IST|FRA|YUL|PAP|
PAP|MLA,|MLA|IST|FRA|YUL|PAP|
PAP|MRS,|MRS|IST|FRA|YUL|PAP|
PAP|MSQ,|MSQ|IST|FRA|YUL|PAP|
PAP|MXP,|MXP|EWR|YUL|PAP|
PAP|MZH,|MZH|IST|FRA|YUL|PAP|
PAP|MZR,|MZR|IST|FRA|YUL|PAP|
