YCG|SSH,|SSH|IST|FRA|YYC|YCG|
YCG|STR,|STR|EWR|YYC|YCG|
YCG|SVX,|SVX|IST|FRA|YYC|YCG|
YCG|SYZ,|SYZ|IST|FRA|YYC|YCG|
YCG|SZG,|SZG|IST|FRA|YYC|YCG|
YCG|TBZ,|TBZ|IST|FRA|YYC|YCG|
YCG|TGD,|TGD|IST|FRA|YYC|YCG|
YCG|TIA,|TIA|IST|FRA|YYC|YCG|
YCG|TIF,|TIF|IST|FRA|YYC|YCG|
YCG|TIP,|TIP|IST|FRA|YYC|YCG|
YCG|TLL,|TLL|VNO|FRA|YYC|YCG|
