COS|KBP,|KBP|IST|FRA|DEN|COS|
COS|KFS,|KFS|IST|FRA|DEN|COS|
COS|KHI,|KHI|IST|FRA|DEN|COS|
COS|KIV,|KIV|IST|FRA|DEN|COS|
COS|KRT,|KRT|IST|FRA|DEN|COS|
COS|KSH,|KSH|IST|FRA|DEN|COS|
COS|KVD,|KVD|IST|FRA|DEN|COS|
COS|KWI,|KWI|SAW|FRA|DEN|COS|
COS|KYA,|KYA|IST|FRA|DEN|COS|
COS|KZN,|KZN|IST|FRA|DEN|COS|
COS|KZR,|KZR|IST|FRA|DEN|COS|
COS|LED,|LED|VIE|ORD|COS|
COS|LEJ,|LEJ|IST|FRA|DEN|COS|
COS|LGW,|LGW|IST|FRA|DEN|COS|
COS|LHE,|LHE|IST|FRA|DEN|COS|
COS|LIS,|LIS|EWR|ORD|COS|
COS|LJU,|LJU|IST|FRA|DEN|COS|
COS|LOS,|LOS|IAH|COS|
COS|LUX,|LUX|IST|FRA|DEN|COS|
COS|LWO,|LWO|IST|FRA|DEN|COS|
COS|LYS,|LYS|IST|FRA|DEN|COS|
COS|MAD,|MAD|EWR|ORD|COS|
COS|MAN,|MAN|EWR|ORD|COS|
COS|MED,|MED|IST|FRA|DEN|COS|
COS|MHD,|MHD|IST|FRA|DEN|COS|
COS|MLA,|MLA|IST|FRA|DEN|COS|
COS|MRS,|MRS|IST|FRA|DEN|COS|
COS|MSQ,|MSQ|IST|FRA|DEN|COS|
COS|MXP,|MXP|EWR|ORD|COS|
COS|MZH,|MZH|IST|FRA|DEN|COS|
COS|MZR,|MZR|IST|FRA|DEN|COS|
COS|NAJ,|NAJ|IST|FRA|DEN|COS|
COS|NAV,|NAV|IST|FRA|DEN|COS|
COS|NCE,|NCE|IST|FRA|DEN|COS|
COS|NIM,|NIM|IST|FRA|DEN|COS|
COS|NJF,|NJF|IST|FRA|DEN|COS|
COS|NSI,|NSI|BRU|ORD|COS|
COS|NUE,|NUE|IST|FRA|DEN|COS|
COS|ODS,|ODS|IST|FRA|DEN|COS|
COS|ORN,|ORN|IST|FRA|DEN|COS|
COS|OTP,|OTP|IST|FRA|DEN|COS|
COS|PRG,|PRG|BRU|ORD|COS|
COS|PRN,|PRN|IST|FRA|DEN|COS|
COS|RIX,|RIX|IST|FRA|DEN|COS|
COS|ROV,|ROV|IST|FRA|DEN|COS|
COS|RTM,|RTM|IST|FRA|DEN|COS|
COS|RUH,|RUH|IST|FRA|DEN|COS|
COS|SAH,|SAH|IST|FRA|DEN|COS|
COS|SJJ,|SJJ|IST|FRA|DEN|COS|
COS|SKG,|SKG|IST|FRA|DEN|COS|
COS|SKP,|SKP|IST|FRA|DEN|COS|
COS|SSH,|SSH|IST|FRA|DEN|COS|
COS|STR,|STR|EWR|ORD|COS|
COS|SVX,|SVX|IST|FRA|DEN|COS|
COS|SYZ,|SYZ|IST|FRA|DEN|COS|
COS|SZG,|SZG|IST|FRA|DEN|COS|
COS|TBZ,|TBZ|IST|FRA|DEN|COS|
COS|TGD,|TGD|IST|FRA|DEN|COS|
COS|TIA,|TIA|IST|FRA|DEN|COS|
COS|TIF,|TIF|IST|FRA|DEN|COS|
COS|TIP,|TIP|IST|FRA|DEN|COS|
COS|TLL,|TLL|VNO|CPH|YYZ|ORD|COS|
COS|TLS,|TLS|IST|FRA|DEN|COS|
COS|TRN,|TRN|IST|FRA|DEN|COS|
COS|TUN,|TUN|IST|FRA|DEN|COS|
COS|TXL,|TXL|EWR|ORD|COS|
COS|UFA,|UFA|IST|FRA|DEN|COS|
COS|VAS,|VAS|SAW|FRA|DEN|COS|
COS|VCE,|VCE|IST|FRA|DEN|COS|
COS|YNB,|YNB|IST|FRA|DEN|COS|
COS|ZAG,|ZAG|IST|FRA|DEN|COS|
COS|MGQ,|MGQ|JIB|IST|FRA|DEN|COS|
COS|CPT,|CPT|JNB|DKR|IAD|COS|
COS|MBA,|MBA|JRO|IST|FRA|DEN|COS|
COS|NDJ,|NDJ|KAN|IST|FRA|DEN|COS|
COS|CMB,|CMB|MLE|IST|FRA|DEN|COS|
COS|ADE,|ADE|SAH|IST|FRA|DEN|COS|
COS|ASF,|ASF|SAW|FRA|DEN|COS|
COS|STW,|STW|SAW|FRA|DEN|COS|
COS|LFW,|LFW|ABJ|BRU|ORD|COS|
COS|CEC,|CEC|ACV|SMF|DEN|COS|
COS|SMF,|SMF|DEN|COS|
COS|CDR,|CDR|AIA|DEN|COS|
COS|FMN,|FMN|DEN|COS|
