LFW|LUN,|LUN|NBO|IST|BRU|LFW|
LFW|AOG,|AOG|PEK|IST|BRU|LFW|
LFW|GMP,|GMP|PEK|IST|BRU|LFW|
LFW|ISB,|ISB|IST|BRU|LFW|
LFW|TAS,|TAS|IST|BRU|LFW|
LFW|WUS,|WUS|PEK|IST|BRU|LFW|
LFW|JMU,|JMU|PVG|IST|BRU|LFW|
LFW|NDG,|NDG|PVG|IST|BRU|LFW|
LFW|JXA,|JXA|SHE|PEK|IST|BRU|LFW|
LFW|PUS,|PUS|SHE|PEK|IST|BRU|LFW|
LFW|BKI,|BKI|SZX|CKG|URC|IST|BRU|LFW|
LFW|AKU,|AKU|URC|IST|BRU|LFW|
LFW|ALA,|ALA|IST|BRU|LFW|
LFW|ASB,|ASB|IST|BRU|LFW|
LFW|DNH,|DNH|URC|IST|BRU|LFW|
LFW|DYU,|DYU|IST|BRU|LFW|
LFW|FRU,|FRU|IST|BRU|LFW|
LFW|GYD,|GYD|IST|BRU|LFW|
LFW|HTN,|HTN|URC|IST|BRU|LFW|
LFW|IKA,|IKA|SAW|BRU|LFW|
LFW|KCA,|KCA|URC|IST|BRU|LFW|
LFW|KHG,|KHG|URC|IST|BRU|LFW|
LFW|KRL,|KRL|URC|IST|BRU|LFW|
LFW|KRY,|KRY|URC|IST|BRU|LFW|
LFW|LBD,|LBD|URC|IST|BRU|LFW|
LFW|NLT,|NLT|URC|IST|BRU|LFW|
LFW|OSS,|OSS|IST|BRU|LFW|
LFW|OVB,|OVB|IST|BRU|LFW|
LFW|TBS,|TBS|SAW|BRU|LFW|
LFW|TCG,|TCG|URC|IST|BRU|LFW|
LFW|TSE,|TSE|IST|BRU|LFW|
LFW|YIN,|YIN|URC|IST|BRU|LFW|
LFW|ENH,|ENH|WUH|URC|IST|BRU|LFW|
LFW|ENY,|ENY|XIY|URC|IST|BRU|LFW|
LFW|WXN,|WXN|XIY|URC|IST|BRU|LFW|
LFW|BLL,|BLL|IST|BRU|LFW|
LFW|ESB,|ESB|SAW|BRU|LFW|
LFW|SAW,|SAW|BRU|LFW|
LFW|HAM,|HAM|IST|BRU|LFW|
LFW|HRE,|HRE|ADD|IST|BRU|LFW|
LFW|JUB,|JUB|CAI|IST|BRU|LFW|
LFW|SSG,|SSG|DLA|BRU|LFW|
LFW|BGW,|BGW|IST|BRU|LFW|
LFW|EBL,|EBL|IST|BRU|LFW|
LFW|VKO,|VKO|IST|BRU|LFW|
LFW|MCT,|MCT|IST|BRU|LFW|
LFW|AYT,|AYT|IST|BRU|LFW|
LFW|SCQ,|SCQ|BIO|IST|BRU|LFW|
LFW|AAL,|AAL|IST|BRU|LFW|
LFW|AOE,|AOE|BRU|LFW|
LFW|JNB,|JNB|IST|BRU|LFW|
LFW|LBV,|LBV|DLA|BRU|LFW|
LFW|ADA,|ADA|SAW|BRU|LFW|
LFW|ADB,|ADB|IST|BRU|LFW|
LFW|ADF,|ADF|ESB|SAW|BRU|LFW|
LFW|AJI,|AJI|IST|BRU|LFW|
LFW|BAL,|BAL|ESB|SAW|BRU|LFW|
LFW|BJV,|BJV|IST|BRU|LFW|
LFW|CKZ,|CKZ|ESB|SAW|BRU|LFW|
LFW|DIY,|DIY|SAW|BRU|LFW|
LFW|ECN,|ECN|IST|BRU|LFW|
LFW|ERC,|ERC|IST|BRU|LFW|
LFW|ERZ,|ERZ|SAW|BRU|LFW|
LFW|EZS,|EZS|SAW|BRU|LFW|
LFW|GNY,|GNY|IST|BRU|LFW|
LFW|GZP,|GZP|ESB|SAW|BRU|LFW|
LFW|GZT,|GZT|SAW|BRU|LFW|
LFW|HTY,|HTY|SAW|BRU|LFW|
LFW|KCM,|KCM|IST|BRU|LFW|
LFW|KSY,|KSY|SAW|BRU|LFW|
LFW|MLX,|MLX|ESB|SAW|BRU|LFW|
LFW|MQM,|MQM|SAW|BRU|LFW|
LFW|MSR,|MSR|ESB|SAW|BRU|LFW|
LFW|TEQ,|TEQ|ESB|SAW|BRU|LFW|
LFW|TZX,|TZX|SAW|BRU|LFW|
LFW|VAN,|VAN|SAW|BRU|LFW|
LFW|ULN,|ULN|FRU|IST|BRU|LFW|
LFW|HIJ,|HIJ|ICN|IST|BRU|LFW|
LFW|VVO,|VVO|ICN|IST|BRU|LFW|
LFW|ACC,|ACC|IST|BRU|LFW|
LFW|AER,|AER|IST|BRU|LFW|
LFW|AGP,|AGP|IST|BRU|LFW|
LFW|ALG,|ALG|IST|BRU|LFW|
LFW|AMM,|AMM|IST|BRU|LFW|
LFW|AQJ,|AQJ|IST|BRU|LFW|
LFW|ARN,|ARN|GOT|BRU|LFW|
LFW|ASR,|ASR|SAW|BRU|LFW|
LFW|ATH,|ATH|IST|BRU|LFW|
LFW|BAH,|BAH|IST|BRU|LFW|
LFW|BEG,|BEG|IST|BRU|LFW|
LFW|BEN,|BEN|IST|BRU|LFW|
LFW|BEY,|BEY|IST|BRU|LFW|
