YXC|LJU,|LJU|IST|FRA|YYC|YXC|
YXC|LOS,|LOS|FRA|YYC|YXC|
YXC|LUX,|LUX|IST|FRA|YYC|YXC|
YXC|LWO,|LWO|IST|FRA|YYC|YXC|
YXC|LYS,|LYS|IST|FRA|YYC|YXC|
YXC|MAD,|MAD|EWR|YYC|YXC|
YXC|MAN,|MAN|EWR|YYC|YXC|
YXC|MED,|MED|IST|FRA|YYC|YXC|
YXC|MHD,|MHD|IST|FRA|YYC|YXC|
YXC|MLA,|MLA|IST|FRA|YYC|YXC|
YXC|MRS,|MRS|IST|FRA|YYC|YXC|
YXC|MSQ,|MSQ|IST|FRA|YYC|YXC|
YXC|MXP,|MXP|EWR|YYC|YXC|
YXC|MZH,|MZH|IST|FRA|YYC|YXC|
YXC|MZR,|MZR|IST|FRA|YYC|YXC|
YXC|NAJ,|NAJ|IST|FRA|YYC|YXC|
YXC|NAV,|NAV|IST|FRA|YYC|YXC|
YXC|NCE,|NCE|IST|FRA|YYC|YXC|
YXC|NIM,|NIM|IST|FRA|YYC|YXC|
YXC|NJF,|NJF|IST|FRA|YYC|YXC|
YXC|NSI,|NSI|BRU|YUL|YYC|YXC|
YXC|NUE,|NUE|IST|FRA|YYC|YXC|
YXC|ODS,|ODS|IST|FRA|YYC|YXC|
YXC|ORN,|ORN|IST|FRA|YYC|YXC|
YXC|OTP,|OTP|IST|FRA|YYC|YXC|
YXC|PRG,|PRG|BRU|YUL|YYC|YXC|
YXC|PRN,|PRN|IST|FRA|YYC|YXC|
YXC|RIX,|RIX|IST|FRA|YYC|YXC|
YXC|ROV,|ROV|IST|FRA|YYC|YXC|
YXC|RTM,|RTM|IST|FRA|YYC|YXC|
YXC|RUH,|RUH|IST|FRA|YYC|YXC|
YXC|SAH,|SAH|IST|FRA|YYC|YXC|
YXC|SJJ,|SJJ|IST|FRA|YYC|YXC|
YXC|SKG,|SKG|IST|FRA|YYC|YXC|
YXC|SKP,|SKP|IST|FRA|YYC|YXC|
YXC|SSH,|SSH|IST|FRA|YYC|YXC|
YXC|STR,|STR|EWR|YYC|YXC|
YXC|SVX,|SVX|IST|FRA|YYC|YXC|
YXC|SYZ,|SYZ|IST|FRA|YYC|YXC|
YXC|SZG,|SZG|IST|FRA|YYC|YXC|
YXC|TBZ,|TBZ|IST|FRA|YYC|YXC|
YXC|TGD,|TGD|IST|FRA|YYC|YXC|
YXC|TIA,|TIA|IST|FRA|YYC|YXC|
YXC|TIF,|TIF|IST|FRA|YYC|YXC|
YXC|TIP,|TIP|IST|FRA|YYC|YXC|
YXC|TLL,|TLL|VNO|FRA|YYC|YXC|
