RSW|SKG,|SKG|IST|FRA|MCO|RSW|
RSW|SKP,|SKP|IST|FRA|MCO|RSW|
RSW|SSH,|SSH|IST|FRA|MCO|RSW|
RSW|STR,|STR|EWR|RSW|
RSW|SVX,|SVX|IST|FRA|MCO|RSW|
RSW|SYZ,|SYZ|IST|FRA|MCO|RSW|
RSW|SZG,|SZG|IST|FRA|MCO|RSW|
RSW|TBZ,|TBZ|IST|FRA|MCO|RSW|
RSW|TGD,|TGD|IST|FRA|MCO|RSW|
RSW|TIA,|TIA|IST|FRA|MCO|RSW|
RSW|TIF,|TIF|IST|FRA|MCO|RSW|
RSW|TIP,|TIP|IST|FRA|MCO|RSW|
RSW|TLL,|TLL|VNO|CPH|YYZ|RSW|
RSW|TLS,|TLS|IST|FRA|MCO|RSW|
RSW|TRN,|TRN|IST|FRA|MCO|RSW|
RSW|TUN,|TUN|IST|FRA|MCO|RSW|
RSW|TXL,|TXL|EWR|RSW|
RSW|UFA,|UFA|IST|FRA|MCO|RSW|
