GTF|JIB,|JIB|IST|FRA|DEN|GTF|
GTF|JRO,|JRO|IST|FRA|DEN|GTF|
GTF|KAN,|KAN|IST|FRA|DEN|GTF|
GTF|KBL,|KBL|IST|FRA|DEN|GTF|
GTF|KBP,|KBP|IST|FRA|DEN|GTF|
GTF|KFS,|KFS|IST|FRA|DEN|GTF|
GTF|KHI,|KHI|IST|FRA|DEN|GTF|
GTF|KIV,|KIV|IST|FRA|DEN|GTF|
GTF|KRT,|KRT|IST|FRA|DEN|GTF|
GTF|KSH,|KSH|IST|FRA|DEN|GTF|
GTF|KVD,|KVD|IST|FRA|DEN|GTF|
GTF|KWI,|KWI|SAW|FRA|DEN|GTF|
GTF|KYA,|KYA|IST|FRA|DEN|GTF|
GTF|KZN,|KZN|IST|FRA|DEN|GTF|
GTF|KZR,|KZR|IST|FRA|DEN|GTF|
GTF|LED,|LED|VIE|ORD|DEN|GTF|
GTF|LEJ,|LEJ|IST|FRA|DEN|GTF|
GTF|LGW,|LGW|IST|FRA|DEN|GTF|
GTF|LHE,|LHE|IST|FRA|DEN|GTF|
GTF|LIS,|LIS|EWR|DEN|GTF|
GTF|LJU,|LJU|IST|FRA|DEN|GTF|
GTF|LOS,|LOS|IAH|DEN|GTF|
GTF|LUX,|LUX|IST|FRA|DEN|GTF|
GTF|LWO,|LWO|IST|FRA|DEN|GTF|
GTF|LYS,|LYS|IST|FRA|DEN|GTF|
GTF|MAD,|MAD|EWR|DEN|GTF|
GTF|MAN,|MAN|EWR|DEN|GTF|
GTF|MED,|MED|IST|FRA|DEN|GTF|
GTF|MHD,|MHD|IST|FRA|DEN|GTF|
GTF|MLA,|MLA|IST|FRA|DEN|GTF|
GTF|MRS,|MRS|IST|FRA|DEN|GTF|
GTF|MSQ,|MSQ|IST|FRA|DEN|GTF|
GTF|MXP,|MXP|EWR|DEN|GTF|
GTF|MZH,|MZH|IST|FRA|DEN|GTF|
GTF|MZR,|MZR|IST|FRA|DEN|GTF|
GTF|NAJ,|NAJ|IST|FRA|DEN|GTF|
GTF|NAV,|NAV|IST|FRA|DEN|GTF|
GTF|NCE,|NCE|IST|FRA|DEN|GTF|
GTF|NIM,|NIM|IST|FRA|DEN|GTF|
GTF|NJF,|NJF|IST|FRA|DEN|GTF|
GTF|NSI,|NSI|BRU|ORD|DEN|GTF|
GTF|NUE,|NUE|IST|FRA|DEN|GTF|
