OSL|MRS,|MRS|IST|OSL|
OSL|MSQ,|MSQ|IST|OSL|
OSL|MXP,|MXP|IST|OSL|
OSL|MZH,|MZH|IST|OSL|
OSL|MZR,|MZR|IST|OSL|
OSL|NAJ,|NAJ|IST|OSL|
OSL|NAV,|NAV|IST|OSL|
OSL|NCE,|NCE|IST|OSL|
OSL|NIM,|NIM|IST|OSL|
OSL|NJF,|NJF|IST|OSL|
OSL|NSI,|NSI|IST|OSL|
OSL|NUE,|NUE|IST|OSL|
OSL|ODS,|ODS|IST|OSL|
OSL|ORN,|ORN|IST|OSL|
OSL|OTP,|OTP|IST|OSL|
OSL|PRG,|PRG|IST|OSL|
OSL|PRN,|PRN|IST|OSL|
OSL|RIX,|RIX|IST|OSL|
OSL|ROV,|ROV|IST|OSL|
OSL|RTM,|RTM|IST|OSL|
OSL|RUH,|RUH|IST|OSL|
OSL|SAH,|SAH|IST|OSL|
OSL|SJJ,|SJJ|IST|OSL|
OSL|SKG,|SKG|IST|OSL|
OSL|SKP,|SKP|IST|OSL|
OSL|SSH,|SSH|IST|OSL|
OSL|STR,|STR|IST|OSL|
OSL|SVX,|SVX|IST|OSL|
OSL|SYZ,|SYZ|IST|OSL|
OSL|SZG,|SZG|IST|OSL|
OSL|TBZ,|TBZ|IST|OSL|
OSL|TGD,|TGD|IST|OSL|
OSL|TIA,|TIA|IST|OSL|
OSL|TIF,|TIF|IST|OSL|
OSL|TIP,|TIP|IST|OSL|
OSL|TLL,|TLL|IST|OSL|
OSL|TLS,|TLS|IST|OSL|
OSL|TRN,|TRN|IST|OSL|
OSL|TUN,|TUN|IST|OSL|
OSL|TXL,|TXL|IST|OSL|
OSL|UFA,|UFA|IST|OSL|
OSL|VAS,|VAS|IST|OSL|
OSL|VCE,|VCE|IST|OSL|
OSL|YNB,|YNB|IST|OSL|
OSL|ZAG,|ZAG|IST|OSL|
OSL|MGQ,|MGQ|JIB|IST|OSL|
OSL|CPT,|CPT|JNB|IST|OSL|
OSL|MBA,|MBA|JRO|IST|OSL|
OSL|NDJ,|NDJ|KAN|IST|OSL|
OSL|CMB,|CMB|MLE|IST|OSL|
OSL|ADE,|ADE|SAH|IST|OSL|
OSL|ASF,|ASF|SAW|ADB|IST|OSL|
OSL|STW,|STW|SAW|ADB|IST|OSL|
OSL|LFW,|LFW|ABJ|OUA|NIM|IST|OSL|
OSL|CEC,|CEC|ACV|SMF|ORD|EWR|OSL|
OSL|SMF,|SMF|ORD|EWR|OSL|
OSL|CDR,|CDR|AIA|DEN|EWR|OSL|
OSL|FMN,|FMN|DEN|EWR|OSL|
OSL|JST,|JST|IAD|EWR|OSL|
OSL|JHW,|JHW|CLE|EWR|OSL|
OSL|SHD,|SHD|IAD|EWR|OSL|
OSL|PTY,|PTY|EWR|OSL|
OSL|FNA,|FNA|BRU|IST|OSL|
