YEG|SMF,|SMF|PDX|YYC|YEG|
YEG|CDR,|CDR|AIA|DEN|YEG|
YEG|FMN,|FMN|DEN|YEG|
YEG|JST,|JST|IAD|ORD|YEG|
YEG|JHW,|JHW|CLE|ORD|YEG|
YEG|SHD,|SHD|IAD|ORD|YEG|
YEG|PTY,|PTY|IAH|YEG|
YEG|FNA,|FNA|BRU|YUL|YEG|
YEG|SXB,|SXB|BRU|YUL|YEG|
YEG|ACV,|ACV|SMF|PDX|YYC|YEG|
YEG|MGW,|MGW|IAD|ORD|YEG|
YEG|ALB,|ALB|ORD|YEG|
YEG|AUS,|AUS|DEN|YEG|
YEG|BFD,|BFD|CLE|ORD|YEG|
YEG|BUF,|BUF|ORD|YEG|
YEG|CHS,|CHS|ORD|YEG|
YEG|DAY,|DAY|ORD|YEG|
YEG|DUJ,|DUJ|CLE|ORD|YEG|
YEG|ERI,|ERI|CLE|ORD|YEG|
YEG|FKL,|FKL|CLE|ORD|YEG|
YEG|FNT,|FNT|CLE|ORD|YEG|
YEG|GRR,|GRR|ORD|YEG|
YEG|GSP,|GSP|ORD|YEG|
YEG|PBI,|PBI|ATL|ORD|YEG|
YEG|PKB,|PKB|CLE|ORD|YEG|
YEG|RIC,|RIC|ORD|YEG|
YEG|SDF,|SDF|ORD|YEG|
