DNZ|GNY,|GNY|IST|DNZ|
DNZ|GZP,|GZP|ESB|IST|DNZ|
DNZ|GZT,|GZT|IST|DNZ|
DNZ|HTY,|HTY|IST|DNZ|
DNZ|KCM,|KCM|IST|DNZ|
DNZ|KSY,|KSY|IST|DNZ|
DNZ|MLX,|MLX|IST|DNZ|
DNZ|MQM,|MQM|IST|DNZ|
DNZ|MSR,|MSR|IST|DNZ|
DNZ|TEQ,|TEQ|ESB|IST|DNZ|
DNZ|TZX,|TZX|IST|DNZ|
DNZ|VAN,|VAN|IST|DNZ|
DNZ|ULN,|ULN|FRU|IST|DNZ|
DNZ|HIJ,|HIJ|ICN|IST|DNZ|
DNZ|VVO,|VVO|ICN|IST|DNZ|
DNZ|ACC,|ACC|IST|DNZ|
DNZ|AER,|AER|IST|DNZ|
DNZ|AGP,|AGP|IST|DNZ|
DNZ|ALG,|ALG|IST|DNZ|
DNZ|AMM,|AMM|IST|DNZ|
DNZ|AQJ,|AQJ|IST|DNZ|
DNZ|ARN,|ARN|IST|DNZ|
DNZ|ASR,|ASR|IST|DNZ|
DNZ|ATH,|ATH|IST|DNZ|
DNZ|BAH,|BAH|IST|DNZ|
DNZ|BEG,|BEG|IST|DNZ|
DNZ|BEN,|BEN|IST|DNZ|
DNZ|BEY,|BEY|IST|DNZ|
DNZ|BHX,|BHX|IST|DNZ|
DNZ|BIO,|BIO|IST|DNZ|
DNZ|BLQ,|BLQ|IST|DNZ|
DNZ|BOM,|BOM|IST|DNZ|
DNZ|BRE,|BRE|IST|DNZ|
DNZ|BSL,|BSL|IST|DNZ|
DNZ|BSR,|BSR|IST|DNZ|
DNZ|BUD,|BUD|IST|DNZ|
DNZ|BUS,|BUS|IST|DNZ|
DNZ|CAI,|CAI|IST|DNZ|
DNZ|CGN,|CGN|IST|DNZ|
DNZ|CMN,|CMN|IST|DNZ|
DNZ|CND,|CND|IST|DNZ|
DNZ|DAR,|DAR|IST|DNZ|
DNZ|DLM,|DLM|IST|DNZ|
DNZ|DMM,|DMM|IST|DNZ|
DNZ|DNK,|DNK|IST|DNZ|
DNZ|DOK,|DOK|IST|DNZ|
DNZ|DUS,|DUS|IST|DNZ|
DNZ|EDI,|EDI|IST|DNZ|
DNZ|ELQ,|ELQ|IST|DNZ|
DNZ|FDH,|FDH|IST|DNZ|
DNZ|GOA,|GOA|IST|DNZ|
DNZ|GOT,|GOT|IST|DNZ|
DNZ|HAJ,|HAJ|IST|DNZ|
DNZ|HBE,|HBE|IST|DNZ|
DNZ|HEL,|HEL|IST|DNZ|
DNZ|HRG,|HRG|IST|DNZ|
DNZ|IFN,|IFN|IST|DNZ|
DNZ|ISE,|ISE|IST|DNZ|
DNZ|ISU,|ISU|IST|DNZ|
DNZ|JIB,|JIB|IST|DNZ|
DNZ|JRO,|JRO|IST|DNZ|
DNZ|KAN,|KAN|IST|DNZ|
DNZ|KBL,|KBL|IST|DNZ|
DNZ|KBP,|KBP|IST|DNZ|
DNZ|KFS,|KFS|IST|DNZ|
DNZ|KHI,|KHI|IST|DNZ|
DNZ|KIV,|KIV|IST|DNZ|
DNZ|KRT,|KRT|IST|DNZ|
DNZ|KSH,|KSH|IST|DNZ|
DNZ|KVD,|KVD|IST|DNZ|
DNZ|KWI,|KWI|IST|DNZ|
DNZ|KYA,|KYA|IST|DNZ|
DNZ|KZN,|KZN|IST|DNZ|
DNZ|KZR,|KZR|IST|DNZ|
DNZ|LED,|LED|IST|DNZ|
DNZ|LEJ,|LEJ|IST|DNZ|
DNZ|LGW,|LGW|IST|DNZ|
DNZ|LHE,|LHE|IST|DNZ|
DNZ|LIS,|LIS|IST|DNZ|
DNZ|LJU,|LJU|IST|DNZ|
DNZ|LOS,|LOS|IST|DNZ|
DNZ|LUX,|LUX|IST|DNZ|
DNZ|LWO,|LWO|IST|DNZ|
DNZ|LYS,|LYS|IST|DNZ|
DNZ|MAD,|MAD|IST|DNZ|
DNZ|MAN,|MAN|IST|DNZ|
DNZ|MED,|MED|IST|DNZ|
DNZ|MHD,|MHD|IST|DNZ|
DNZ|MLA,|MLA|IST|DNZ|
DNZ|MRS,|MRS|IST|DNZ|
DNZ|MSQ,|MSQ|IST|DNZ|
DNZ|MXP,|MXP|IST|DNZ|
DNZ|MZH,|MZH|IST|DNZ|
DNZ|MZR,|MZR|IST|DNZ|
DNZ|NAJ,|NAJ|IST|DNZ|
DNZ|NAV,|NAV|IST|DNZ|
DNZ|NCE,|NCE|IST|DNZ|
DNZ|NIM,|NIM|IST|DNZ|
DNZ|NJF,|NJF|IST|DNZ|
DNZ|NSI,|NSI|IST|DNZ|
DNZ|NUE,|NUE|IST|DNZ|
DNZ|ODS,|ODS|IST|DNZ|
DNZ|ORN,|ORN|IST|DNZ|
DNZ|OTP,|OTP|IST|DNZ|
DNZ|PRG,|PRG|IST|DNZ|
DNZ|PRN,|PRN|IST|DNZ|
DNZ|RIX,|RIX|IST|DNZ|
DNZ|ROV,|ROV|IST|DNZ|
DNZ|RTM,|RTM|IST|DNZ|
DNZ|RUH,|RUH|IST|DNZ|
DNZ|SAH,|SAH|IST|DNZ|
DNZ|SJJ,|SJJ|IST|DNZ|
DNZ|SKG,|SKG|IST|DNZ|
DNZ|SKP,|SKP|IST|DNZ|
DNZ|SSH,|SSH|IST|DNZ|
DNZ|STR,|STR|IST|DNZ|
DNZ|SVX,|SVX|IST|DNZ|
DNZ|SYZ,|SYZ|IST|DNZ|
DNZ|SZG,|SZG|IST|DNZ|
DNZ|TBZ,|TBZ|IST|DNZ|
DNZ|TGD,|TGD|IST|DNZ|
DNZ|TIA,|TIA|IST|DNZ|
DNZ|TIF,|TIF|IST|DNZ|
DNZ|TIP,|TIP|IST|DNZ|
DNZ|TLL,|TLL|IST|DNZ|
DNZ|TLS,|TLS|IST|DNZ|
DNZ|TRN,|TRN|IST|DNZ|
DNZ|TUN,|TUN|IST|DNZ|
DNZ|TXL,|TXL|IST|DNZ|
DNZ|UFA,|UFA|IST|DNZ|
DNZ|VAS,|VAS|IST|DNZ|
DNZ|VCE,|VCE|IST|DNZ|
DNZ|YNB,|YNB|IST|DNZ|
DNZ|ZAG,|ZAG|IST|DNZ|
DNZ|MGQ,|MGQ|JIB|IST|DNZ|
DNZ|CPT,|CPT|JNB|IST|DNZ|
DNZ|MBA,|MBA|JRO|IST|DNZ|
DNZ|NDJ,|NDJ|KAN|IST|DNZ|
DNZ|CMB,|CMB|MLE|IST|DNZ|
