MSO|AMM,|AMM|IST|FRA|DEN|MSO|
MSO|AQJ,|AQJ|IST|FRA|DEN|MSO|
MSO|ARN,|ARN|EWR|DEN|MSO|
MSO|ASR,|ASR|SAW|FRA|DEN|MSO|
MSO|ATH,|ATH|IST|FRA|DEN|MSO|
MSO|BAH,|BAH|IST|FRA|DEN|MSO|
MSO|BEG,|BEG|IST|FRA|DEN|MSO|
MSO|BEN,|BEN|IST|FRA|DEN|MSO|
MSO|BEY,|BEY|IST|FRA|DEN|MSO|
MSO|BHX,|BHX|EWR|DEN|MSO|
MSO|BIO,|BIO|IST|FRA|DEN|MSO|
MSO|BLQ,|BLQ|IST|FRA|DEN|MSO|
MSO|BOM,|BOM|IST|FRA|DEN|MSO|
MSO|BRE,|BRE|IST|FRA|DEN|MSO|
MSO|BSL,|BSL|IST|FRA|DEN|MSO|
MSO|BSR,|BSR|IST|FRA|DEN|MSO|
MSO|BUD,|BUD|IST|FRA|DEN|MSO|
MSO|BUS,|BUS|IST|FRA|DEN|MSO|
MSO|CAI,|CAI|IST|FRA|DEN|MSO|
MSO|CGN,|CGN|IST|FRA|DEN|MSO|
MSO|CMN,|CMN|IST|FRA|DEN|MSO|
MSO|CND,|CND|IST|FRA|DEN|MSO|
MSO|DAR,|DAR|NBO|ZRH|ORD|DEN|MSO|
MSO|DLM,|DLM|IST|FRA|DEN|MSO|
MSO|DMM,|DMM|IST|FRA|DEN|MSO|
MSO|DNK,|DNK|IST|FRA|DEN|MSO|
MSO|DNZ,|DNZ|IST|FRA|DEN|MSO|
MSO|DOK,|DOK|IST|FRA|DEN|MSO|
MSO|DUS,|DUS|ORD|DEN|MSO|
MSO|EDI,|EDI|EWR|DEN|MSO|
MSO|ELQ,|ELQ|IST|FRA|DEN|MSO|
MSO|FDH,|FDH|IST|FRA|DEN|MSO|
MSO|GOA,|GOA|IST|FRA|DEN|MSO|
MSO|GOT,|GOT|BRU|ORD|DEN|MSO|
MSO|HAJ,|HAJ|BRU|ORD|DEN|MSO|
MSO|HBE,|HBE|IST|FRA|DEN|MSO|
MSO|HEL,|HEL|IST|FRA|DEN|MSO|
MSO|HRG,|HRG|IST|FRA|DEN|MSO|
MSO|IFN,|IFN|IST|FRA|DEN|MSO|
MSO|ISE,|ISE|IST|FRA|DEN|MSO|
MSO|ISU,|ISU|IST|FRA|DEN|MSO|
MSO|JIB,|JIB|IST|FRA|DEN|MSO|
MSO|JRO,|JRO|IST|FRA|DEN|MSO|
MSO|KAN,|KAN|IST|FRA|DEN|MSO|
MSO|KBL,|KBL|IST|FRA|DEN|MSO|
MSO|KBP,|KBP|IST|FRA|DEN|MSO|
MSO|KFS,|KFS|IST|FRA|DEN|MSO|
MSO|KHI,|KHI|IST|FRA|DEN|MSO|
MSO|KIV,|KIV|IST|FRA|DEN|MSO|
MSO|KRT,|KRT|IST|FRA|DEN|MSO|
MSO|KSH,|KSH|IST|FRA|DEN|MSO|
MSO|KVD,|KVD|IST|FRA|DEN|MSO|
MSO|KWI,|KWI|SAW|FRA|DEN|MSO|
MSO|KYA,|KYA|IST|FRA|DEN|MSO|
MSO|KZN,|KZN|IST|FRA|DEN|MSO|
MSO|KZR,|KZR|IST|FRA|DEN|MSO|
MSO|LED,|LED|VIE|ORD|DEN|MSO|
MSO|LEJ,|LEJ|IST|FRA|DEN|MSO|
MSO|LGW,|LGW|IST|FRA|DEN|MSO|
MSO|LHE,|LHE|IST|FRA|DEN|MSO|
MSO|LIS,|LIS|EWR|DEN|MSO|
MSO|LJU,|LJU|IST|FRA|DEN|MSO|
MSO|LOS,|LOS|IAH|DEN|MSO|
MSO|LUX,|LUX|IST|FRA|DEN|MSO|
MSO|LWO,|LWO|IST|FRA|DEN|MSO|
MSO|LYS,|LYS|IST|FRA|DEN|MSO|
MSO|MAD,|MAD|EWR|DEN|MSO|
MSO|MAN,|MAN|EWR|DEN|MSO|
MSO|MED,|MED|IST|FRA|DEN|MSO|
MSO|MHD,|MHD|IST|FRA|DEN|MSO|
MSO|MLA,|MLA|IST|FRA|DEN|MSO|
MSO|MRS,|MRS|IST|FRA|DEN|MSO|
MSO|MSQ,|MSQ|IST|FRA|DEN|MSO|
MSO|MXP,|MXP|EWR|DEN|MSO|
MSO|MZH,|MZH|IST|FRA|DEN|MSO|
MSO|MZR,|MZR|IST|FRA|DEN|MSO|
MSO|NAJ,|NAJ|IST|FRA|DEN|MSO|
MSO|NAV,|NAV|IST|FRA|DEN|MSO|
MSO|NCE,|NCE|IST|FRA|DEN|MSO|
MSO|NIM,|NIM|IST|FRA|DEN|MSO|
MSO|NJF,|NJF|IST|FRA|DEN|MSO|
MSO|NSI,|NSI|BRU|ORD|DEN|MSO|
MSO|NUE,|NUE|IST|FRA|DEN|MSO|
