CAK|GOA,|GOA|IST|FRA|BOS|CAK|
CAK|GOT,|GOT|BRU|YUL|LGA|CAK|
CAK|HAJ,|HAJ|BRU|YUL|LGA|CAK|
CAK|HBE,|HBE|IST|FRA|BOS|CAK|
CAK|HEL,|HEL|IST|FRA|BOS|CAK|
CAK|HRG,|HRG|IST|FRA|BOS|CAK|
CAK|IFN,|IFN|IST|FRA|BOS|CAK|
CAK|ISE,|ISE|IST|FRA|BOS|CAK|
CAK|ISU,|ISU|IST|FRA|BOS|CAK|
CAK|JIB,|JIB|IST|FRA|BOS|CAK|
CAK|JRO,|JRO|IST|FRA|BOS|CAK|
CAK|KAN,|KAN|IST|FRA|BOS|CAK|
CAK|KBL,|KBL|IST|FRA|BOS|CAK|
CAK|KBP,|KBP|IST|FRA|BOS|CAK|
CAK|KFS,|KFS|IST|FRA|BOS|CAK|
CAK|KHI,|KHI|IST|FRA|BOS|CAK|
CAK|KIV,|KIV|IST|FRA|BOS|CAK|
CAK|KRT,|KRT|IST|FRA|BOS|CAK|
CAK|KSH,|KSH|IST|FRA|BOS|CAK|
CAK|KVD,|KVD|IST|FRA|BOS|CAK|
CAK|KWI,|KWI|SAW|FRA|BOS|CAK|
CAK|KYA,|KYA|IST|FRA|BOS|CAK|
CAK|KZN,|KZN|IST|FRA|BOS|CAK|
CAK|KZR,|KZR|IST|FRA|BOS|CAK|
CAK|LED,|LED|VIE|ORD|CAK|
CAK|LEJ,|LEJ|IST|FRA|BOS|CAK|
CAK|LGW,|LGW|IST|FRA|BOS|CAK|
CAK|LHE,|LHE|IST|FRA|BOS|CAK|
CAK|LIS,|LIS|EWR|BOS|CAK|
CAK|LJU,|LJU|IST|FRA|BOS|CAK|
CAK|LOS,|LOS|FRA|BOS|CAK|
CAK|LUX,|LUX|IST|FRA|BOS|CAK|
CAK|LWO,|LWO|IST|FRA|BOS|CAK|
CAK|LYS,|LYS|IST|FRA|BOS|CAK|
CAK|MAD,|MAD|EWR|BOS|CAK|
CAK|MAN,|MAN|EWR|BOS|CAK|
CAK|MED,|MED|IST|FRA|BOS|CAK|
CAK|MHD,|MHD|IST|FRA|BOS|CAK|
CAK|MLA,|MLA|IST|FRA|BOS|CAK|
CAK|MRS,|MRS|IST|FRA|BOS|CAK|
CAK|MSQ,|MSQ|IST|FRA|BOS|CAK|
CAK|MXP,|MXP|EWR|BOS|CAK|
CAK|MZH,|MZH|IST|FRA|BOS|CAK|
CAK|MZR,|MZR|IST|FRA|BOS|CAK|
CAK|NAJ,|NAJ|IST|FRA|BOS|CAK|
CAK|NAV,|NAV|IST|FRA|BOS|CAK|
CAK|NCE,|NCE|IST|FRA|BOS|CAK|
CAK|NIM,|NIM|IST|FRA|BOS|CAK|
CAK|NJF,|NJF|IST|FRA|BOS|CAK|
CAK|NSI,|NSI|BRU|YUL|LGA|CAK|
CAK|NUE,|NUE|IST|FRA|BOS|CAK|
CAK|ODS,|ODS|IST|FRA|BOS|CAK|
CAK|ORN,|ORN|IST|FRA|BOS|CAK|
CAK|OTP,|OTP|IST|FRA|BOS|CAK|
CAK|PRG,|PRG|BRU|YUL|LGA|CAK|
CAK|PRN,|PRN|IST|FRA|BOS|CAK|
CAK|RIX,|RIX|IST|FRA|BOS|CAK|
CAK|ROV,|ROV|IST|FRA|BOS|CAK|
CAK|RTM,|RTM|IST|FRA|BOS|CAK|
CAK|RUH,|RUH|IST|FRA|BOS|CAK|
CAK|SAH,|SAH|IST|FRA|BOS|CAK|
CAK|SJJ,|SJJ|IST|FRA|BOS|CAK|
CAK|SKG,|SKG|IST|FRA|BOS|CAK|
CAK|SKP,|SKP|IST|FRA|BOS|CAK|
CAK|SSH,|SSH|IST|FRA|BOS|CAK|
CAK|STR,|STR|EWR|BOS|CAK|
CAK|SVX,|SVX|IST|FRA|BOS|CAK|
CAK|SYZ,|SYZ|IST|FRA|BOS|CAK|
CAK|SZG,|SZG|IST|FRA|BOS|CAK|
CAK|TBZ,|TBZ|IST|FRA|BOS|CAK|
