DAT|MAD,|MAD|IST|URC|TYN|DAT|
DAT|MAN,|MAN|IST|URC|TYN|DAT|
DAT|MED,|MED|IST|URC|TYN|DAT|
DAT|MHD,|MHD|IST|URC|TYN|DAT|
DAT|MLA,|MLA|IST|URC|TYN|DAT|
DAT|MRS,|MRS|IST|URC|TYN|DAT|
DAT|MSQ,|MSQ|IST|URC|TYN|DAT|
DAT|MXP,|MXP|IST|URC|TYN|DAT|
DAT|MZH,|MZH|IST|URC|TYN|DAT|
DAT|MZR,|MZR|IST|URC|TYN|DAT|
DAT|NAJ,|NAJ|IST|URC|TYN|DAT|
DAT|NAV,|NAV|IST|URC|TYN|DAT|
DAT|NCE,|NCE|IST|URC|TYN|DAT|
DAT|NIM,|NIM|IST|URC|TYN|DAT|
DAT|NJF,|NJF|IST|URC|TYN|DAT|
DAT|NSI,|NSI|IST|URC|TYN|DAT|
