MBJ|GOT,|GOT|BRU|EWR|MBJ|
MBJ|HAJ,|HAJ|BRU|EWR|MBJ|
MBJ|HBE,|HBE|IST|LHR|YHZ|MBJ|
MBJ|HEL,|HEL|IST|LHR|YHZ|MBJ|
MBJ|HRG,|HRG|IST|LHR|YHZ|MBJ|
MBJ|IFN,|IFN|IST|LHR|YHZ|MBJ|
MBJ|ISE,|ISE|IST|LHR|YHZ|MBJ|
MBJ|ISU,|ISU|IST|LHR|YHZ|MBJ|
MBJ|JIB,|JIB|IST|LHR|YHZ|MBJ|
MBJ|JRO,|JRO|IST|LHR|YHZ|MBJ|
MBJ|KAN,|KAN|IST|LHR|YHZ|MBJ|
MBJ|KBL,|KBL|IST|LHR|YHZ|MBJ|
MBJ|KBP,|KBP|IST|LHR|YHZ|MBJ|
MBJ|KFS,|KFS|IST|LHR|YHZ|MBJ|
MBJ|KHI,|KHI|IST|LHR|YHZ|MBJ|
MBJ|KIV,|KIV|IST|LHR|YHZ|MBJ|
MBJ|KRT,|KRT|IST|LHR|YHZ|MBJ|
MBJ|KSH,|KSH|IST|LHR|YHZ|MBJ|
MBJ|KVD,|KVD|IST|LHR|YHZ|MBJ|
MBJ|KWI,|KWI|IST|LHR|YHZ|MBJ|
MBJ|KYA,|KYA|IST|LHR|YHZ|MBJ|
MBJ|KZN,|KZN|IST|LHR|YHZ|MBJ|
MBJ|KZR,|KZR|IST|LHR|YHZ|MBJ|
MBJ|LED,|LED|VIE|IAD|MBJ|
MBJ|LEJ,|LEJ|IST|LHR|YHZ|MBJ|
MBJ|LGW,|LGW|IST|LHR|YHZ|MBJ|
MBJ|LHE,|LHE|IST|LHR|YHZ|MBJ|
