ROA|TXL,|TXL|EWR|IAD|ROA|
ROA|UFA,|UFA|IST|IAD|ROA|
ROA|VAS,|VAS|SAW|FRA|IAD|ROA|
ROA|VCE,|VCE|IST|IAD|ROA|
ROA|YNB,|YNB|IST|IAD|ROA|
ROA|ZAG,|ZAG|IST|IAD|ROA|
ROA|MGQ,|MGQ|JIB|IST|IAD|ROA|
ROA|CPT,|CPT|JNB|DKR|IAD|ROA|
ROA|MBA,|MBA|JRO|IST|IAD|ROA|
ROA|NDJ,|NDJ|KAN|IST|IAD|ROA|
ROA|CMB,|CMB|MLE|IST|IAD|ROA|
