ELP|DLM,|DLM|IST|FRA|DEN|ELP|
ELP|DMM,|DMM|IST|FRA|DEN|ELP|
ELP|DNK,|DNK|IST|FRA|DEN|ELP|
ELP|DNZ,|DNZ|IST|FRA|DEN|ELP|
ELP|DOK,|DOK|IST|FRA|DEN|ELP|
ELP|DUS,|DUS|ORD|STL|DAL|ELP|
ELP|EDI,|EDI|EWR|BWI|LIT|DAL|ELP|
ELP|ELQ,|ELQ|IST|FRA|DEN|ELP|
ELP|FDH,|FDH|IST|FRA|DEN|ELP|
ELP|GOA,|GOA|IST|FRA|DEN|ELP|
ELP|GOT,|GOT|BRU|ORD|STL|DAL|ELP|
ELP|HAJ,|HAJ|BRU|ORD|STL|DAL|ELP|
ELP|HBE,|HBE|IST|FRA|DEN|ELP|
ELP|HEL,|HEL|IST|FRA|DEN|ELP|
ELP|HRG,|HRG|IST|FRA|DEN|ELP|
ELP|IFN,|IFN|IST|FRA|DEN|ELP|
ELP|ISE,|ISE|IST|FRA|DEN|ELP|
ELP|ISU,|ISU|IST|FRA|DEN|ELP|
ELP|JIB,|JIB|IST|FRA|DEN|ELP|
ELP|JRO,|JRO|IST|FRA|DEN|ELP|
ELP|KAN,|KAN|IST|FRA|DEN|ELP|
ELP|KBL,|KBL|IST|FRA|DEN|ELP|
ELP|KBP,|KBP|IST|FRA|DEN|ELP|
ELP|KFS,|KFS|IST|FRA|DEN|ELP|
ELP|KHI,|KHI|IST|FRA|DEN|ELP|
ELP|KIV,|KIV|IST|FRA|DEN|ELP|
ELP|KRT,|KRT|IST|FRA|DEN|ELP|
ELP|KSH,|KSH|IST|FRA|DEN|ELP|
ELP|KVD,|KVD|IST|FRA|DEN|ELP|
ELP|KWI,|KWI|SAW|FRA|DEN|ELP|
ELP|KYA,|KYA|IST|FRA|DEN|ELP|
ELP|KZN,|KZN|IST|FRA|DEN|ELP|
ELP|KZR,|KZR|IST|FRA|DEN|ELP|
ELP|LED,|LED|VIE|ORD|STL|DAL|ELP|
ELP|LEJ,|LEJ|IST|FRA|DEN|ELP|
ELP|LGW,|LGW|IST|FRA|DEN|ELP|
ELP|LHE,|LHE|IST|FRA|DEN|ELP|
ELP|LIS,|LIS|EWR|BWI|LIT|DAL|ELP|
ELP|LJU,|LJU|IST|FRA|DEN|ELP|
ELP|LOS,|LOS|IAH|ELP|
ELP|LUX,|LUX|IST|FRA|DEN|ELP|
