YWG|PRN,|PRN|IST|FRA|YUL|YWG|
YWG|RIX,|RIX|IST|FRA|YUL|YWG|
YWG|ROV,|ROV|IST|FRA|YUL|YWG|
YWG|RTM,|RTM|IST|FRA|YUL|YWG|
YWG|RUH,|RUH|IST|FRA|YUL|YWG|
YWG|SAH,|SAH|IST|FRA|YUL|YWG|
YWG|SJJ,|SJJ|IST|FRA|YUL|YWG|
YWG|SKG,|SKG|IST|FRA|YUL|YWG|
YWG|SKP,|SKP|IST|FRA|YUL|YWG|
YWG|SSH,|SSH|IST|FRA|YUL|YWG|
YWG|STR,|STR|EWR|YYZ|YWG|
YWG|SVX,|SVX|IST|FRA|YUL|YWG|
YWG|SYZ,|SYZ|IST|FRA|YUL|YWG|
YWG|SZG,|SZG|IST|FRA|YUL|YWG|
YWG|TBZ,|TBZ|IST|FRA|YUL|YWG|
YWG|TGD,|TGD|IST|FRA|YUL|YWG|
YWG|TIA,|TIA|IST|FRA|YUL|YWG|
YWG|TIF,|TIF|IST|FRA|YUL|YWG|
YWG|TIP,|TIP|IST|FRA|YUL|YWG|
YWG|TLL,|TLL|VNO|CPH|YYZ|YWG|
YWG|TLS,|TLS|IST|FRA|YUL|YWG|
YWG|TRN,|TRN|IST|FRA|YUL|YWG|
YWG|TUN,|TUN|IST|FRA|YUL|YWG|
YWG|TXL,|TXL|EWR|YYZ|YWG|
YWG|UFA,|UFA|IST|FRA|YUL|YWG|
YWG|VAS,|VAS|SAW|FRA|YUL|YWG|
YWG|VCE,|VCE|IST|FRA|YUL|YWG|
YWG|YNB,|YNB|IST|FRA|YUL|YWG|
YWG|ZAG,|ZAG|IST|FRA|YUL|YWG|
YWG|MGQ,|MGQ|JIB|IST|FRA|YUL|YWG|
YWG|CPT,|CPT|JNB|JFK|YYZ|YWG|
YWG|MBA,|MBA|JRO|IST|FRA|YUL|YWG|
YWG|NDJ,|NDJ|KAN|IST|FRA|YUL|YWG|
YWG|CMB,|CMB|MLE|IST|FRA|YUL|YWG|
YWG|ADE,|ADE|SAH|IST|FRA|YUL|YWG|
