BOS|VAS,|VAS|SAW|FRA|BOS|
BOS|VCE,|VCE|IST|FRA|BOS|
BOS|YNB,|YNB|IST|FRA|BOS|
BOS|ZAG,|ZAG|IST|FRA|BOS|
BOS|MGQ,|MGQ|JIB|IST|FRA|BOS|
BOS|CPT,|CPT|JNB|JFK|YUL|BOS|
BOS|MBA,|MBA|JRO|IST|FRA|BOS|
BOS|NDJ,|NDJ|KAN|IST|FRA|BOS|
BOS|CMB,|CMB|MLE|IST|FRA|BOS|
BOS|ADE,|ADE|SAH|IST|FRA|BOS|
BOS|ASF,|ASF|SAW|FRA|BOS|
BOS|STW,|STW|SAW|FRA|BOS|
BOS|LFW,|LFW|ABJ|BRU|YUL|BOS|
BOS|CEC,|CEC|ACV|SMF|ORD|BOS|
BOS|SMF,|SMF|ORD|BOS|
BOS|CDR,|CDR|AIA|DEN|BOS|
BOS|FMN,|FMN|DEN|BOS|
BOS|JST,|JST|IAD|BOS|
BOS|JHW,|JHW|CLE|BOS|
BOS|SHD,|SHD|IAD|BOS|
BOS|PTY,|PTY|BOS|
BOS|FNA,|FNA|BRU|YUL|BOS|
BOS|SXB,|SXB|BRU|YUL|BOS|
BOS|ACV,|ACV|SMF|ORD|BOS|
BOS|MGW,|MGW|IAD|BOS|
BOS|ALB,|ALB|EWR|BOS|
BOS|AUS,|AUS|BNA|BOS|
BOS|BFD,|BFD|CLE|BOS|
BOS|BUF,|BUF|EWR|BOS|
BOS|CHS,|CHS|EWR|BOS|
BOS|DAY,|DAY|CLE|BOS|
BOS|DUJ,|DUJ|CLE|BOS|
