COD|ORN,|ORN|IST|FRA|DEN|COD|
COD|OTP,|OTP|IST|FRA|DEN|COD|
COD|PRG,|PRG|BRU|ORD|DEN|COD|
COD|PRN,|PRN|IST|FRA|DEN|COD|
COD|RIX,|RIX|IST|FRA|DEN|COD|
COD|ROV,|ROV|IST|FRA|DEN|COD|
COD|RTM,|RTM|IST|FRA|DEN|COD|
COD|RUH,|RUH|IST|FRA|DEN|COD|
COD|SAH,|SAH|IST|FRA|DEN|COD|
COD|SJJ,|SJJ|IST|FRA|DEN|COD|
COD|SKG,|SKG|IST|FRA|DEN|COD|
COD|SKP,|SKP|IST|FRA|DEN|COD|
COD|SSH,|SSH|IST|FRA|DEN|COD|
COD|STR,|STR|EWR|DEN|COD|
COD|SVX,|SVX|IST|FRA|DEN|COD|
COD|SYZ,|SYZ|IST|FRA|DEN|COD|
COD|SZG,|SZG|IST|FRA|DEN|COD|
COD|TBZ,|TBZ|IST|FRA|DEN|COD|
COD|TGD,|TGD|IST|FRA|DEN|COD|
COD|TIA,|TIA|IST|FRA|DEN|COD|
COD|TIF,|TIF|IST|FRA|DEN|COD|
COD|TIP,|TIP|IST|FRA|DEN|COD|
COD|TLL,|TLL|VNO|CPH|YYZ|DEN|COD|
COD|TLS,|TLS|IST|FRA|DEN|COD|
COD|TRN,|TRN|IST|FRA|DEN|COD|
COD|TUN,|TUN|IST|FRA|DEN|COD|
COD|TXL,|TXL|EWR|DEN|COD|
COD|UFA,|UFA|IST|FRA|DEN|COD|
COD|VAS,|VAS|SAW|FRA|DEN|COD|
COD|VCE,|VCE|IST|FRA|DEN|COD|
COD|YNB,|YNB|IST|FRA|DEN|COD|
COD|ZAG,|ZAG|IST|FRA|DEN|COD|
COD|MGQ,|MGQ|JIB|IST|FRA|DEN|COD|
COD|CPT,|CPT|JNB|DKR|IAD|DEN|COD|
COD|MBA,|MBA|JRO|IST|FRA|DEN|COD|
