BFL|BHX,|BHX|EWR|DEN|BFL|
BFL|BIO,|BIO|IST|LAX|BFL|
BFL|BLQ,|BLQ|IST|LAX|BFL|
BFL|BOM,|BOM|IST|LAX|BFL|
BFL|BRE,|BRE|IST|LAX|BFL|
BFL|BSL,|BSL|IST|LAX|BFL|
BFL|BSR,|BSR|IST|LAX|BFL|
BFL|BUD,|BUD|IST|LAX|BFL|
BFL|BUS,|BUS|IST|LAX|BFL|
BFL|CAI,|CAI|IST|LAX|BFL|
BFL|CGN,|CGN|IST|LAX|BFL|
BFL|CMN,|CMN|IST|LAX|BFL|
BFL|CND,|CND|IST|LAX|BFL|
BFL|DAR,|DAR|NBO|ZRH|LAX|BFL|
BFL|DLM,|DLM|IST|LAX|BFL|
BFL|DMM,|DMM|IST|LAX|BFL|
BFL|DNK,|DNK|IST|LAX|BFL|
BFL|DNZ,|DNZ|IST|LAX|BFL|
BFL|DOK,|DOK|IST|LAX|BFL|
BFL|DUS,|DUS|ORD|DEN|BFL|
BFL|EDI,|EDI|EWR|DEN|BFL|
BFL|ELQ,|ELQ|IST|LAX|BFL|
BFL|FDH,|FDH|IST|LAX|BFL|
BFL|GOA,|GOA|IST|LAX|BFL|
BFL|GOT,|GOT|BRU|ORD|DEN|BFL|
BFL|HAJ,|HAJ|BRU|ORD|DEN|BFL|
BFL|HBE,|HBE|IST|LAX|BFL|
BFL|HEL,|HEL|IST|LAX|BFL|
BFL|HRG,|HRG|IST|LAX|BFL|
BFL|IFN,|IFN|IST|LAX|BFL|
BFL|ISE,|ISE|IST|LAX|BFL|
BFL|ISU,|ISU|IST|LAX|BFL|
BFL|JIB,|JIB|IST|LAX|BFL|
BFL|JRO,|JRO|IST|LAX|BFL|
BFL|KAN,|KAN|IST|LAX|BFL|
BFL|KBL,|KBL|IST|LAX|BFL|
BFL|KBP,|KBP|IST|LAX|BFL|
BFL|KFS,|KFS|IST|LAX|BFL|
BFL|KHI,|KHI|IST|LAX|BFL|
BFL|KIV,|KIV|IST|LAX|BFL|
BFL|KRT,|KRT|IST|LAX|BFL|
BFL|KSH,|KSH|IST|LAX|BFL|
BFL|KVD,|KVD|IST|LAX|BFL|
BFL|KWI,|KWI|IST|LAX|BFL|
BFL|KYA,|KYA|IST|LAX|BFL|
BFL|KZN,|KZN|IST|LAX|BFL|
BFL|KZR,|KZR|IST|LAX|BFL|
BFL|LED,|LED|VIE|ORD|DEN|BFL|
BFL|LEJ,|LEJ|IST|LAX|BFL|
BFL|LGW,|LGW|IST|LAX|BFL|
BFL|LHE,|LHE|IST|LAX|BFL|
BFL|LIS,|LIS|EWR|DEN|BFL|
BFL|LJU,|LJU|IST|LAX|BFL|
BFL|LOS,|LOS|IAH|BFL|
BFL|LUX,|LUX|IST|LAX|BFL|
BFL|LWO,|LWO|IST|LAX|BFL|
BFL|LYS,|LYS|IST|LAX|BFL|
BFL|MAD,|MAD|EWR|DEN|BFL|
BFL|MAN,|MAN|EWR|DEN|BFL|
BFL|MED,|MED|IST|LAX|BFL|
BFL|MHD,|MHD|IST|LAX|BFL|
BFL|MLA,|MLA|IST|LAX|BFL|
BFL|MRS,|MRS|IST|LAX|BFL|
