KRL|BHX,|BHX|IST|URC|KRL|
KRL|BIO,|BIO|IST|URC|KRL|
KRL|BLQ,|BLQ|IST|URC|KRL|
KRL|BOM,|BOM|IST|URC|KRL|
KRL|BRE,|BRE|IST|URC|KRL|
KRL|BSL,|BSL|IST|URC|KRL|
KRL|BSR,|BSR|IST|URC|KRL|
KRL|BUD,|BUD|IST|URC|KRL|
KRL|BUS,|BUS|IST|URC|KRL|
KRL|CAI,|CAI|IST|URC|KRL|
KRL|CGN,|CGN|IST|URC|KRL|
KRL|CMN,|CMN|IST|URC|KRL|
KRL|CND,|CND|IST|URC|KRL|
KRL|DAR,|DAR|IST|URC|KRL|
KRL|DLM,|DLM|IST|URC|KRL|
KRL|DMM,|DMM|IST|URC|KRL|
KRL|DNK,|DNK|IST|URC|KRL|
KRL|DNZ,|DNZ|IST|URC|KRL|
KRL|DOK,|DOK|IST|URC|KRL|
KRL|DUS,|DUS|IST|URC|KRL|
KRL|EDI,|EDI|IST|URC|KRL|
KRL|ELQ,|ELQ|IST|URC|KRL|
KRL|FDH,|FDH|IST|URC|KRL|
KRL|GOA,|GOA|IST|URC|KRL|
KRL|GOT,|GOT|IST|URC|KRL|
KRL|HAJ,|HAJ|IST|URC|KRL|
KRL|HBE,|HBE|IST|URC|KRL|
KRL|HEL,|HEL|IST|URC|KRL|
KRL|HRG,|HRG|IST|URC|KRL|
KRL|IFN,|IFN|IST|URC|KRL|
KRL|ISE,|ISE|IST|URC|KRL|
KRL|ISU,|ISU|IST|URC|KRL|
KRL|JIB,|JIB|IST|URC|KRL|
KRL|JRO,|JRO|IST|URC|KRL|
KRL|KAN,|KAN|IST|URC|KRL|
KRL|KBL,|KBL|IST|URC|KRL|
KRL|KBP,|KBP|IST|URC|KRL|
KRL|KFS,|KFS|IST|URC|KRL|
KRL|KHI,|KHI|IST|URC|KRL|
KRL|KIV,|KIV|IST|URC|KRL|
KRL|KRT,|KRT|IST|URC|KRL|
KRL|KSH,|KSH|IST|URC|KRL|
KRL|KVD,|KVD|IST|URC|KRL|
KRL|KWI,|KWI|SAW|TBS|URC|KRL|
KRL|KYA,|KYA|SAW|TBS|URC|KRL|
KRL|KZN,|KZN|IST|URC|KRL|
KRL|KZR,|KZR|IST|URC|KRL|
KRL|LED,|LED|IST|URC|KRL|
KRL|LEJ,|LEJ|IST|URC|KRL|
KRL|LGW,|LGW|IST|URC|KRL|
KRL|LHE,|LHE|IST|URC|KRL|
KRL|LIS,|LIS|IST|URC|KRL|
KRL|LJU,|LJU|IST|URC|KRL|
KRL|LOS,|LOS|IST|URC|KRL|
KRL|LUX,|LUX|IST|URC|KRL|
KRL|LWO,|LWO|IST|URC|KRL|
KRL|LYS,|LYS|IST|URC|KRL|
KRL|MAD,|MAD|IST|URC|KRL|
KRL|MAN,|MAN|IST|URC|KRL|
KRL|MED,|MED|IST|URC|KRL|
KRL|MHD,|MHD|IST|URC|KRL|
KRL|MLA,|MLA|IST|URC|KRL|
KRL|MRS,|MRS|IST|URC|KRL|
KRL|MSQ,|MSQ|IST|URC|KRL|
KRL|MXP,|MXP|IST|URC|KRL|
KRL|MZH,|MZH|IST|URC|KRL|
KRL|MZR,|MZR|IST|URC|KRL|
KRL|NAJ,|NAJ|IST|URC|KRL|
KRL|NAV,|NAV|IST|URC|KRL|
KRL|NCE,|NCE|IST|URC|KRL|
KRL|NIM,|NIM|IST|URC|KRL|
KRL|NJF,|NJF|IST|URC|KRL|
KRL|NSI,|NSI|IST|URC|KRL|
KRL|NUE,|NUE|IST|URC|KRL|
KRL|ODS,|ODS|IST|URC|KRL|
KRL|ORN,|ORN|IST|URC|KRL|
KRL|OTP,|OTP|IST|URC|KRL|
KRL|PRG,|PRG|IST|URC|KRL|
KRL|PRN,|PRN|IST|URC|KRL|
KRL|RIX,|RIX|IST|URC|KRL|
KRL|ROV,|ROV|IST|URC|KRL|
KRL|RTM,|RTM|IST|URC|KRL|
KRL|RUH,|RUH|IST|URC|KRL|
KRL|SAH,|SAH|IST|URC|KRL|
KRL|SJJ,|SJJ|IST|URC|KRL|
KRL|SKG,|SKG|IST|URC|KRL|
KRL|SKP,|SKP|IST|URC|KRL|
KRL|SSH,|SSH|IST|URC|KRL|
KRL|STR,|STR|IST|URC|KRL|
KRL|SVX,|SVX|IST|URC|KRL|
KRL|SYZ,|SYZ|IST|URC|KRL|
KRL|SZG,|SZG|IST|URC|KRL|
KRL|TBZ,|TBZ|IST|URC|KRL|
KRL|TGD,|TGD|IST|URC|KRL|
KRL|TIA,|TIA|IST|URC|KRL|
KRL|TIF,|TIF|IST|URC|KRL|
KRL|TIP,|TIP|IST|URC|KRL|
KRL|TLL,|TLL|IST|URC|KRL|
KRL|TLS,|TLS|IST|URC|KRL|
KRL|TRN,|TRN|IST|URC|KRL|
KRL|TUN,|TUN|IST|URC|KRL|
KRL|TXL,|TXL|IST|URC|KRL|
KRL|UFA,|UFA|IST|URC|KRL|
KRL|VAS,|VAS|SAW|TBS|URC|KRL|
KRL|VCE,|VCE|IST|URC|KRL|
KRL|YNB,|YNB|IST|URC|KRL|
KRL|ZAG,|ZAG|IST|URC|KRL|
