FAT|BLQ,|BLQ|IST|MUC|SFO|FAT|
FAT|BOM,|BOM|IST|MUC|SFO|FAT|
FAT|BRE,|BRE|IST|MUC|SFO|FAT|
FAT|BSL,|BSL|IST|MUC|SFO|FAT|
FAT|BSR,|BSR|IST|MUC|SFO|FAT|
FAT|BUD,|BUD|IST|MUC|SFO|FAT|
FAT|BUS,|BUS|IST|MUC|SFO|FAT|
FAT|CAI,|CAI|IST|MUC|SFO|FAT|
FAT|CGN,|CGN|IST|MUC|SFO|FAT|
FAT|CMN,|CMN|IST|MUC|SFO|FAT|
FAT|CND,|CND|IST|MUC|SFO|FAT|
FAT|DAR,|DAR|NBO|ZRH|SFO|FAT|
FAT|DLM,|DLM|IST|MUC|SFO|FAT|
FAT|DMM,|DMM|IST|MUC|SFO|FAT|
FAT|DNK,|DNK|IST|MUC|SFO|FAT|
FAT|DNZ,|DNZ|IST|MUC|SFO|FAT|
FAT|DOK,|DOK|IST|MUC|SFO|FAT|
FAT|DUS,|DUS|ORD|DEN|FAT|
FAT|EDI,|EDI|EWR|DEN|FAT|
FAT|ELQ,|ELQ|IST|MUC|SFO|FAT|
FAT|FDH,|FDH|IST|MUC|SFO|FAT|
FAT|GOA,|GOA|IST|MUC|SFO|FAT|
FAT|GOT,|GOT|BRU|ORD|DEN|FAT|
FAT|HAJ,|HAJ|BRU|ORD|DEN|FAT|
FAT|HBE,|HBE|IST|MUC|SFO|FAT|
FAT|HEL,|HEL|IST|MUC|SFO|FAT|
FAT|HRG,|HRG|IST|MUC|SFO|FAT|
FAT|IFN,|IFN|IST|MUC|SFO|FAT|
FAT|ISE,|ISE|IST|MUC|SFO|FAT|
FAT|ISU,|ISU|IST|MUC|SFO|FAT|
FAT|JIB,|JIB|IST|MUC|SFO|FAT|
FAT|JRO,|JRO|IST|MUC|SFO|FAT|
FAT|KAN,|KAN|IST|MUC|SFO|FAT|
FAT|KBL,|KBL|IST|MUC|SFO|FAT|
FAT|KBP,|KBP|IST|MUC|SFO|FAT|
FAT|KFS,|KFS|IST|MUC|SFO|FAT|
FAT|KHI,|KHI|IST|MUC|SFO|FAT|
FAT|KIV,|KIV|IST|MUC|SFO|FAT|
FAT|KRT,|KRT|IST|MUC|SFO|FAT|
FAT|KSH,|KSH|IST|MUC|SFO|FAT|
FAT|KVD,|KVD|IST|MUC|SFO|FAT|
FAT|KWI,|KWI|SAW|MUC|SFO|FAT|
FAT|KYA,|KYA|IST|MUC|SFO|FAT|
FAT|KZN,|KZN|IST|MUC|SFO|FAT|
FAT|KZR,|KZR|IST|MUC|SFO|FAT|
FAT|LED,|LED|VIE|ORD|DEN|FAT|
FAT|LEJ,|LEJ|IST|MUC|SFO|FAT|
FAT|LGW,|LGW|IST|MUC|SFO|FAT|
FAT|LHE,|LHE|IST|MUC|SFO|FAT|
FAT|LIS,|LIS|EWR|DEN|FAT|
FAT|LJU,|LJU|IST|MUC|SFO|FAT|
FAT|LOS,|LOS|IAH|LAS|FAT|
FAT|LUX,|LUX|IST|MUC|SFO|FAT|
FAT|LWO,|LWO|IST|MUC|SFO|FAT|
FAT|LYS,|LYS|IST|MUC|SFO|FAT|
FAT|MAD,|MAD|EWR|DEN|FAT|
FAT|MAN,|MAN|EWR|DEN|FAT|
FAT|MED,|MED|IST|MUC|SFO|FAT|
FAT|MHD,|MHD|IST|MUC|SFO|FAT|
FAT|MLA,|MLA|IST|MUC|SFO|FAT|
FAT|MRS,|MRS|IST|MUC|SFO|FAT|
FAT|MSQ,|MSQ|IST|MUC|SFO|FAT|
FAT|MXP,|MXP|EWR|DEN|FAT|
FAT|MZH,|MZH|IST|MUC|SFO|FAT|
FAT|MZR,|MZR|IST|MUC|SFO|FAT|
FAT|NAJ,|NAJ|IST|MUC|SFO|FAT|
FAT|NAV,|NAV|IST|MUC|SFO|FAT|
FAT|NCE,|NCE|IST|MUC|SFO|FAT|
FAT|NIM,|NIM|IST|MUC|SFO|FAT|
FAT|NJF,|NJF|IST|MUC|SFO|FAT|
FAT|NSI,|NSI|BRU|ORD|DEN|FAT|
FAT|NUE,|NUE|IST|MUC|SFO|FAT|
FAT|ODS,|ODS|IST|MUC|SFO|FAT|
FAT|ORN,|ORN|IST|MUC|SFO|FAT|
FAT|OTP,|OTP|IST|MUC|SFO|FAT|
FAT|PRG,|PRG|BRU|ORD|DEN|FAT|
FAT|PRN,|PRN|IST|MUC|SFO|FAT|
FAT|RIX,|RIX|IST|MUC|SFO|FAT|
FAT|ROV,|ROV|IST|MUC|SFO|FAT|
FAT|RTM,|RTM|IST|MUC|SFO|FAT|
FAT|RUH,|RUH|IST|MUC|SFO|FAT|
FAT|SAH,|SAH|IST|MUC|SFO|FAT|
FAT|SJJ,|SJJ|IST|MUC|SFO|FAT|
FAT|SKG,|SKG|IST|MUC|SFO|FAT|
FAT|SKP,|SKP|IST|MUC|SFO|FAT|
