CSX|ROV,|ROV|IST|URC|CSX|
CSX|RTM,|RTM|IST|URC|CSX|
CSX|RUH,|RUH|IST|URC|CSX|
CSX|SAH,|SAH|IST|URC|CSX|
CSX|SJJ,|SJJ|IST|URC|CSX|
CSX|SKG,|SKG|IST|URC|CSX|
CSX|SKP,|SKP|IST|URC|CSX|
CSX|SSH,|SSH|IST|URC|CSX|
CSX|STR,|STR|IST|URC|CSX|
CSX|SVX,|SVX|IST|URC|CSX|
CSX|SYZ,|SYZ|IST|URC|CSX|
CSX|SZG,|SZG|IST|URC|CSX|
CSX|TBZ,|TBZ|IST|URC|CSX|
CSX|TGD,|TGD|IST|URC|CSX|
CSX|TIA,|TIA|IST|URC|CSX|
CSX|TIF,|TIF|IST|URC|CSX|
CSX|TIP,|TIP|IST|URC|CSX|
CSX|TLL,|TLL|IST|URC|CSX|
CSX|TLS,|TLS|IST|URC|CSX|
CSX|TRN,|TRN|IST|URC|CSX|
CSX|TUN,|TUN|IST|URC|CSX|
CSX|TXL,|TXL|IST|URC|CSX|
CSX|UFA,|UFA|IST|URC|CSX|
CSX|VAS,|VAS|SAW|TBS|URC|CSX|
CSX|VCE,|VCE|IST|URC|CSX|
CSX|YNB,|YNB|IST|URC|CSX|
CSX|ZAG,|ZAG|IST|URC|CSX|
CSX|MGQ,|MGQ|JIB|IST|URC|CSX|
CSX|CPT,|CPT|JNB|IST|URC|CSX|
CSX|MBA,|MBA|JRO|IST|URC|CSX|
CSX|NDJ,|NDJ|KAN|IST|URC|CSX|
CSX|CMB,|CMB|MLE|CAN|CSX|
CSX|ADE,|ADE|SAH|IST|URC|CSX|
CSX|ASF,|ASF|SAW|TBS|URC|CSX|
CSX|STW,|STW|SAW|TBS|URC|CSX|
CSX|LFW,|LFW|ABJ|OUA|NIM|IST|URC|CSX|
CSX|CEC,|CEC|SFO|ICN|CSX|
CSX|SMF,|SMF|SFO|ICN|CSX|
CSX|CDR,|CDR|AIA|DEN|YVR|ICN|CSX|
CSX|FMN,|FMN|DEN|YVR|ICN|CSX|
CSX|JST,|JST|IAD|PEK|CSX|
CSX|JHW,|JHW|CLE|YYZ|PEK|CSX|
CSX|SHD,|SHD|IAD|PEK|CSX|
CSX|PTY,|PTY|ORD|PEK|CSX|
CSX|FNA,|FNA|BRU|IST|URC|CSX|
CSX|SXB,|SXB|BRU|IST|URC|CSX|
CSX|ACV,|ACV|SFO|ICN|CSX|
