DSM|HAJ,|HAJ|BRU|ORD|DSM|
DSM|HBE,|HBE|IST|ORD|DSM|
DSM|HEL,|HEL|IST|ORD|DSM|
DSM|HRG,|HRG|IST|ORD|DSM|
DSM|IFN,|IFN|IST|ORD|DSM|
DSM|ISE,|ISE|IST|ORD|DSM|
DSM|ISU,|ISU|IST|ORD|DSM|
DSM|JIB,|JIB|IST|ORD|DSM|
DSM|JRO,|JRO|IST|ORD|DSM|
DSM|KAN,|KAN|IST|ORD|DSM|
DSM|KBL,|KBL|IST|ORD|DSM|
DSM|KBP,|KBP|IST|ORD|DSM|
DSM|KFS,|KFS|IST|ORD|DSM|
DSM|KHI,|KHI|IST|ORD|DSM|
DSM|KIV,|KIV|IST|ORD|DSM|
DSM|KRT,|KRT|IST|ORD|DSM|
DSM|KSH,|KSH|IST|ORD|DSM|
DSM|KVD,|KVD|IST|ORD|DSM|
DSM|KWI,|KWI|SAW|VIE|ORD|DSM|
DSM|KYA,|KYA|IST|ORD|DSM|
DSM|KZN,|KZN|IST|ORD|DSM|
DSM|KZR,|KZR|IST|ORD|DSM|
DSM|LED,|LED|VIE|ORD|DSM|
DSM|LEJ,|LEJ|IST|ORD|DSM|
DSM|LGW,|LGW|IST|ORD|DSM|
DSM|LHE,|LHE|IST|ORD|DSM|
DSM|LIS,|LIS|EWR|DSM|
DSM|LJU,|LJU|IST|ORD|DSM|
DSM|LOS,|LOS|IAH|DSM|
DSM|LUX,|LUX|IST|ORD|DSM|
DSM|LWO,|LWO|IST|ORD|DSM|
DSM|LYS,|LYS|IST|ORD|DSM|
DSM|MAD,|MAD|EWR|DSM|
DSM|MAN,|MAN|EWR|DSM|
DSM|MED,|MED|IST|ORD|DSM|
DSM|MHD,|MHD|IST|ORD|DSM|
DSM|MLA,|MLA|IST|ORD|DSM|
DSM|MRS,|MRS|IST|ORD|DSM|
DSM|MSQ,|MSQ|IST|ORD|DSM|
DSM|MXP,|MXP|EWR|DSM|
DSM|MZH,|MZH|IST|ORD|DSM|
DSM|MZR,|MZR|IST|ORD|DSM|
DSM|NAJ,|NAJ|IST|ORD|DSM|
DSM|NAV,|NAV|IST|ORD|DSM|
DSM|NCE,|NCE|IST|ORD|DSM|
DSM|NIM,|NIM|IST|ORD|DSM|
DSM|NJF,|NJF|IST|ORD|DSM|
DSM|NSI,|NSI|BRU|ORD|DSM|
DSM|NUE,|NUE|IST|ORD|DSM|
DSM|ODS,|ODS|IST|ORD|DSM|
DSM|ORN,|ORN|IST|ORD|DSM|
DSM|OTP,|OTP|IST|ORD|DSM|
DSM|PRG,|PRG|BRU|ORD|DSM|
DSM|PRN,|PRN|IST|ORD|DSM|
DSM|RIX,|RIX|IST|ORD|DSM|
DSM|ROV,|ROV|IST|ORD|DSM|
DSM|RTM,|RTM|IST|ORD|DSM|
DSM|RUH,|RUH|IST|ORD|DSM|
DSM|SAH,|SAH|IST|ORD|DSM|
DSM|SJJ,|SJJ|IST|ORD|DSM|
DSM|SKG,|SKG|IST|ORD|DSM|
DSM|SKP,|SKP|IST|ORD|DSM|
DSM|SSH,|SSH|IST|ORD|DSM|
DSM|STR,|STR|EWR|DSM|
DSM|SVX,|SVX|IST|ORD|DSM|
DSM|SYZ,|SYZ|IST|ORD|DSM|
DSM|SZG,|SZG|IST|ORD|DSM|
DSM|TBZ,|TBZ|IST|ORD|DSM|
DSM|TGD,|TGD|IST|ORD|DSM|
DSM|TIA,|TIA|IST|ORD|DSM|
DSM|TIF,|TIF|IST|ORD|DSM|
DSM|TIP,|TIP|IST|ORD|DSM|
DSM|TLL,|TLL|VNO|CPH|YYZ|ORD|DSM|
DSM|TLS,|TLS|IST|ORD|DSM|
DSM|TRN,|TRN|IST|ORD|DSM|
DSM|TUN,|TUN|IST|ORD|DSM|
DSM|TXL,|TXL|EWR|DSM|
DSM|UFA,|UFA|IST|ORD|DSM|
DSM|VAS,|VAS|SAW|VIE|ORD|DSM|
DSM|VCE,|VCE|IST|ORD|DSM|
DSM|YNB,|YNB|IST|ORD|DSM|
DSM|ZAG,|ZAG|IST|ORD|DSM|
DSM|MGQ,|MGQ|JIB|IST|ORD|DSM|
DSM|CPT,|CPT|JNB|DKR|IAD|MDW|DSM|
DSM|MBA,|MBA|JRO|IST|ORD|DSM|
DSM|NDJ,|NDJ|KAN|IST|ORD|DSM|
DSM|CMB,|CMB|MLE|IST|ORD|DSM|
