MCI|SVX,|SVX|IST|ORD|MCI|
MCI|SYZ,|SYZ|IST|ORD|MCI|
MCI|SZG,|SZG|IST|ORD|MCI|
MCI|TBZ,|TBZ|IST|ORD|MCI|
MCI|TGD,|TGD|IST|ORD|MCI|
MCI|TIA,|TIA|IST|ORD|MCI|
MCI|TIF,|TIF|IST|ORD|MCI|
MCI|TIP,|TIP|IST|ORD|MCI|
MCI|TLL,|TLL|VNO|CPH|YYZ|MCI|
MCI|TLS,|TLS|IST|ORD|MCI|
MCI|TRN,|TRN|IST|ORD|MCI|
MCI|TUN,|TUN|IST|ORD|MCI|
MCI|TXL,|TXL|EWR|MCI|
MCI|UFA,|UFA|IST|ORD|MCI|
MCI|VAS,|VAS|SAW|VIE|ORD|MCI|
MCI|VCE,|VCE|IST|ORD|MCI|
MCI|YNB,|YNB|IST|ORD|MCI|
MCI|ZAG,|ZAG|IST|ORD|MCI|
MCI|MGQ,|MGQ|JIB|IST|ORD|MCI|
MCI|CPT,|CPT|JNB|DKR|IAD|MCI|
MCI|MBA,|MBA|JRO|IST|ORD|MCI|
MCI|NDJ,|NDJ|KAN|IST|ORD|MCI|
