BRE|PRG,|PRG|IST|BRE|
BRE|PRN,|PRN|IST|BRE|
BRE|RIX,|RIX|IST|BRE|
BRE|ROV,|ROV|IST|BRE|
BRE|RTM,|RTM|IST|BRE|
BRE|RUH,|RUH|IST|BRE|
BRE|SAH,|SAH|IST|BRE|
BRE|SJJ,|SJJ|IST|BRE|
BRE|SKG,|SKG|IST|BRE|
BRE|SKP,|SKP|IST|BRE|
BRE|SSH,|SSH|IST|BRE|
BRE|STR,|STR|IST|BRE|
BRE|SVX,|SVX|IST|BRE|
BRE|SYZ,|SYZ|IST|BRE|
BRE|SZG,|SZG|IST|BRE|
BRE|TBZ,|TBZ|IST|BRE|
BRE|TGD,|TGD|IST|BRE|
BRE|TIA,|TIA|IST|BRE|
BRE|TIF,|TIF|IST|BRE|
BRE|TIP,|TIP|IST|BRE|
BRE|TLL,|TLL|IST|BRE|
BRE|TLS,|TLS|IST|BRE|
BRE|TRN,|TRN|IST|BRE|
BRE|TUN,|TUN|IST|BRE|
BRE|TXL,|TXL|IST|BRE|
BRE|UFA,|UFA|IST|BRE|
BRE|VAS,|VAS|IST|BRE|
BRE|VCE,|VCE|IST|BRE|
BRE|YNB,|YNB|IST|BRE|
BRE|ZAG,|ZAG|IST|BRE|
BRE|MGQ,|MGQ|JIB|IST|BRE|
BRE|CPT,|CPT|JNB|IST|BRE|
BRE|MBA,|MBA|JRO|IST|BRE|
BRE|NDJ,|NDJ|KAN|IST|BRE|
BRE|CMB,|CMB|MLE|IST|BRE|
BRE|ADE,|ADE|SAH|IST|BRE|
BRE|ASF,|ASF|SAW|ADB|IST|BRE|
BRE|STW,|STW|SAW|ADB|IST|BRE|
BRE|LFW,|LFW|ABJ|OUA|NIM|IST|BRE|
BRE|CEC,|CEC|ACV|SMF|SEA|FRA|IST|BRE|
BRE|SMF,|SMF|SEA|FRA|IST|BRE|
BRE|CDR,|CDR|AIA|DEN|FRA|IST|BRE|
BRE|FMN,|FMN|DEN|FRA|IST|BRE|
BRE|JST,|JST|IAD|IST|BRE|
BRE|JHW,|JHW|CLE|YYZ|IST|BRE|
BRE|SHD,|SHD|IAD|IST|BRE|
BRE|PTY,|PTY|MIA|ZRH|IST|BRE|
BRE|FNA,|FNA|BRU|IST|BRE|
BRE|SXB,|SXB|BRU|IST|BRE|
BRE|ACV,|ACV|SMF|SEA|FRA|IST|BRE|
BRE|MGW,|MGW|IAD|IST|BRE|
BRE|ALB,|ALB|EWR|BHX|IST|BRE|
BRE|AUS,|AUS|ORD|IST|BRE|
BRE|BFD,|BFD|CLE|YYZ|IST|BRE|
BRE|BUF,|BUF|EWR|BHX|IST|BRE|
BRE|CHS,|CHS|EWR|BHX|IST|BRE|
BRE|DAY,|DAY|CLE|YYZ|IST|BRE|
BRE|DUJ,|DUJ|CLE|YYZ|IST|BRE|
BRE|ERI,|ERI|CLE|YYZ|IST|BRE|
BRE|FKL,|FKL|CLE|YYZ|IST|BRE|
BRE|FNT,|FNT|CLE|YYZ|IST|BRE|
BRE|GRR,|GRR|CLE|YYZ|IST|BRE|
BRE|GSP,|GSP|EWR|BHX|IST|BRE|
BRE|PBI,|PBI|EWR|BHX|IST|BRE|
BRE|PKB,|PKB|CLE|YYZ|IST|BRE|
BRE|RIC,|RIC|EWR|BHX|IST|BRE|
BRE|SDF,|SDF|CLE|YYZ|IST|BRE|
BRE|GUM,|GUM|FUK|ICN|IST|BRE|
BRE|WRL,|WRL|CYS|DEN|FRA|IST|BRE|
BRE|LBL,|BRE|
BRE|ABQ,|ABQ|DEN|FRA|IST|BRE|
