HBE|DMM,|DMM|IST|HBE|
HBE|DNK,|DNK|IST|HBE|
HBE|DNZ,|DNZ|IST|HBE|
HBE|DOK,|DOK|IST|HBE|
HBE|DUS,|DUS|IST|HBE|
HBE|EDI,|EDI|IST|HBE|
HBE|ELQ,|ELQ|IST|HBE|
HBE|FDH,|FDH|IST|HBE|
HBE|GOA,|GOA|IST|HBE|
HBE|GOT,|GOT|IST|HBE|
HBE|HAJ,|HAJ|IST|HBE|
HBE|HEL,|HEL|IST|HBE|
HBE|HRG,|HRG|IST|HBE|
HBE|IFN,|IFN|IST|HBE|
HBE|ISE,|ISE|IST|HBE|
HBE|ISU,|ISU|IST|HBE|
HBE|JIB,|JIB|IST|HBE|
HBE|JRO,|JRO|IST|HBE|
HBE|KAN,|KAN|IST|HBE|
HBE|KBL,|KBL|IST|HBE|
HBE|KBP,|KBP|IST|HBE|
HBE|KFS,|KFS|IST|HBE|
HBE|KHI,|KHI|IST|HBE|
HBE|KIV,|KIV|IST|HBE|
HBE|KRT,|KRT|IST|HBE|
HBE|KSH,|KSH|IST|HBE|
HBE|KVD,|KVD|IST|HBE|
HBE|KWI,|KWI|IST|HBE|
HBE|KYA,|KYA|IST|HBE|
HBE|KZN,|KZN|IST|HBE|
HBE|KZR,|KZR|IST|HBE|
HBE|LED,|LED|IST|HBE|
HBE|LEJ,|LEJ|IST|HBE|
HBE|LGW,|LGW|IST|HBE|
HBE|LHE,|LHE|IST|HBE|
HBE|LIS,|LIS|IST|HBE|
HBE|LJU,|LJU|IST|HBE|
HBE|LOS,|LOS|IST|HBE|
HBE|LUX,|LUX|IST|HBE|
HBE|LWO,|LWO|IST|HBE|
HBE|LYS,|LYS|IST|HBE|
HBE|MAD,|MAD|IST|HBE|
HBE|MAN,|MAN|IST|HBE|
HBE|MED,|MED|IST|HBE|
HBE|MHD,|MHD|IST|HBE|
HBE|MLA,|MLA|IST|HBE|
HBE|MRS,|MRS|IST|HBE|
HBE|MSQ,|MSQ|IST|HBE|
HBE|MXP,|MXP|IST|HBE|
HBE|MZH,|MZH|IST|HBE|
HBE|MZR,|MZR|IST|HBE|
HBE|NAJ,|NAJ|IST|HBE|
HBE|NAV,|NAV|IST|HBE|
HBE|NCE,|NCE|IST|HBE|
HBE|NIM,|NIM|IST|HBE|
HBE|NJF,|NJF|IST|HBE|
HBE|NSI,|NSI|IST|HBE|
HBE|NUE,|NUE|IST|HBE|
HBE|ODS,|ODS|IST|HBE|
HBE|ORN,|ORN|IST|HBE|
HBE|OTP,|OTP|IST|HBE|
HBE|PRG,|PRG|IST|HBE|
HBE|PRN,|PRN|IST|HBE|
HBE|RIX,|RIX|IST|HBE|
HBE|ROV,|ROV|IST|HBE|
HBE|RTM,|RTM|IST|HBE|
HBE|RUH,|RUH|IST|HBE|
HBE|SAH,|SAH|IST|HBE|
HBE|SJJ,|SJJ|IST|HBE|
HBE|SKG,|SKG|IST|HBE|
HBE|SKP,|SKP|IST|HBE|
HBE|SSH,|SSH|IST|HBE|
HBE|STR,|STR|IST|HBE|
HBE|SVX,|SVX|IST|HBE|
HBE|SYZ,|SYZ|IST|HBE|
HBE|SZG,|SZG|IST|HBE|
HBE|TBZ,|TBZ|IST|HBE|
HBE|TGD,|TGD|IST|HBE|
HBE|TIA,|TIA|IST|HBE|
HBE|TIF,|TIF|IST|HBE|
HBE|TIP,|TIP|IST|HBE|
HBE|TLL,|TLL|IST|HBE|
HBE|TLS,|TLS|IST|HBE|
HBE|TRN,|TRN|IST|HBE|
HBE|TUN,|TUN|IST|HBE|
HBE|TXL,|TXL|IST|HBE|
HBE|UFA,|UFA|IST|HBE|
HBE|VAS,|VAS|IST|HBE|
HBE|VCE,|VCE|IST|HBE|
HBE|YNB,|YNB|IST|HBE|
HBE|ZAG,|ZAG|IST|HBE|
HBE|MGQ,|MGQ|JIB|IST|HBE|
HBE|CPT,|CPT|JNB|IST|HBE|
HBE|MBA,|MBA|JRO|IST|HBE|
HBE|NDJ,|NDJ|KAN|IST|HBE|
HBE|CMB,|CMB|MLE|IST|HBE|
HBE|ADE,|ADE|SAH|IST|HBE|
HBE|ASF,|ASF|SAW|ADB|IST|HBE|
HBE|STW,|STW|SAW|ADB|IST|HBE|
HBE|LFW,|LFW|ABJ|OUA|NIM|IST|HBE|
HBE|CEC,|CEC|ACV|SMF|SEA|FRA|IST|HBE|
HBE|SMF,|SMF|SEA|FRA|IST|HBE|
HBE|CDR,|CDR|AIA|DEN|FRA|IST|HBE|
HBE|FMN,|FMN|DEN|FRA|IST|HBE|
HBE|JST,|JST|IAD|IST|HBE|
HBE|JHW,|JHW|CLE|YYZ|IST|HBE|
HBE|SHD,|SHD|IAD|IST|HBE|
HBE|PTY,|PTY|MIA|ZRH|IST|HBE|
HBE|FNA,|FNA|BRU|IST|HBE|
HBE|SXB,|SXB|BRU|IST|HBE|
HBE|ACV,|ACV|SMF|SEA|FRA|IST|HBE|
HBE|MGW,|MGW|IAD|IST|HBE|
HBE|ALB,|ALB|EWR|BHX|IST|HBE|
HBE|AUS,|AUS|ORD|IST|HBE|
HBE|BFD,|BFD|CLE|YYZ|IST|HBE|
HBE|BUF,|BUF|EWR|BHX|IST|HBE|
HBE|CHS,|CHS|EWR|BHX|IST|HBE|
HBE|DAY,|DAY|CLE|YYZ|IST|HBE|
HBE|DUJ,|DUJ|CLE|YYZ|IST|HBE|
HBE|ERI,|ERI|CLE|YYZ|IST|HBE|
HBE|FKL,|FKL|CLE|YYZ|IST|HBE|
HBE|FNT,|FNT|CLE|YYZ|IST|HBE|
HBE|GRR,|GRR|CLE|YYZ|IST|HBE|
HBE|GSP,|GSP|EWR|BHX|IST|HBE|
HBE|PBI,|PBI|EWR|BHX|IST|HBE|
HBE|PKB,|PKB|CLE|YYZ|IST|HBE|
HBE|RIC,|RIC|EWR|BHX|IST|HBE|
HBE|SDF,|SDF|CLE|YYZ|IST|HBE|
HBE|GUM,|GUM|FUK|ICN|IST|HBE|
HBE|WRL,|WRL|CYS|DEN|FRA|IST|HBE|
HBE|LBL,|HBE|
HBE|ABQ,|ABQ|DEN|FRA|IST|HBE|
