RGN|SAW,|SAW|TBS|URC|CAN|RGN|
RGN|HAM,|HAM|IST|CAN|RGN|
RGN|HRE,|HRE|ADD|IST|CAN|RGN|
RGN|JUB,|JUB|CAI|IST|CAN|RGN|
RGN|SSG,|SSG|DLA|IST|CAN|RGN|
RGN|BGW,|BGW|IST|CAN|RGN|
RGN|EBL,|EBL|IST|CAN|RGN|
RGN|VKO,|VKO|IST|CAN|RGN|
RGN|MCT,|MCT|IST|CAN|RGN|
RGN|AYT,|AYT|IST|CAN|RGN|
RGN|SCQ,|SCQ|BIO|IST|CAN|RGN|
RGN|AAL,|AAL|IST|CAN|RGN|
RGN|AOE,|AOE|BRU|DEL|CAN|RGN|
RGN|JNB,|JNB|IST|CAN|RGN|
RGN|LBV,|LBV|DLA|IST|CAN|RGN|
RGN|ADA,|ADA|IST|CAN|RGN|
RGN|ADB,|ADB|IST|CAN|RGN|
RGN|ADF,|ADF|IST|CAN|RGN|
RGN|AJI,|AJI|IST|CAN|RGN|
RGN|BAL,|BAL|IST|CAN|RGN|
RGN|BJV,|BJV|IST|CAN|RGN|
RGN|CKZ,|CKZ|ESB|IST|CAN|RGN|
RGN|DIY,|DIY|IST|CAN|RGN|
RGN|ECN,|ECN|IST|CAN|RGN|
RGN|ERC,|ERC|IST|CAN|RGN|
RGN|ERZ,|ERZ|IST|CAN|RGN|
RGN|EZS,|EZS|IST|CAN|RGN|
RGN|GNY,|GNY|IST|CAN|RGN|
RGN|GZP,|GZP|ESB|IST|CAN|RGN|
RGN|GZT,|GZT|IST|CAN|RGN|
RGN|HTY,|HTY|IST|CAN|RGN|
RGN|KCM,|KCM|IST|CAN|RGN|
RGN|KSY,|KSY|IST|CAN|RGN|
RGN|MLX,|MLX|IST|CAN|RGN|
RGN|MQM,|MQM|IST|CAN|RGN|
RGN|MSR,|MSR|IST|CAN|RGN|
RGN|TEQ,|TEQ|ESB|IST|CAN|RGN|
RGN|TZX,|TZX|IST|CAN|RGN|
RGN|VAN,|VAN|IST|CAN|RGN|
RGN|ULN,|ULN|FRU|URC|CAN|RGN|
RGN|HIJ,|HIJ|ICN|CAN|RGN|
RGN|VVO,|VVO|ICN|CAN|RGN|
RGN|ACC,|ACC|IST|CAN|RGN|
RGN|AER,|AER|IST|CAN|RGN|
RGN|AGP,|AGP|IST|CAN|RGN|
RGN|ALG,|ALG|IST|CAN|RGN|
RGN|AMM,|AMM|IST|CAN|RGN|
RGN|AQJ,|AQJ|IST|CAN|RGN|
RGN|ARN,|ARN|IST|CAN|RGN|
RGN|ASR,|ASR|IST|CAN|RGN|
RGN|ATH,|ATH|IST|CAN|RGN|
RGN|BAH,|BAH|IST|CAN|RGN|
RGN|BEG,|BEG|IST|CAN|RGN|
RGN|BEN,|BEN|IST|CAN|RGN|
RGN|BEY,|BEY|IST|CAN|RGN|
RGN|BHX,|BHX|BRU|DEL|CAN|RGN|
RGN|BIO,|BIO|IST|CAN|RGN|
RGN|BLQ,|BLQ|IST|CAN|RGN|
RGN|BOM,|BOM|IST|CAN|RGN|
RGN|BRE,|BRE|IST|CAN|RGN|
RGN|BSL,|BSL|IST|CAN|RGN|
RGN|BSR,|BSR|IST|CAN|RGN|
RGN|BUD,|BUD|IST|CAN|RGN|
RGN|BUS,|BUS|IST|CAN|RGN|
RGN|CAI,|CAI|IST|CAN|RGN|
RGN|CGN,|CGN|IST|CAN|RGN|
RGN|CMN,|CMN|IST|CAN|RGN|
RGN|CND,|CND|IST|CAN|RGN|
RGN|DAR,|DAR|NBO|CAN|RGN|
RGN|DLM,|DLM|IST|CAN|RGN|
RGN|DMM,|DMM|IST|CAN|RGN|
RGN|DNK,|DNK|IST|CAN|RGN|
RGN|DNZ,|DNZ|IST|CAN|RGN|
RGN|DOK,|DOK|IST|CAN|RGN|
RGN|DUS,|DUS|IST|CAN|RGN|
RGN|EDI,|EDI|IST|CAN|RGN|
RGN|ELQ,|ELQ|IST|CAN|RGN|
RGN|FDH,|FDH|IST|CAN|RGN|
RGN|GOA,|GOA|IST|CAN|RGN|
RGN|GOT,|GOT|IST|CAN|RGN|
RGN|HAJ,|HAJ|IST|CAN|RGN|
RGN|HBE,|HBE|IST|CAN|RGN|
RGN|HEL,|HEL|IST|CAN|RGN|
RGN|HRG,|HRG|IST|CAN|RGN|
RGN|IFN,|IFN|IST|CAN|RGN|
RGN|ISE,|ISE|IST|CAN|RGN|
RGN|ISU,|ISU|IST|CAN|RGN|
RGN|JIB,|JIB|IST|CAN|RGN|
RGN|JRO,|JRO|IST|CAN|RGN|
RGN|KAN,|KAN|IST|CAN|RGN|
RGN|KBL,|KBL|IST|CAN|RGN|
RGN|KBP,|KBP|IST|CAN|RGN|
RGN|KFS,|KFS|IST|CAN|RGN|
RGN|KHI,|KHI|IST|CAN|RGN|
RGN|KIV,|KIV|IST|CAN|RGN|
RGN|KRT,|KRT|IST|CAN|RGN|
RGN|KSH,|KSH|IST|CAN|RGN|
RGN|KVD,|KVD|IST|CAN|RGN|
RGN|KWI,|KWI|IST|CAN|RGN|
RGN|KYA,|KYA|IST|CAN|RGN|
RGN|KZN,|KZN|IST|CAN|RGN|
RGN|KZR,|KZR|IST|CAN|RGN|
RGN|LED,|LED|IST|CAN|RGN|
RGN|LEJ,|LEJ|IST|CAN|RGN|
RGN|LGW,|LGW|IST|CAN|RGN|
RGN|LHE,|LHE|IST|CAN|RGN|
RGN|LIS,|LIS|IST|CAN|RGN|
RGN|LJU,|LJU|IST|CAN|RGN|
RGN|LOS,|LOS|IST|CAN|RGN|
RGN|LUX,|LUX|IST|CAN|RGN|
RGN|LWO,|LWO|IST|CAN|RGN|
RGN|LYS,|LYS|IST|CAN|RGN|
RGN|MAD,|MAD|IST|CAN|RGN|
RGN|MAN,|MAN|IST|CAN|RGN|
RGN|MED,|MED|IST|CAN|RGN|
RGN|MHD,|MHD|IST|CAN|RGN|
RGN|MLA,|MLA|IST|CAN|RGN|
RGN|MRS,|MRS|IST|CAN|RGN|
RGN|MSQ,|MSQ|IST|CAN|RGN|
RGN|MXP,|MXP|IST|CAN|RGN|
RGN|MZH,|MZH|IST|CAN|RGN|
RGN|MZR,|MZR|IST|CAN|RGN|
RGN|NAJ,|NAJ|IST|CAN|RGN|
RGN|NAV,|NAV|IST|CAN|RGN|
RGN|NCE,|NCE|IST|CAN|RGN|
RGN|NIM,|NIM|IST|CAN|RGN|
RGN|NJF,|NJF|IST|CAN|RGN|
RGN|NSI,|NSI|IST|CAN|RGN|
RGN|NUE,|NUE|IST|CAN|RGN|
RGN|ODS,|ODS|IST|CAN|RGN|
RGN|ORN,|ORN|IST|CAN|RGN|
RGN|OTP,|OTP|IST|CAN|RGN|
RGN|PRG,|PRG|IST|CAN|RGN|
RGN|PRN,|PRN|IST|CAN|RGN|
RGN|RIX,|RIX|IST|CAN|RGN|
RGN|ROV,|ROV|IST|CAN|RGN|
RGN|RTM,|RTM|IST|CAN|RGN|
RGN|RUH,|RUH|IST|CAN|RGN|
RGN|SAH,|SAH|IST|CAN|RGN|
RGN|SJJ,|SJJ|IST|CAN|RGN|
RGN|SKG,|SKG|IST|CAN|RGN|
RGN|SKP,|SKP|IST|CAN|RGN|
RGN|SSH,|SSH|IST|CAN|RGN|
RGN|STR,|STR|IST|CAN|RGN|
RGN|SVX,|SVX|IST|CAN|RGN|
RGN|SYZ,|SYZ|IST|CAN|RGN|
RGN|SZG,|SZG|IST|CAN|RGN|
RGN|TBZ,|TBZ|IST|CAN|RGN|
RGN|TGD,|TGD|IST|CAN|RGN|
RGN|TIA,|TIA|IST|CAN|RGN|
