DAC|PBI,|PBI|EWR|BHX|IST|DAC|
DAC|PKB,|PKB|CLE|YYZ|IST|DAC|
DAC|RIC,|RIC|EWR|BHX|IST|DAC|
DAC|SDF,|SDF|CLE|YYZ|IST|DAC|
DAC|GUM,|GUM|HKG|CAN|DAC|
DAC|WRL,|WRL|CYS|DEN|YVR|CAN|DAC|
DAC|LBL,|DAC|
DAC|ABQ,|ABQ|SEA|ICN|CAN|DAC|
DAC|AIA,|AIA|DEN|YVR|CAN|DAC|
DAC|ALS,|ALS|DEN|YVR|CAN|DAC|
DAC|AMA,|AMA|DEN|YVR|CAN|DAC|
DAC|ANC,|ANC|SEA|ICN|CAN|DAC|
DAC|ASE,|ASE|DEN|YVR|CAN|DAC|
DAC|BFL,|BFL|SFO|PVG|CAN|DAC|
DAC|BHM,|BHM|BWI|EWR|BHX|IST|DAC|
DAC|BIL,|BIL|DEN|YVR|CAN|DAC|
DAC|BIS,|BIS|DEN|YVR|CAN|DAC|
DAC|BOI,|BOI|SFO|PVG|CAN|DAC|
DAC|BUR,|BUR|SFO|PVG|CAN|DAC|
DAC|BZN,|BZN|DEN|YVR|CAN|DAC|
DAC|CID,|CID|ORD|IST|DAC|
DAC|COD,|COD|DEN|YVR|CAN|DAC|
