HDN|TZX,|TZX|ESB|FRA|DEN|HDN|
HDN|VAN,|VAN|ESB|FRA|DEN|HDN|
HDN|ULN,|ULN|FRU|IST|FRA|DEN|HDN|
HDN|HIJ,|HIJ|ICN|YVR|DEN|HDN|
HDN|VVO,|VVO|ICN|YVR|DEN|HDN|
HDN|ACC,|ACC|IST|FRA|DEN|HDN|
HDN|AER,|AER|IST|FRA|DEN|HDN|
HDN|AGP,|AGP|IST|FRA|DEN|HDN|
HDN|ALG,|ALG|IST|FRA|DEN|HDN|
HDN|AMM,|AMM|IST|FRA|DEN|HDN|
HDN|AQJ,|AQJ|IST|FRA|DEN|HDN|
HDN|ARN,|ARN|EWR|DEN|HDN|
HDN|ASR,|ASR|SAW|FRA|DEN|HDN|
HDN|ATH,|ATH|IST|FRA|DEN|HDN|
HDN|BAH,|BAH|IST|FRA|DEN|HDN|
HDN|BEG,|BEG|IST|FRA|DEN|HDN|
HDN|BEN,|BEN|IST|FRA|DEN|HDN|
HDN|BEY,|BEY|IST|FRA|DEN|HDN|
HDN|BHX,|BHX|EWR|DEN|HDN|
HDN|BIO,|BIO|IST|FRA|DEN|HDN|
HDN|BLQ,|BLQ|IST|FRA|DEN|HDN|
HDN|BOM,|BOM|IST|FRA|DEN|HDN|
HDN|BRE,|BRE|IST|FRA|DEN|HDN|
HDN|BSL,|BSL|IST|FRA|DEN|HDN|
HDN|BSR,|BSR|IST|FRA|DEN|HDN|
HDN|BUD,|BUD|IST|FRA|DEN|HDN|
HDN|BUS,|BUS|IST|FRA|DEN|HDN|
HDN|CAI,|CAI|IST|FRA|DEN|HDN|
HDN|CGN,|CGN|IST|FRA|DEN|HDN|
HDN|CMN,|CMN|IST|FRA|DEN|HDN|
HDN|CND,|CND|IST|FRA|DEN|HDN|
HDN|DAR,|DAR|NBO|ZRH|ORD|DEN|HDN|
HDN|DLM,|DLM|IST|FRA|DEN|HDN|
HDN|DMM,|DMM|IST|FRA|DEN|HDN|
HDN|DNK,|DNK|IST|FRA|DEN|HDN|
HDN|DNZ,|DNZ|IST|FRA|DEN|HDN|
HDN|DOK,|DOK|IST|FRA|DEN|HDN|
HDN|DUS,|DUS|ORD|DEN|HDN|
HDN|EDI,|EDI|EWR|DEN|HDN|
HDN|ELQ,|ELQ|IST|FRA|DEN|HDN|
HDN|FDH,|FDH|IST|FRA|DEN|HDN|
HDN|GOA,|GOA|IST|FRA|DEN|HDN|
HDN|GOT,|GOT|BRU|ORD|DEN|HDN|
HDN|HAJ,|HAJ|BRU|ORD|DEN|HDN|
HDN|HBE,|HBE|IST|FRA|DEN|HDN|
HDN|HEL,|HEL|IST|FRA|DEN|HDN|
HDN|HRG,|HRG|IST|FRA|DEN|HDN|
HDN|IFN,|IFN|IST|FRA|DEN|HDN|
HDN|ISE,|ISE|IST|FRA|DEN|HDN|
HDN|ISU,|ISU|IST|FRA|DEN|HDN|
HDN|JIB,|JIB|IST|FRA|DEN|HDN|
HDN|JRO,|JRO|IST|FRA|DEN|HDN|
HDN|KAN,|KAN|IST|FRA|DEN|HDN|
HDN|KBL,|KBL|IST|FRA|DEN|HDN|
HDN|KBP,|KBP|IST|FRA|DEN|HDN|
HDN|KFS,|KFS|IST|FRA|DEN|HDN|
HDN|KHI,|KHI|IST|FRA|DEN|HDN|
HDN|KIV,|KIV|IST|FRA|DEN|HDN|
HDN|KRT,|KRT|IST|FRA|DEN|HDN|
HDN|KSH,|KSH|IST|FRA|DEN|HDN|
HDN|KVD,|KVD|IST|FRA|DEN|HDN|
HDN|KWI,|KWI|SAW|FRA|DEN|HDN|
HDN|KYA,|KYA|IST|FRA|DEN|HDN|
HDN|KZN,|KZN|IST|FRA|DEN|HDN|
HDN|KZR,|KZR|IST|FRA|DEN|HDN|
HDN|LED,|LED|VIE|ORD|DEN|HDN|
HDN|LEJ,|LEJ|IST|FRA|DEN|HDN|
HDN|LGW,|LGW|IST|FRA|DEN|HDN|
HDN|LHE,|LHE|IST|FRA|DEN|HDN|
HDN|LIS,|LIS|EWR|DEN|HDN|
HDN|LJU,|LJU|IST|FRA|DEN|HDN|
HDN|LOS,|LOS|IAH|DEN|HDN|
HDN|LUX,|LUX|IST|FRA|DEN|HDN|
HDN|LWO,|LWO|IST|FRA|DEN|HDN|
HDN|LYS,|LYS|IST|FRA|DEN|HDN|
HDN|MAD,|MAD|EWR|DEN|HDN|
HDN|MAN,|MAN|EWR|DEN|HDN|
HDN|MED,|MED|IST|FRA|DEN|HDN|
HDN|MHD,|MHD|IST|FRA|DEN|HDN|
HDN|MLA,|MLA|IST|FRA|DEN|HDN|
HDN|MRS,|MRS|IST|FRA|DEN|HDN|
HDN|MSQ,|MSQ|IST|FRA|DEN|HDN|
HDN|MXP,|MXP|EWR|DEN|HDN|
HDN|MZH,|MZH|IST|FRA|DEN|HDN|
HDN|MZR,|MZR|IST|FRA|DEN|HDN|
HDN|NAJ,|NAJ|IST|FRA|DEN|HDN|
HDN|NAV,|NAV|IST|FRA|DEN|HDN|
HDN|NCE,|NCE|IST|FRA|DEN|HDN|
HDN|NIM,|NIM|IST|FRA|DEN|HDN|
HDN|NJF,|NJF|IST|FRA|DEN|HDN|
HDN|NSI,|NSI|BRU|ORD|DEN|HDN|
HDN|NUE,|NUE|IST|FRA|DEN|HDN|
