TAS|SJJ,|SJJ|IST|TAS|
TAS|SKG,|SKG|IST|TAS|
TAS|SKP,|SKP|IST|TAS|
TAS|SSH,|SSH|IST|TAS|
TAS|STR,|STR|IST|TAS|
TAS|SVX,|SVX|IST|TAS|
TAS|SYZ,|SYZ|IST|TAS|
TAS|SZG,|SZG|IST|TAS|
TAS|TBZ,|TBZ|IST|TAS|
TAS|TGD,|TGD|IST|TAS|
TAS|TIA,|TIA|IST|TAS|
TAS|TIF,|TIF|IST|TAS|
TAS|TIP,|TIP|IST|TAS|
TAS|TLL,|TLL|IST|TAS|
TAS|TLS,|TLS|IST|TAS|
TAS|TRN,|TRN|IST|TAS|
TAS|TUN,|TUN|IST|TAS|
TAS|TXL,|TXL|IST|TAS|
TAS|UFA,|UFA|IST|TAS|
TAS|VAS,|VAS|IST|TAS|
TAS|VCE,|VCE|IST|TAS|
TAS|YNB,|YNB|IST|TAS|
TAS|ZAG,|ZAG|IST|TAS|
TAS|MGQ,|MGQ|JIB|IST|TAS|
TAS|CPT,|CPT|JNB|IST|TAS|
TAS|MBA,|MBA|JRO|IST|TAS|
TAS|NDJ,|NDJ|KAN|IST|TAS|
TAS|CMB,|CMB|MLE|IST|TAS|
TAS|ADE,|ADE|SAH|IST|TAS|
TAS|ASF,|ASF|SAW|ADB|IST|TAS|
TAS|STW,|STW|SAW|ADB|IST|TAS|
TAS|LFW,|LFW|ABJ|OUA|NIM|IST|TAS|
TAS|CEC,|CEC|SFO|PEK|TAS|
TAS|SMF,|SMF|SFO|PEK|TAS|
TAS|CDR,|CDR|AIA|DEN|FRA|IST|TAS|
TAS|FMN,|FMN|DEN|FRA|IST|TAS|
TAS|JST,|JST|IAD|IST|TAS|
TAS|JHW,|JHW|CLE|YYZ|IST|TAS|
TAS|SHD,|SHD|IAD|IST|TAS|
TAS|PTY,|PTY|MIA|ZRH|IST|TAS|
TAS|FNA,|FNA|BRU|IST|TAS|
TAS|SXB,|SXB|BRU|IST|TAS|
TAS|ACV,|ACV|SFO|PEK|TAS|
TAS|MGW,|MGW|IAD|IST|TAS|
TAS|ALB,|ALB|EWR|BHX|IST|TAS|
TAS|AUS,|AUS|ORD|IST|TAS|
TAS|BFD,|BFD|CLE|YYZ|IST|TAS|
TAS|BUF,|BUF|EWR|BHX|IST|TAS|
TAS|CHS,|CHS|EWR|BHX|IST|TAS|
TAS|DAY,|DAY|CLE|YYZ|IST|TAS|
TAS|DUJ,|DUJ|CLE|YYZ|IST|TAS|
TAS|ERI,|ERI|CLE|YYZ|IST|TAS|
TAS|FKL,|FKL|CLE|YYZ|IST|TAS|
TAS|FNT,|FNT|CLE|YYZ|IST|TAS|
TAS|GRR,|GRR|CLE|YYZ|IST|TAS|
TAS|GSP,|GSP|EWR|BHX|IST|TAS|
TAS|PBI,|PBI|EWR|BHX|IST|TAS|
TAS|PKB,|PKB|CLE|YYZ|IST|TAS|
TAS|RIC,|RIC|EWR|BHX|IST|TAS|
TAS|SDF,|SDF|CLE|YYZ|IST|TAS|
TAS|GUM,|GUM|FUK|ICN|PEK|TAS|
TAS|WRL,|WRL|CYS|DEN|FRA|IST|TAS|
TAS|LBL,|TAS|
TAS|ABQ,|ABQ|DEN|FRA|IST|TAS|
TAS|AIA,|AIA|DEN|FRA|IST|TAS|
TAS|ALS,|ALS|DEN|FRA|IST|TAS|
TAS|AMA,|AMA|DEN|FRA|IST|TAS|
TAS|ANC,|ANC|SEA|PEK|TAS|
TAS|ASE,|ASE|DEN|FRA|IST|TAS|
TAS|BFL,|BFL|SFO|PEK|TAS|
TAS|BHM,|BHM|BWI|EWR|BHX|IST|TAS|
TAS|BIL,|BIL|DEN|FRA|IST|TAS|
TAS|BIS,|BIS|DEN|FRA|IST|TAS|
TAS|BOI,|BOI|SFO|PEK|TAS|
TAS|BUR,|BUR|SFO|PEK|TAS|
TAS|BZN,|BZN|ORD|IST|TAS|
TAS|CID,|CID|ORD|IST|TAS|
