MFE|BSR,|BSR|IST|IAH|MFE|
MFE|BUD,|BUD|IST|IAH|MFE|
MFE|BUS,|BUS|IST|IAH|MFE|
MFE|CAI,|CAI|JFK|IAD|IAH|MFE|
MFE|CGN,|CGN|IST|IAH|MFE|
MFE|CMN,|CMN|IST|IAH|MFE|
MFE|CND,|CND|IST|IAH|MFE|
MFE|DAR,|DAR|NBO|ZRH|YUL|IAH|MFE|
MFE|DLM,|DLM|IST|IAH|MFE|
MFE|DMM,|DMM|IST|IAH|MFE|
MFE|DNK,|DNK|IST|IAH|MFE|
MFE|DNZ,|DNZ|IST|IAH|MFE|
MFE|DOK,|DOK|IST|IAH|MFE|
MFE|DUS,|DUS|ORD|IAH|MFE|
MFE|EDI,|EDI|EWR|IAH|MFE|
MFE|ELQ,|ELQ|IST|IAH|MFE|
MFE|FDH,|FDH|IST|IAH|MFE|
MFE|GOA,|GOA|IST|IAH|MFE|
MFE|GOT,|GOT|BRU|YUL|IAH|MFE|
MFE|HAJ,|HAJ|BRU|YUL|IAH|MFE|
MFE|HBE,|HBE|IST|IAH|MFE|
MFE|HEL,|HEL|IST|IAH|MFE|
MFE|HRG,|HRG|IST|IAH|MFE|
MFE|IFN,|IFN|IST|IAH|MFE|
MFE|ISE,|ISE|IST|IAH|MFE|
MFE|ISU,|ISU|IST|IAH|MFE|
MFE|JIB,|JIB|IST|IAH|MFE|
MFE|JRO,|JRO|IST|IAH|MFE|
MFE|KAN,|KAN|IST|IAH|MFE|
MFE|KBL,|KBL|IST|IAH|MFE|
MFE|KBP,|KBP|IST|IAH|MFE|
MFE|KFS,|KFS|IST|IAH|MFE|
MFE|KHI,|KHI|IST|IAH|MFE|
MFE|KIV,|KIV|IST|IAH|MFE|
MFE|KRT,|KRT|IST|IAH|MFE|
MFE|KSH,|KSH|IST|IAH|MFE|
MFE|KVD,|KVD|IST|IAH|MFE|
MFE|KWI,|KWI|SAW|VIE|YYZ|IAH|MFE|
MFE|KYA,|KYA|IST|IAH|MFE|
MFE|KZN,|KZN|IST|IAH|MFE|
MFE|KZR,|KZR|IST|IAH|MFE|
MFE|LED,|LED|VIE|YYZ|IAH|MFE|
MFE|LEJ,|LEJ|IST|IAH|MFE|
MFE|LGW,|LGW|IST|IAH|MFE|
MFE|LHE,|LHE|IST|IAH|MFE|
MFE|LIS,|LIS|EWR|IAH|MFE|
MFE|LJU,|LJU|IST|IAH|MFE|
MFE|LOS,|LOS|IAH|MFE|
MFE|LUX,|LUX|IST|IAH|MFE|
MFE|LWO,|LWO|IST|IAH|MFE|
MFE|LYS,|LYS|IST|IAH|MFE|
MFE|MAD,|MAD|EWR|IAH|MFE|
MFE|MAN,|MAN|EWR|IAH|MFE|
MFE|MED,|MED|IST|IAH|MFE|
MFE|MHD,|MHD|IST|IAH|MFE|
MFE|MLA,|MLA|IST|IAH|MFE|
MFE|MRS,|MRS|IST|IAH|MFE|
MFE|MSQ,|MSQ|IST|IAH|MFE|
MFE|MXP,|MXP|EWR|IAH|MFE|
MFE|MZH,|MZH|IST|IAH|MFE|
MFE|MZR,|MZR|IST|IAH|MFE|
MFE|NAJ,|NAJ|IST|IAH|MFE|
MFE|NAV,|NAV|IST|IAH|MFE|
MFE|NCE,|NCE|IST|IAH|MFE|
MFE|NIM,|NIM|IST|IAH|MFE|
MFE|NJF,|NJF|IST|IAH|MFE|
MFE|NSI,|NSI|BRU|YUL|IAH|MFE|
MFE|NUE,|NUE|IST|IAH|MFE|
MFE|ODS,|ODS|IST|IAH|MFE|
MFE|ORN,|ORN|IST|IAH|MFE|
MFE|OTP,|OTP|IST|IAH|MFE|
MFE|PRG,|PRG|BRU|YUL|IAH|MFE|
MFE|PRN,|PRN|IST|IAH|MFE|
MFE|RIX,|RIX|IST|IAH|MFE|
MFE|ROV,|ROV|IST|IAH|MFE|
MFE|RTM,|RTM|IST|IAH|MFE|
MFE|RUH,|RUH|IST|IAH|MFE|
MFE|SAH,|SAH|IST|IAH|MFE|
MFE|SJJ,|SJJ|IST|IAH|MFE|
MFE|SKG,|SKG|IST|IAH|MFE|
MFE|SKP,|SKP|IST|IAH|MFE|
MFE|SSH,|SSH|IST|IAH|MFE|
MFE|STR,|STR|EWR|IAH|MFE|
MFE|SVX,|SVX|IST|IAH|MFE|
MFE|SYZ,|SYZ|IST|IAH|MFE|
MFE|SZG,|SZG|IST|IAH|MFE|
MFE|TBZ,|TBZ|IST|IAH|MFE|
MFE|TGD,|TGD|IST|IAH|MFE|
MFE|TIA,|TIA|IST|IAH|MFE|
MFE|TIF,|TIF|IST|IAH|MFE|
MFE|TIP,|TIP|IST|IAH|MFE|
