TLS|CEC,|CEC|ACV|SMF|SEA|FRA|IST|TLS|
TLS|SMF,|SMF|SEA|FRA|IST|TLS|
TLS|CDR,|CDR|AIA|DEN|FRA|IST|TLS|
TLS|FMN,|FMN|DEN|FRA|IST|TLS|
TLS|JST,|JST|IAD|IST|TLS|
TLS|JHW,|JHW|CLE|YYZ|IST|TLS|
TLS|SHD,|SHD|IAD|IST|TLS|
TLS|PTY,|PTY|MIA|ZRH|IST|TLS|
TLS|FNA,|FNA|BRU|IST|TLS|
TLS|SXB,|SXB|BRU|IST|TLS|
TLS|ACV,|ACV|SMF|SEA|FRA|IST|TLS|
TLS|MGW,|MGW|IAD|IST|TLS|
TLS|ALB,|ALB|EWR|BHX|IST|TLS|
TLS|AUS,|AUS|ORD|IST|TLS|
TLS|BFD,|BFD|CLE|YYZ|IST|TLS|
TLS|BUF,|BUF|EWR|BHX|IST|TLS|
TLS|CHS,|CHS|EWR|BHX|IST|TLS|
TLS|DAY,|DAY|CLE|YYZ|IST|TLS|
TLS|DUJ,|DUJ|CLE|YYZ|IST|TLS|
TLS|ERI,|ERI|CLE|YYZ|IST|TLS|
TLS|FKL,|FKL|CLE|YYZ|IST|TLS|
TLS|FNT,|FNT|CLE|YYZ|IST|TLS|
TLS|GRR,|GRR|CLE|YYZ|IST|TLS|
TLS|GSP,|GSP|EWR|BHX|IST|TLS|
TLS|PBI,|PBI|EWR|BHX|IST|TLS|
TLS|PKB,|PKB|CLE|YYZ|IST|TLS|
TLS|RIC,|RIC|EWR|BHX|IST|TLS|
TLS|SDF,|SDF|CLE|YYZ|IST|TLS|
TLS|GUM,|GUM|FUK|ICN|IST|TLS|
TLS|WRL,|WRL|CYS|DEN|FRA|IST|TLS|
TLS|LBL,|TLS|
TLS|ABQ,|ABQ|DEN|FRA|IST|TLS|
