PIT|FRU,|FRU|IST|YYZ|PIT|
PIT|GYD,|GYD|FRA|YYZ|PIT|
PIT|HTN,|HTN|URC|TSE|FRA|YYZ|PIT|
PIT|IKA,|IKA|SAW|VIE|YYZ|PIT|
PIT|KCA,|KCA|URC|TSE|FRA|YYZ|PIT|
PIT|KHG,|KHG|URC|TSE|FRA|YYZ|PIT|
PIT|KRL,|KRL|URC|TSE|FRA|YYZ|PIT|
PIT|KRY,|KRY|URC|TSE|FRA|YYZ|PIT|
PIT|LBD,|LBD|URC|TSE|FRA|YYZ|PIT|
PIT|NLT,|NLT|URC|TSE|FRA|YYZ|PIT|
PIT|OSS,|OSS|IST|YYZ|PIT|
PIT|OVB,|OVB|IST|YYZ|PIT|
PIT|TBS,|TBS|SAW|VIE|YYZ|PIT|
PIT|TCG,|TCG|URC|TSE|FRA|YYZ|PIT|
PIT|TSE,|TSE|FRA|YYZ|PIT|
PIT|YIN,|YIN|URC|TSE|FRA|YYZ|PIT|
PIT|ENH,|ENH|WUH|PEK|YYZ|PIT|
PIT|ENY,|ENY|XIY|PEK|YYZ|PIT|
PIT|WXN,|WXN|XIY|PEK|YYZ|PIT|
PIT|BLL,|BLL|IST|YYZ|PIT|
PIT|ESB,|ESB|VIE|YYZ|PIT|
PIT|SAW,|SAW|VIE|YYZ|PIT|
PIT|HAM,|HAM|EWR|PIT|
PIT|HRE,|HRE|ADD|JED|FRA|YYZ|PIT|
PIT|JUB,|JUB|CAI|JFK|IAD|PIT|
PIT|SSG,|SSG|DLA|BRU|YUL|YYZ|PIT|
PIT|BGW,|BGW|ESB|VIE|YYZ|PIT|
PIT|EBL,|EBL|IST|YYZ|PIT|
PIT|VKO,|VKO|IST|YYZ|PIT|
PIT|MCT,|MCT|AUH|YYZ|PIT|
PIT|AYT,|AYT|IST|YYZ|PIT|
PIT|SCQ,|SCQ|BIO|IST|YYZ|PIT|
PIT|AAL,|AAL|IST|YYZ|PIT|
PIT|AOE,|AOE|BRU|YUL|YYZ|PIT|
PIT|JNB,|JNB|DKR|IAD|PIT|
PIT|LBV,|LBV|DLA|BRU|YUL|YYZ|PIT|
PIT|ADA,|ADA|SAW|VIE|YYZ|PIT|
PIT|ADB,|ADB|HAM|EWR|PIT|
PIT|ADF,|ADF|ESB|VIE|YYZ|PIT|
PIT|AJI,|AJI|ESB|VIE|YYZ|PIT|
PIT|BAL,|BAL|ESB|VIE|YYZ|PIT|
PIT|BJV,|BJV|IST|YYZ|PIT|
PIT|CKZ,|CKZ|ESB|VIE|YYZ|PIT|
PIT|DIY,|DIY|ESB|VIE|YYZ|PIT|
PIT|ECN,|ECN|IST|YYZ|PIT|
PIT|ERC,|ERC|ESB|VIE|YYZ|PIT|
PIT|ERZ,|ERZ|ESB|VIE|YYZ|PIT|
PIT|EZS,|EZS|ESB|VIE|YYZ|PIT|
PIT|GNY,|GNY|ESB|VIE|YYZ|PIT|
PIT|GZP,|GZP|ESB|VIE|YYZ|PIT|
PIT|GZT,|GZT|ESB|VIE|YYZ|PIT|
PIT|HTY,|HTY|SAW|VIE|YYZ|PIT|
PIT|KCM,|KCM|ESB|VIE|YYZ|PIT|
PIT|KSY,|KSY|ESB|VIE|YYZ|PIT|
PIT|MLX,|MLX|ESB|VIE|YYZ|PIT|
PIT|MQM,|MQM|ESB|VIE|YYZ|PIT|
PIT|MSR,|MSR|ESB|VIE|YYZ|PIT|
PIT|TEQ,|TEQ|ESB|VIE|YYZ|PIT|
PIT|TZX,|TZX|ESB|VIE|YYZ|PIT|
PIT|VAN,|VAN|ESB|VIE|YYZ|PIT|
PIT|ULN,|ULN|FRU|IST|YYZ|PIT|
PIT|HIJ,|HIJ|ICN|YVR|ORD|PIT|
PIT|VVO,|VVO|ICN|YVR|ORD|PIT|
PIT|ACC,|ACC|IST|YYZ|PIT|
PIT|AER,|AER|IST|YYZ|PIT|
PIT|AGP,|AGP|IST|YYZ|PIT|
PIT|ALG,|ALG|IST|YYZ|PIT|
PIT|AMM,|AMM|IST|YYZ|PIT|
PIT|AQJ,|AQJ|IST|YYZ|PIT|
PIT|ARN,|ARN|EWR|PIT|
PIT|ASR,|ASR|SAW|VIE|YYZ|PIT|
PIT|ATH,|ATH|IST|YYZ|PIT|
PIT|BAH,|BAH|IST|YYZ|PIT|
PIT|BEG,|BEG|IST|YYZ|PIT|
PIT|BEN,|BEN|IST|YYZ|PIT|
PIT|BEY,|BEY|IST|YYZ|PIT|
PIT|BHX,|BHX|EWR|PIT|
PIT|BIO,|BIO|IST|YYZ|PIT|
PIT|BLQ,|BLQ|IST|YYZ|PIT|
PIT|BOM,|BOM|EWR|PIT|
PIT|BRE,|BRE|IST|YYZ|PIT|
PIT|BSL,|BSL|IST|YYZ|PIT|
PIT|BSR,|BSR|IST|YYZ|PIT|
PIT|BUD,|BUD|IST|YYZ|PIT|
PIT|BUS,|BUS|IST|YYZ|PIT|
PIT|CAI,|CAI|JFK|IAD|PIT|
PIT|CGN,|CGN|IST|YYZ|PIT|
PIT|CMN,|CMN|IST|YYZ|PIT|
PIT|CND,|CND|IST|YYZ|PIT|
PIT|DAR,|DAR|NBO|ZRH|EWR|PIT|
PIT|DLM,|DLM|IST|YYZ|PIT|
PIT|DMM,|DMM|IST|YYZ|PIT|
PIT|DNK,|DNK|IST|YYZ|PIT|
PIT|DNZ,|DNZ|IST|YYZ|PIT|
PIT|DOK,|DOK|IST|YYZ|PIT|
PIT|DUS,|DUS|EWR|PIT|
PIT|EDI,|EDI|EWR|PIT|
PIT|ELQ,|ELQ|IST|YYZ|PIT|
PIT|FDH,|FDH|IST|YYZ|PIT|
PIT|GOA,|GOA|IST|YYZ|PIT|
PIT|GOT,|GOT|BRU|YUL|YYZ|PIT|
PIT|HAJ,|HAJ|BRU|YUL|YYZ|PIT|
PIT|HBE,|HBE|IST|YYZ|PIT|
PIT|HEL,|HEL|IST|YYZ|PIT|
PIT|HRG,|HRG|IST|YYZ|PIT|
PIT|IFN,|IFN|IST|YYZ|PIT|
PIT|ISE,|ISE|IST|YYZ|PIT|
PIT|ISU,|ISU|IST|YYZ|PIT|
PIT|JIB,|JIB|IST|YYZ|PIT|
PIT|JRO,|JRO|IST|YYZ|PIT|
PIT|KAN,|KAN|IST|YYZ|PIT|
PIT|KBL,|KBL|IST|YYZ|PIT|
PIT|KBP,|KBP|IST|YYZ|PIT|
PIT|KFS,|KFS|IST|YYZ|PIT|
PIT|KHI,|KHI|IST|YYZ|PIT|
PIT|KIV,|KIV|IST|YYZ|PIT|
PIT|KRT,|KRT|IST|YYZ|PIT|
