YBL|ACC,|ACC|IST|MUC|YVR|YQQ|YBL|
YBL|AER,|AER|IST|MUC|YVR|YQQ|YBL|
YBL|AGP,|AGP|IST|MUC|YVR|YQQ|YBL|
YBL|ALG,|ALG|IST|MUC|YVR|YQQ|YBL|
YBL|AMM,|AMM|IST|MUC|YVR|YQQ|YBL|
YBL|AQJ,|AQJ|IST|MUC|YVR|YQQ|YBL|
YBL|ARN,|ARN|EWR|YYC|YQQ|YBL|
YBL|ASR,|ASR|SAW|MUC|YVR|YQQ|YBL|
YBL|ATH,|ATH|IST|MUC|YVR|YQQ|YBL|
YBL|BAH,|BAH|IST|MUC|YVR|YQQ|YBL|
YBL|BEG,|BEG|IST|MUC|YVR|YQQ|YBL|
YBL|BEN,|BEN|IST|MUC|YVR|YQQ|YBL|
YBL|BEY,|BEY|IST|MUC|YVR|YQQ|YBL|
YBL|BHX,|BHX|EWR|YYC|YQQ|YBL|
YBL|BIO,|BIO|IST|MUC|YVR|YQQ|YBL|
YBL|BLQ,|BLQ|IST|MUC|YVR|YQQ|YBL|
YBL|BOM,|BOM|IST|MUC|YVR|YQQ|YBL|
YBL|BRE,|BRE|IST|MUC|YVR|YQQ|YBL|
YBL|BSL,|BSL|IST|MUC|YVR|YQQ|YBL|
YBL|BSR,|BSR|IST|MUC|YVR|YQQ|YBL|
YBL|BUD,|BUD|IST|MUC|YVR|YQQ|YBL|
YBL|BUS,|BUS|IST|MUC|YVR|YQQ|YBL|
YBL|CAI,|CAI|IST|MUC|YVR|YQQ|YBL|
YBL|CGN,|CGN|IST|MUC|YVR|YQQ|YBL|
YBL|CMN,|CMN|IST|MUC|YVR|YQQ|YBL|
YBL|CND,|CND|IST|MUC|YVR|YQQ|YBL|
YBL|DAR,|DAR|IST|MUC|YVR|YQQ|YBL|
YBL|DLM,|DLM|IST|MUC|YVR|YQQ|YBL|
YBL|DMM,|DMM|IST|MUC|YVR|YQQ|YBL|
YBL|DNK,|DNK|IST|MUC|YVR|YQQ|YBL|
YBL|DNZ,|DNZ|IST|MUC|YVR|YQQ|YBL|
YBL|DOK,|DOK|IST|MUC|YVR|YQQ|YBL|
YBL|DUS,|DUS|ORD|YVR|YQQ|YBL|
YBL|EDI,|EDI|EWR|YYC|YQQ|YBL|
YBL|ELQ,|ELQ|IST|MUC|YVR|YQQ|YBL|
YBL|FDH,|FDH|IST|MUC|YVR|YQQ|YBL|
