MEX|LFW,|LFW|ABJ|BRU|IAD|MEX|
MEX|CEC,|CEC|SFO|MEX|
MEX|SMF,|SMF|LAX|MEX|
MEX|CDR,|CDR|AIA|DEN|MEX|
MEX|FMN,|FMN|DEN|MEX|
MEX|JST,|JST|IAD|MEX|
MEX|JHW,|JHW|CLE|IAH|MEX|
MEX|SHD,|SHD|IAD|MEX|
MEX|PTY,|PTY|IAH|MEX|
MEX|FNA,|FNA|BRU|IAD|MEX|
MEX|SXB,|SXB|BRU|IAD|MEX|
MEX|ACV,|ACV|SFO|MEX|
MEX|MGW,|MGW|IAD|MEX|
MEX|ALB,|ALB|IAD|MEX|
